Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
14309004,222028597," "," "," "," "," "," "," "," "," "," ",1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",2. The Entry ID column lists all of your contest entries for this contest," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",3. Your current lineup is listed next to each entry (blank for reserved entries)," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",6. For faster processing only include entries you are changing in the file you upload," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","Note: For each entry, the salary cap is 200"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.26658$nfl.g.13520008,Zach,Ertz,nfl.p.26658$nfl.g.13520008 - Zach Ertz,TE,WAS,PHI,WAS@PHI,8:15PM EST,14,7.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28390$nfl.g.13520008,Marcus,Mariota,nfl.p.28390$nfl.g.13520008 - Marcus Mariota,QB,WAS,PHI,WAS@PHI,8:15PM EST,20,9.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.29441$nfl.g.13520008,Jeff,Driskel,nfl.p.29441$nfl.g.13520008 - Jeff Driskel,QB,WAS,PHI,WAS@PHI,8:15PM EST,20,0.0,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30275$nfl.g.13520008,Jeremy,McNichols,nfl.p.30275$nfl.g.13520008 - Jeremy McNichols,RB,WAS,PHI,WAS@PHI,8:15PM EST,10,4.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30352$nfl.g.13520008,Noah,Brown,nfl.p.30352$nfl.g.13520008 - Noah Brown,WR,WAS,PHI,WAS@PHI,8:15PM EST,16,6.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30423$nfl.g.13520008,Austin,Ekeler,nfl.p.30423$nfl.g.13520008 - Austin Ekeler,RB,WAS,PHI,WAS@PHI,8:15PM EST,18,10.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31908$nfl.g.13520008,Terry,McLaurin,nfl.p.31908$nfl.g.13520008 - Terry McLaurin,WR,WAS,PHI,WAS@PHI,8:15PM EST,30,11.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32123$nfl.g.13520008,Olamide,Zaccheaus,nfl.p.32123$nfl.g.13520008 - Olamide Zaccheaus,WR,WAS,PHI,WAS@PHI,8:15PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33470$nfl.g.13520008,Dyami,Brown,nfl.p.33470$nfl.g.13520008 - Dyami Brown,WR,WAS,PHI,WAS@PHI,8:15PM EST,10,2.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33512$nfl.g.13520008,John,Bates,nfl.p.33512$nfl.g.13520008 - John Bates,TE,WAS,PHI,WAS@PHI,8:15PM EST,10,1.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34054$nfl.g.13520008,Brian,Robinson Jr.,nfl.p.34054$nfl.g.13520008 - Brian Robinson Jr.,RB,WAS,PHI,WAS@PHI,8:15PM EST,23,13.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40896$nfl.g.13520008,Jayden,Daniels,nfl.p.40896$nfl.g.13520008 - Jayden Daniels,QB,WAS,PHI,WAS@PHI,8:15PM EST,31,18.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40931$nfl.g.13520008,Ben,Sinnott,nfl.p.40931$nfl.g.13520008 - Ben Sinnott,TE,WAS,PHI,WAS@PHI,8:15PM EST,10,3.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40964$nfl.g.13520008,Luke,McCaffrey,nfl.p.40964$nfl.g.13520008 - Luke McCaffrey,WR,WAS,PHI,WAS@PHI,8:15PM EST,10,2.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.41233$nfl.g.13520008,Colson,Yankoff,nfl.p.41233$nfl.g.13520008 - Colson Yankoff,TE,WAS,PHI,WAS@PHI,8:15PM EST,10,0.0,IR," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30972$nfl.g.13520008,Saquon,Barkley,nfl.p.30972$nfl.g.13520008 - Saquon Barkley,RB,PHI,WAS,WAS@PHI,8:15PM EST,38,20.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31019$nfl.g.13520008,Dallas,Goedert,nfl.p.31019$nfl.g.13520008 - Dallas Goedert,TE,PHI,WAS,WAS@PHI,8:15PM EST,18,8.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31883$nfl.g.13520008,A.J.,Brown,nfl.p.31883$nfl.g.13520008 - A.J. Brown,WR,PHI,WAS,WAS@PHI,8:15PM EST,30,13.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32723$nfl.g.13520008,Jalen,Hurts,nfl.p.32723$nfl.g.13520008 - Jalen Hurts,QB,PHI,WAS,WAS@PHI,8:15PM EST,38,23.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33398$nfl.g.13520008,DeVonta,Smith,nfl.p.33398$nfl.g.13520008 - DeVonta Smith,WR,PHI,WAS,WAS@PHI,8:15PM EST,25,10.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33538$nfl.g.13520008,Kenneth,Gainwell,nfl.p.33538$nfl.g.13520008 - Kenneth Gainwell,RB,PHI,WAS,WAS@PHI,8:15PM EST,10,2.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33891$nfl.g.13520008,Jack,Stoll,nfl.p.33891$nfl.g.13520008 - Jack Stoll,TE,MIA,PHI,WAS@PHI,8:15PM EST,10,0.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33971$nfl.g.13520008,Jahan,Dotson,nfl.p.33971$nfl.g.13520008 - Jahan Dotson,WR,PHI,WAS,WAS@PHI,8:15PM EST,10,1.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33975$nfl.g.13520008,Kenny,Pickett,nfl.p.33975$nfl.g.13520008 - Kenny Pickett,QB,PHI,WAS,WAS@PHI,8:15PM EST,20,0.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34154$nfl.g.13520008,Grant,Calcaterra,nfl.p.34154$nfl.g.13520008 - Grant Calcaterra,TE,PHI,WAS,WAS@PHI,8:15PM EST,10,3.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40220$nfl.g.13520008,Tanner,McKee,nfl.p.40220$nfl.g.13520008 - Tanner McKee,QB,PHI,WAS,WAS@PHI,8:15PM EST,20,0.0,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.41002$nfl.g.13520008,Will,Shipley,nfl.p.41002$nfl.g.13520008 - Will Shipley,RB,PHI,WAS,WAS@PHI,8:15PM EST,10,0.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.41030$nfl.g.13520008,Ainias,Smith,nfl.p.41030$nfl.g.13520008 - Ainias Smith,WR,PHI,WAS,WAS@PHI,8:15PM EST,10,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.41089$nfl.g.13520008,Johnny,Wilson,nfl.p.41089$nfl.g.13520008 - Johnny Wilson,WR,PHI,WAS,WAS@PHI,8:15PM EST,10,1.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.t.28$nfl.g.13520008,Washington,Commanders,nfl.t.28$nfl.g.13520008 - Washington Commanders,DEF,WAS,PHI,WAS@PHI,8:15PM EST,12,5.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.t.21$nfl.g.13520008,Philadelphia,Eagles,nfl.t.21$nfl.g.13520008 - Philadelphia Eagles,DEF,PHI,WAS,WAS@PHI,8:15PM EST,16,7.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40231$nfl.g.13520008,Chris,Rodriguez Jr.,nfl.p.40231$nfl.g.13520008 - Chris Rodriguez Jr.,RB,WAS,PHI,WAS@PHI,8:15PM EST,10,1.9,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.9265$nfl.g.13520009,Matthew,Stafford,nfl.p.9265$nfl.g.13520009 - Matthew Stafford,QB,LA,NE,LA@NE,1:00PM EST,24,12.8," "," "
