Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Jalen Brooks,WR,DAL,NYJ,10,0,0,2 out of 5 stars,F
New York Jets,DEF,NYJ,DAL,15,7.1,0.4733,1 out of 5 stars,C
Dallas Cowboys,DEF,DAL,NYJ,21,9.1,0.4333,3 out of 5 stars,A+
Israel Abanikanda,RB,NYJ,DAL,10,2.2,0.22,2 out of 5 stars,F
Hunter Luepke,RB,DAL,NYJ,10,0.2,0.02,2 out of 5 stars,F
Dalvin Cook,RB,NYJ,DAL,15,10.1,0.6733,2 out of 5 stars,C
Trey Lance,QB,DAL,NYJ,20,0.2,0.01,2 out of 5 stars,F
Nick Bawden,RB,NYJ,DAL,10,0,0,2 out of 5 stars,F
Logan Thomas,TE,WAS,DEN,12,7.3,0.6083,3 out of 5 stars,F
Jacoby Brissett,QB,WAS,DEN,20,0.5,0.025,1 out of 5 stars,F
Curtis Samuel,WR,WAS,DEN,11,7.7,0.7,2 out of 5 stars,F
Terry McLaurin,WR,WAS,DEN,17,11.9,0.7,2 out of 5 stars,C+
Antonio Gibson,RB,WAS,DEN,13,7.4,0.5692,3 out of 5 stars,D
Dyami Brown,WR,WAS,DEN,10,1.3,0.13,2 out of 5 stars,F
John Bates,TE,WAS,DEN,10,1.1,0.11,3 out of 5 stars,F
Jahan Dotson,WR,WAS,DEN,15,12.4,0.8267,2 out of 5 stars,B-
Sam Howell,QB,WAS,DEN,23,14.6,0.6348,1 out of 5 stars,F
Cole Turner,TE,WAS,DEN,10,1.8,0.18,3 out of 5 stars,F
Curtis Hodges,TE,WAS,DEN,10,0.3,0.03,3 out of 5 stars,F
Mitchell Tinsley,WR,WAS,DEN,10,0,0,2 out of 5 stars,F
Russell Wilson,QB,DEN,WAS,24,15.4,0.6417,4 out of 5 stars,D
Chris Manhertz,TE,DEN,WAS,10,1.5,0.15,1 out of 5 stars,F
Michael Burton,RB,DEN,WAS,10,0.3,0.03,2 out of 5 stars,F
Samaje Perine,RB,DEN,WAS,15,10.3,0.6867,2 out of 5 stars,C
Courtland Sutton,WR,DEN,WAS,16,11.5,0.7188,3 out of 5 stars,C+
Jarrett Stidham,QB,DEN,WAS,20,0.4,0.02,4 out of 5 stars,F
Jerry Jeudy,WR,DEN,WAS,28,10.3,0.3679,3 out of 5 stars,C
Adam Trautman,TE,DEN,WAS,10,5.1,0.51,1 out of 5 stars,F
Javonte Williams,RB,DEN,WAS,17,12.6,0.7412,2 out of 5 stars,B-
Greg Dulcich,TE,DEN,WAS,10,1.4,0.14,1 out of 5 stars,F
Brandon Johnson,WR,DEN,WAS,10,2.6,0.26,3 out of 5 stars,F
Washington Commanders,DEF,WAS,DEN,19,7.3,0.3842,5 out of 5 stars,B
Denver Broncos,DEF,DEN,WAS,12,7.9,0.6583,4 out of 5 stars,B+
Jaleel McLaughlin,RB,DEN,WAS,10,1.8,0.18,2 out of 5 stars,F
Nate Adkins,TE,DEN,WAS,10,0.7,0.07,1 out of 5 stars,F
Byron Pringle,WR,WAS,DEN,10,0.2,0.02,2 out of 5 stars,F
Jamison Crowder,WR,WAS,DEN,10,0.2,0.02,2 out of 5 stars,F
Raheem Mostert,RB,MIA,NE,16,11.8,0.7375,1 out of 5 stars,C+
Tyreek Hill,WR,MIA,NE,36,20.7,0.575,3 out of 5 stars,A+
River Cracraft,WR,MIA,NE,10,2.9,0.29,3 out of 5 stars,F
Durham Smythe,TE,MIA,NE,10,4.1,0.41,4 out of 5 stars,F
Mike White,QB,MIA,NE,20,0.5,0.025,3 out of 5 stars,F
Braxton Berrios,WR,MIA,NE,10,3.7,0.37,3 out of 5 stars,F
Alec Ingold,RB,MIA,NE,10,0.8,0.08,1 out of 5 stars,F
Tua Tagovailoa,QB,MIA,NE,33,18.5,0.5606,3 out of 5 stars,B
Salvon Ahmed,RB,MIA,NE,10,4.4,0.44,1 out of 5 stars,F
Jaylen Waddle,WR,MIA,NE,24,15.1,0.6292,3 out of 5 stars,A
Erik Ezukanma,WR,MIA,NE,10,1.6,0.16,3 out of 5 stars,F
Skylar Thompson,QB,MIA,NE,20,0.2,0.01,3 out of 5 stars,F
