Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Trevor Lawrence,QB,JAC,BUF,24,17.5,0.7292,1 out of 5 stars,B-,20,15.5,0.5
Josh Allen,QB,BUF,JAC,38,21.5,0.5658,3 out of 5 stars,A,20,15.5,0.3333333333333333
Dak Prescott,QB,DAL,SF,26,15.8,0.6077,2 out of 5 stars,D+,20,15.5,0.05000000000000012
Brock Purdy,QB,SF,DAL,28,16.4,0.5857,1 out of 5 stars,C,20,15.5,0.11249999999999982
Justin Fields,QB,CHI,WAS,30,18.1,0.6033,2 out of 5 stars,B,20,15.5,0.2600000000000001
Sam Howell,QB,WAS,CHI,25,17.3,0.692,5 out of 5 stars,B-,20,15.5,0.36000000000000015
Ryan Tannehill,QB,TEN,IND,22,14.6,0.6636,3 out of 5 stars,D-,20,15.5,-0.4500000000000002
Anthony Richardson,QB,IND,TEN,31,19.1,0.6161,5 out of 5 stars,B+,20,15.5,0.3272727272727274
C J Stroud,QB,HOU,ATL,27,16.8,0.6222,2 out of 5 stars,C,20,15.5,0.1857142857142858
Desmond Ridder,QB,ATL,HOU,20,13.4,0.67,2 out of 5 stars,F,20,15.5,0
Andy Dalton,QB,CAR,DET,20,0,0,2 out of 5 stars,F,20,15.5,0
Bryce Young,QB,CAR,DET,20,14.1,0.705,2 out of 5 stars,F,20,15.5,0
Jared Goff,QB,DET,CAR,28,17.7,0.6321,1 out of 5 stars,B,20,15.5,0.2749999999999999
Lamar Jackson,QB,BAL,PIT,35,19.9,0.5686,3 out of 5 stars,A-,20,15.5,0.2933333333333332
Mitch Trubisky,QB,PIT,BAL,20,7.3,0.365,3 out of 5 stars,F,20,15.5,0
Kenny Pickett,QB,PIT,BAL,22,13.3,0.6045,3 out of 5 stars,F,20,15.5,-1.0999999999999996
Derek Carr,QB,NO,NE,23,13.5,0.587,3 out of 5 stars,F,20,15.5,-0.6666666666666666
Jameis Winston,QB,NO,NE,23,0,0,3 out of 5 stars,F,20,15.5,-5.166666666666667
Taysom Hill,QB,NO,NE,20,4.9,0.245,2 out of 5 stars,D-,20,15.5,0
Mac Jones,QB,NE,NO,24,13.7,0.5708,2 out of 5 stars,F,20,15.5,-0.4500000000000002
Daniel Jones,QB,NYG,MIA,27,17,0.6296,3 out of 5 stars,C+,20,15.5,0.21428571428571427
Tua Tagovailoa,QB,MIA,NYG,35,20.8,0.5943,5 out of 5 stars,A-,20,15.5,0.3533333333333334
Jalen Hurts,QB,PHI,LA,36,22.6,0.6278,3 out of 5 stars,A,20,15.5,0.4437500000000001
Matthew Stafford,QB,LA,PHI,29,16.6,0.5724,4 out of 5 stars,C,20,15.5,0.12222222222222238
Brett Rypien,QB,LA,PHI,20,0,0,4 out of 5 stars,F,20,15.5,0
Joe Burrow,QB,CIN,ARI,28,17.2,0.6143,4 out of 5 stars,C+,20,15.5,0.2124999999999999
Joshua Dobbs,QB,ARI,CIN,22,16.1,0.7318,3 out of 5 stars,C-,20,15.5,0.3000000000000007
Zach Wilson,QB,NYJ,DEN,20,15.5,0.775,5 out of 5 stars,D,20,15.5,0
Russell Wilson,QB,DEN,NYJ,27,16.2,0.6,2 out of 5 stars,C-,20,15.5,0.0999999999999999
Patrick Mahomes,QB,KC,MIN,42,23.1,0.55,4 out of 5 stars,A+,20,15.5,0.3454545454545455
Kirk Cousins,QB,MIN,KC,35,18.6,0.5314,3 out of 5 stars,B+,20,15.5,0.20666666666666675
Jordan Love,QB,GB,LV,28,17.4,0.6214,4 out of 5 stars,B,20,15.5,0.23749999999999982
Brian Hoyer,QB,LV,GB,20,0,0,4 out of 5 stars,F,20,15.5,0
Jimmy Garoppolo,QB,LV,GB,22,15,0.6818,4 out of 5 stars,D,20,15.5,-0.25
Aidan O Connell,QB,LV,GB,20,0,0,4 out of 5 stars,F,20,15.5,0
Zay Jones,WR,JAC,BUF,13,4,0.3077,4 out of 5 stars,F,10,4.6,-0.19999999999999987
Jamal Agnew,WR,JAC,BUF,10,1,0.1,4 out of 5 stars,F,10,4.6,0
Calvin Ridley,WR,JAC,BUF,17,11.2,0.6588,4 out of 5 stars,A-,10,4.6,0.9428571428571428
Christian Kirk,WR,JAC,BUF,18,10.9,0.6056,4 out of 5 stars,B+,10,4.6,0.7875000000000001
D Ernest Johnson,RB,JAC,BUF,10,1.4,0.14,3 out of 5 stars,F,10,4.6,0
JaMycal Hasty,RB,JAC,BUF,10,0.5,0.05,3 out of 5 stars,F,10,4.6,0
Travis Etienne Jr,RB,JAC,BUF,21,13.7,0.6524,3 out of 5 stars,A,10,4.6,0.8272727272727273
Tim Jones,WR,JAC,BUF,10,1.5,0.15,4 out of 5 stars,F,10,4.6,0
Latavius Murray,RB,BUF,JAC,14,4.9,0.35,3 out of 5 stars,D,10,4.6,0.07500000000000018
Stefon Diggs,WR,BUF,JAC,30,16.5,0.55,2 out of 5 stars,A+,10,4.6,0.595
