Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,TD Odds,FPTS,Salary,Avg,PPD
Jayden Reed,WR,GB,CHI,20,11.149,0.5575,3 out of 5 stars,A-,10,11.3,0.16,,,,,47.5,4.4,140,0.4166666667,10.399,20,11.149,0.5575
Brandin Cooks,WR,DAL,WAS,16,9.003,0.5627,4 out of 5 stars,B+,10,11.3,0,,,,,37.5,2.7,175,0.3636363636,8.017909091,16,9.003,0.5627
Jaxon Smith Njigba,WR,SEA,ARI,15,9.891,0.6594,4 out of 5 stars,C+,10,11.3,-0.1,,,,,44.5,4.4,200,0.3333333333,9.501,15,9.891,0.6594
Rashid Shaheed,WR,NO,ATL,14,8.055,0.5754,3 out of 5 stars,C+,10,11.3,-0.225,,,,,35.5,2.6,280,0.2631578947,7.050578947,14,8.055,0.5754
Josh Downs,WR,IND,HOU,12,8.576,0.7147,3 out of 5 stars,C,10,11.3,-0.5,,,,,38.5,3.6,300,0.25,7.837,12,8.576,0.7147
Michael Wilson,WR,ARI,SEA,11,8.282,0.7529,3 out of 5 stars,C,10,11.3,-1.3,,,,,36.5,2.8,230,0.303030303,7.546090909,11,8.282,0.7529
Darius Slayton,WR,NYG,PHI,11,8.487,0.7716,3 out of 5 stars,C,10,11.3,-1.7,,,,,43.5,3.2,333,0.2309468822,8.0103903,11,8.487,0.7716
Trey McBride,TE,ARI,SEA,23,11.960,0.5200,3 out of 5 stars,A+,10,7.1,0.5,,,,,54.5,5.5,190,0.3448275862,11.257,23,11.960,0.5200
Evan Engram,TE,JAC,TEN,21,11.577,0.5513,3 out of 5 stars,A,10,7.1,0.5,,,,,49.5,6,175,0.3636363636,11.13790909,21,11.577,0.5513
Jake Ferguson,TE,DAL,WAS,18,10.158,0.5643,4 out of 5 stars,A,10,7.1,0.8,,,,,36.5,3.6,145,0.4081632653,8.725816327,18,10.158,0.5643
Dalton Schultz,TE,HOU,IND,16,9.698,0.6061,2 out of 5 stars,B+,10,7.1,0.5166666667,,,,,44.5,4.5,210,0.3225806452,9.48216129,16,9.698,0.6061
Darren Waller,TE,NYG,PHI,15,8.330,0.5553,3 out of 5 stars,B-,10,7.1,0.52,,,,,35.5,4,300,0.25,7.743,15,8.330,0.5553
Gerald Everett,TE,LAC,KC,12,6.875,0.5729,2 out of 5 stars,B,10,7.1,1.45,,,,,23,2.5,310,0.243902439,5.535560976,12,6.875,0.5729
Pat Freiermuth,TE,PIT,BAL,11,6.359,0.5781,3 out of 5 stars,D,10,7.1,0.7,,,,,25.5,2.6,340,0.2272727273,5.740818182,11,6.359,0.5781
Logan Thomas,TE,WAS,DAL,11,6.419,0.5836,3 out of 5 stars,D,10,7.1,0.2,,,,,25.5,3.2,350,0.2222222222,6.041666667,11,6.419,0.5836
Cade Otton,TE,TB,CAR,10,6.153,0.6153,3 out of 5 stars,D-,10,7.1,0,,,,,23.5,2.5,275,0.2666666667,5.747,10,6.153,0.6153
