PLAYER NAME,TEAM,SOS SEASON,SOS PLAYOFFS,PROJ. FPTS,ECR VS. ADP
Jauan Jennings,SF,2 out of 5 stars,4 out of 5 stars,30,-
Chris Moore,TEN,3 out of 5 stars,3 out of 5 stars,29.7,-
Deven Thompkins,TB,4 out of 5 stars,2 out of 5 stars,27.5,-
Quez Watkins,PHI,4 out of 5 stars,3 out of 5 stars,27,-
Devin Duvernay,BAL,2 out of 5 stars,3 out of 5 stars,27,-18
Marquise Goodwin,CLE,3 out of 5 stars,4 out of 5 stars,26.4,-26
Cedrick Wilson Jr.,MIA,3 out of 5 stars,2 out of 5 stars,26,-
Isaiah McKenzie,IND,3 out of 5 stars,3 out of 5 stars,26,-
Dyami Brown,WAS,2 out of 5 stars,3 out of 5 stars,25,-
Tyquan Thornton,NE,4 out of 5 stars,4 out of 5 stars,25,-12
Dontayvion Wicks,GB,3 out of 5 stars,3 out of 5 stars,22,-
DeAndre Carter,LV,3 out of 5 stars,4 out of 5 stars,20,-
Julio Jones,PHI,4 out of 5 stars,3 out of 5 stars,19,-37
Derius Davis,LAC,4 out of 5 stars,4 out of 5 stars,18.7,-
Xavier Hutchinson,HOU,4 out of 5 stars,4 out of 5 stars,18.7,-
Tre Tucker,LV,3 out of 5 stars,4 out of 5 stars,18.7,-
Andrei Iosivas,CIN,4 out of 5 stars,3 out of 5 stars,18.7,-25
Olamide Zaccheaus,PHI,4 out of 5 stars,3 out of 5 stars,18,-26
Ray-Ray McCloud III,SF,2 out of 5 stars,4 out of 5 stars,16,-16
River Cracraft,MIA,3 out of 5 stars,2 out of 5 stars,16,-
Samori Toure,GB,3 out of 5 stars,3 out of 5 stars,15.4,-
Demarcus Robinson,LAR,2 out of 5 stars,3 out of 5 stars,15,-
Tylan Wallace,BAL,2 out of 5 stars,3 out of 5 stars,14.3,-
Jalen Nailor,MIN,3 out of 5 stars,3 out of 5 stars,13.2,-
Parker Washington,JAC,3 out of 5 stars,3 out of 5 stars,13.2,-
Charlie Jones,CIN,4 out of 5 stars,3 out of 5 stars,13.2,-47
Kyle Philips,TEN,3 out of 5 stars,3 out of 5 stars,13.2,-
Erik Ezukanma,MIA,3 out of 5 stars,2 out of 5 stars,13.2,-
Jamal Agnew,JAC,3 out of 5 stars,3 out of 5 stars,13,-
Ronnie Bell,SF,2 out of 5 stars,4 out of 5 stars,12.1,-60
Ben Skowronek,LAR,2 out of 5 stars,3 out of 5 stars,12,-
Byron Pringle,WAS,2 out of 5 stars,3 out of 5 stars,12,-
Robbie Chosen,MIA,3 out of 5 stars,2 out of 5 stars,12,-
Lil'Jordan Humphrey,DEN,4 out of 5 stars,4 out of 5 stars,12,-
Zach Pascal,ARI,2 out of 5 stars,3 out of 5 stars,12,-
Xavier Gipson,NYJ,3 out of 5 stars,2 out of 5 stars,11,-
Montrell Washington,KC,3 out of 5 stars,3 out of 5 stars,11,-
Marquez Callaway,FA,-,-,11,-
Justin Shorter,BUF,3 out of 5 stars,3 out of 5 stars,11,-
Malik Heath,GB,3 out of 5 stars,3 out of 5 stars,11,-
Keith Kirkwood,NO,2 out of 5 stars,2 out of 5 stars,11,-
Equanimeous St. Brown,CHI,4 out of 5 stars,2 out of 5 stars,10,-58
KhaDarel Hodge,ATL,5 out of 5 stars,4 out of 5 stars,10,-
Jamison Crowder,WAS,2 out of 5 stars,3 out of 5 stars,10,-
A.T. Perry,NO,2 out of 5 stars,2 out of 5 stars,9.9,-
Jason Brownlee,NYJ,3 out of 5 stars,2 out of 5 stars,9.9,-57
