Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit
Darren Waller,TE,NYG,SF,17,9,0.5294,3 out of 5 stars,B+
Sterling Shepard,WR,NYG,SF,10,3.5,0.35,3 out of 5 stars,F
Matt Breida,RB,NYG,SF,14,7.7,0.55,1 out of 5 stars,C-
Daniel Jones,QB,NYG,SF,30,16.4,0.5467,1 out of 5 stars,C
Parris Campbell,WR,NYG,SF,10,4.6,0.46,3 out of 5 stars,F
Darius Slayton,WR,NYG,SF,11,6.1,0.5545,3 out of 5 stars,F
Isaiah Hodgins,WR,NYG,SF,11,5.7,0.5182,3 out of 5 stars,F
Lawrence Cager,TE,NYG,SF,10,0.4,0.04,3 out of 5 stars,F
Gary Brightwell,RB,NYG,SF,11,3.5,0.3182,1 out of 5 stars,F
Daniel Bellinger,TE,NYG,SF,10,2.1,0.21,3 out of 5 stars,F
Eric Gray,RB,NYG,SF,10,2.3,0.23,1 out of 5 stars,F
Kyle Juszczyk,RB,SF,NYG,10,1.5,0.15,3 out of 5 stars,F
Christian McCaffrey,RB,SF,NYG,41,19.3,0.4707,3 out of 5 stars,A+
George Kittle,TE,SF,NYG,17,10,0.5882,4 out of 5 stars,B+
Ross Dwelley,TE,SF,NYG,10,0.8,0.08,4 out of 5 stars,F
Deebo Samuel,WR,SF,NYG,20,12.7,0.635,2 out of 5 stars,A
Charlie Woerner,TE,SF,NYG,10,0.6,0.06,4 out of 5 stars,F
Jauan Jennings,WR,SF,NYG,10,4.8,0.48,2 out of 5 stars,F
Elijah Mitchell,RB,SF,NYG,15,5.5,0.3667,3 out of 5 stars,D-
Brock Purdy,QB,SF,NYG,23,16.8,0.7304,3 out of 5 stars,C
Jordan Mason,RB,SF,NYG,10,1.4,0.14,3 out of 5 stars,F
New York Giants,DEF,NYG,SF,10,4.9,0.49,1 out of 5 stars,F
San Francisco 49ers,DEF,SF,NYG,21,8.5,0.4048,4 out of 5 stars,A
Brayden Willis,TE,SF,NYG,10,0.3,0.03,4 out of 5 stars,F
Ronnie Bell,WR,SF,NYG,10,2.5,0.25,2 out of 5 stars,F
Jalin Hyatt,WR,NYG,SF,10,5,0.5,3 out of 5 stars,F
Taiwan Jones,RB,NYG,SF,10,0,0,1 out of 5 stars,F
Zack Moss,RB,IND,BAL,18,11.1,0.6167,3 out of 5 stars,B-
Kylen Granson,TE,IND,BAL,10,5,0.5,3 out of 5 stars,F
Deon Jackson,RB,IND,BAL,10,3.7,0.37,3 out of 5 stars,F
Alec Pierce,WR,IND,BAL,10,5.3,0.53,3 out of 5 stars,F
Andrew Ogletree,TE,IND,BAL,10,0.8,0.08,3 out of 5 stars,F
Will Mallory,TE,IND,BAL,10,1.3,0.13,3 out of 5 stars,F
Nelson Agholor,WR,BAL,IND,13,4.2,0.3231,4 out of 5 stars,F
Patrick Ricard,RB,BAL,IND,10,0.7,0.07,3 out of 5 stars,F
Lamar Jackson,QB,BAL,IND,33,21.1,0.6394,4 out of 5 stars,A
Mark Andrews,TE,BAL,IND,20,11.3,0.565,3 out of 5 stars,A
Gus Edwards,RB,BAL,IND,17,9.9,0.5824,3 out of 5 stars,C
Devin Duvernay,WR,BAL,IND,10,2.4,0.24,4 out of 5 stars,F
Rashod Bateman,WR,BAL,IND,11,6.5,0.5909,4 out of 5 stars,D-
Tylan Wallace,WR,BAL,IND,10,0.2,0.02,4 out of 5 stars,F
Charlie Kolar,TE,BAL,IND,10,0.7,0.07,3 out of 5 stars,F
Isaiah Likely,TE,BAL,IND,10,2.6,0.26,3 out of 5 stars,F
Indianapolis Colts,DEF,IND,BAL,16,5.7,0.3562,2 out of 5 stars,F
Baltimore Ravens,DEF,BAL,IND,17,8.1,0.4765,4 out of 5 stars,B
Josh Downs,WR,IND,BAL,10,6.1,0.61,3 out of 5 stars,F
Zay Flowers,WR,BAL,IND,19,10.7,0.5632,4 out of 5 stars,B
Isaiah McKenzie,WR,IND,BAL,10,1.9,0.19,3 out of 5 stars,F
Jake Funk,RB,IND,BAL,10,0.7,0.07,3 out of 5 stars,F
Juwann Winfree,WR,IND,BAL,10,0.4,0.04,3 out of 5 stars,F
Melvin Gordon III,RB,BAL,IND,10,3.1,0.31,3 out of 5 stars,F
Russell Wilson,QB,DEN,MIA,30,15.7,0.5233,3 out of 5 stars,C-
Chris Manhertz,TE,DEN,MIA,10,1.2,0.12,5 out of 5 stars,F
Michael Burton,RB,DEN,MIA,10,0.5,0.05,3 out of 5 stars,F
Samaje Perine,RB,DEN,MIA,18,7,0.3889,3 out of 5 stars,C-
Courtland Sutton,WR,DEN,MIA,16,8.5,0.5312,2 out of 5 stars,C
Jerry Jeudy,WR,DEN,MIA,21,9.8,0.4667,2 out of 5 stars,B-
Adam Trautman,TE,DEN,MIA,10,4.5,0.45,5 out of 5 stars,F
Javonte Williams,RB,DEN,MIA,21,10.8,0.5143,3 out of 5 stars,C+
Brandon Johnson,WR,DEN,MIA,11,3,0.2727,2 out of 5 stars,F
Raheem Mostert,RB,MIA,DEN,15,12.6,0.84,3 out of 5 stars,A-
Tyreek Hill,WR,MIA,DEN,39,17.9,0.459,2 out of 5 stars,A+
River Cracraft,WR,MIA,DEN,14,2.6,0.1857,2 out of 5 stars,F
Durham Smythe,TE,MIA,DEN,10,4.6,0.46,3 out of 5 stars,F
Braxton Berrios,WR,MIA,DEN,12,4.4,0.3667,2 out of 5 stars,F
Alec Ingold,RB,MIA,DEN,10,1.2,0.12,3 out of 5 stars,F
Tua Tagovailoa,QB,MIA,DEN,30,19.5,0.65,2 out of 5 stars,B+
Salvon Ahmed,RB,MIA,DEN,10,2.4,0.24,3 out of 5 stars,F
Jaylen Waddle,WR,MIA,DEN,26,10.2,0.3923,2 out of 5 stars,A-
