Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Lamar Jackson,QB,BAL,TEN,34,21.2,0.6235,4 out of 5 stars,A,20,12.8,0.5999999999999999
Ryan Tannehill,QB,TEN,BAL,20,12.8,0.64,3 out of 5 stars,F,20,12.8,0
Russell Wilson,QB,DEN,KC,26,16.5,0.6346,3 out of 5 stars,C,20,12.8,0.6166666666666666
Patrick Mahomes,QB,KC,DEN,39,22.7,0.5821,5 out of 5 stars,A,20,12.8,0.5210526315789473
Sam Howell,QB,WAS,ATL,23,16.2,0.7043,3 out of 5 stars,C,20,12.8,1.1333333333333329
Desmond Ridder,QB,ATL,WAS,22,13.9,0.6318,4 out of 5 stars,F,20,12.8,0.5499999999999998
Jared Goff,QB,DET,TB,26,16,0.6154,2 out of 5 stars,C,20,12.8,0.5333333333333332
Baker Mayfield,QB,TB,DET,26,15,0.5769,3 out of 5 stars,D,20,12.8,0.36666666666666653
Brock Purdy,QB,SF,CLE,26,15.5,0.5962,3 out of 5 stars,C-,20,12.8,0.4499999999999999
Derek Carr,QB,NO,HOU,21,14.3,0.681,3 out of 5 stars,F,20,12.8,1.5
Jameis Winston,QB,NO,HOU,20,0,0,3 out of 5 stars,F,20,12.8,0
Taysom Hill,QB,NO,HOU,20,4.9,0.245,3 out of 5 stars,F,20,12.8,0
C J Stroud,QB,HOU,NO,28,15.8,0.5643,2 out of 5 stars,C,20,12.8,0.375
Andy Dalton,QB,CAR,MIA,25,0,0,3 out of 5 stars,F,20,12.8,-2.56
Bryce Young,QB,CAR,MIA,22,14.2,0.6455,3 out of 5 stars,F,20,12.8,0.6999999999999993
Tua Tagovailoa,QB,MIA,CAR,32,19.8,0.6188,2 out of 5 stars,A-,20,12.8,0.5833333333333334
Geno Smith,QB,SEA,CIN,24,16.7,0.6958,3 out of 5 stars,C+,20,12.8,0.9749999999999996
Joe Burrow,QB,CIN,SEA,27,18.3,0.6778,3 out of 5 stars,B,20,12.8,0.7857142857142857
Trevor Lawrence,QB,JAC,IND,26,18.8,0.7231,3 out of 5 stars,B+,20,12.8,1
Kirk Cousins,QB,MIN,CHI,35,17.5,0.5,5 out of 5 stars,B-,20,12.8,0.3133333333333333
Justin Fields,QB,CHI,MIN,34,20.5,0.6029,4 out of 5 stars,A,20,12.8,0.5499999999999999
Mac Jones,QB,NE,LV,21,13.6,0.6476,4 out of 5 stars,F,20,12.8,0.7999999999999989
