Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Jalen Hurts,QB,PHI,KC,38,21.1,0.5553,2 out of 5 stars,A,20,14.1,0.388888888888889
Patrick Mahomes,QB,KC,PHI,37,21.5,0.5811,4 out of 5 stars,A+,20,14.1,0.43529411764705883
Lamar Jackson,QB,BAL,CIN,36,20.8,0.5778,2 out of 5 stars,A,20,14.1,0.41875000000000007
Dak Prescott,QB,DAL,CAR,31,19.4,0.6258,2 out of 5 stars,A,20,14.1,0.4818181818181817
Andy Dalton,QB,CAR,DAL,20,0,0,2 out of 5 stars,F,20,14.1,0
Bryce Young,QB,CAR,DAL,20,13.4,0.67,2 out of 5 stars,F,20,14.1,0
Mitch Trubisky,QB,PIT,CLE,20,0,0,2 out of 5 stars,F,20,14.1,0
Kenny Pickett,QB,PIT,CLE,20,12.5,0.625,2 out of 5 stars,F,20,14.1,0
P J Walker,QB,CLE,PIT,20,12.2,0.61,2 out of 5 stars,F,20,14.1,0
Dorian Thompson Robinson,QB,CLE,PIT,20,13.1,0.655,2 out of 5 stars,F,20,14.1,0
Justin Fields,QB,CHI,DET,33,17.5,0.5303,4 out of 5 stars,C+,20,14.1,0.26153846153846155
Tyson Bagent,QB,CHI,DET,20,0,0,4 out of 5 stars,F,20,14.1,0
Jared Goff,QB,DET,CHI,32,18.4,0.575,5 out of 5 stars,B,20,14.1,0.3583333333333332
Clayton Tune,QB,ARI,HOU,20,0,0,4 out of 5 stars,F,20,14.1,0
C J Stroud,QB,HOU,ARI,33,18.9,0.5727,5 out of 5 stars,B+,20,14.1,0.36923076923076914
Kyler Murray,QB,ARI,HOU,28,18.2,0.65,4 out of 5 stars,B,20,14.1,0.5125
Jimmy Garoppolo,QB,LV,MIA,20,0,0,4 out of 5 stars,F,20,14.1,0
Aidan O Connell,QB,LV,MIA,20,14.1,0.705,4 out of 5 stars,F,20,14.1,0
Tua Tagovailoa,QB,MIA,LV,32,19.8,0.6188,4 out of 5 stars,A,20,14.1,0.4750000000000001
Tommy DeVito,QB,NYG,WAS,20,12.8,0.64,4 out of 5 stars,F,20,14.1,0
Sam Howell,QB,WAS,NYG,27,17.9,0.663,5 out of 5 stars,B,20,14.1,0.5428571428571427
Justin Herbert,QB,LAC,GB,30,18,0.6,4 out of 5 stars,B,20,14.1,0.39
Jordan Love,QB,GB,LAC,24,16.1,0.6708,4 out of 5 stars,D+,20,14.1,0.5000000000000004
Malik Willis,QB,TEN,JAC,20,0,0,2 out of 5 stars,F,20,14.1,0
Will Levis,QB,TEN,JAC,27,14.6,0.5407,2 out of 5 stars,D-,20,14.1,0.07142857142857142
Trevor Lawrence,QB,JAC,TEN,25,16.9,0.676,4 out of 5 stars,C,20,14.1,0.5599999999999998
Baker Mayfield,QB,TB,SF,24,15.1,0.6292,2 out of 5 stars,D,20,14.1,0.25
Brock Purdy,QB,SF,TB,28,17.7,0.6321,3 out of 5 stars,B-,20,14.1,0.44999999999999996
Zach Wilson,QB,NYJ,BUF,20,13.7,0.685,3 out of 5 stars,F,20,14.1,0
Josh Allen,QB,BUF,NYJ,38,20.3,0.5342,2 out of 5 stars,A,20,14.1,0.3444444444444445
Geno Smith,QB,SEA,LA,25,16.4,0.656,3 out of 5 stars,C-,20,14.1,0.4599999999999998
Matthew Stafford,QB,LA,SEA,26,15.6,0.6,3 out of 5 stars,D,20,14.1,0.25
Joshua Dobbs,QB,MIN,DEN,30,17.2,0.5733,4 out of 5 stars,C,20,14.1,0.30999999999999994
Russell Wilson,QB,DEN,MIN,24,16.6,0.6917,2 out of 5 stars,C-,20,14.1,0.6250000000000004
Boston Scott,RB,PHI,KC,10,0,0,2 out of 5 stars,F,10,6.9,0
A J Brown,WR,PHI,KC,37,16.3,0.4405,3 out of 5 stars,A+,10,6.9,0.34814814814814815
Olamide Zaccheaus,WR,PHI,KC,10,2.8,0.28,3 out of 5 stars,F,10,6.9,0
D Andre Swift,RB,PHI,KC,27,13.2,0.4889,2 out of 5 stars,A,10,6.9,0.3705882352941176
DeVonta Smith,WR,PHI,KC,20,11.5,0.575,3 out of 5 stars,A-,10,6.9,0.45999999999999996
Kenneth Gainwell,RB,PHI,KC,15,4.6,0.3067,2 out of 5 stars,D,10,6.9,-0.46000000000000013
Britain Covey,WR,PHI,KC,10,0,0,3 out of 5 stars,F,10,6.9,0
Jerick McKinnon,RB,KC,PHI,11,4.5,0.4091,2 out of 5 stars,D-,10,6.9,-2.4000000000000004
Justin Watson,WR,KC,PHI,10,3.9,0.39,4 out of 5 stars,F,10,6.9,0
Marquez Valdes Scantling,WR,KC,PHI,13,4.4,0.3385,4 out of 5 stars,D-,10,6.9,-0.8333333333333334
Clyde Edwards Helaire,RB,KC,PHI,10,1.9,0.19,2 out of 5 stars,F,10,6.9,0
Kadarius Toney,WR,KC,PHI,10,3.7,0.37,4 out of 5 stars,F,10,6.9,0
Skyy Moore,WR,KC,PHI,14,4.1,0.2929,4 out of 5 stars,F,10,6.9,-0.7000000000000002
Isiah Pacheco,RB,KC,PHI,18,11.4,0.6333,2 out of 5 stars,B,10,6.9,0.5625
Rashee Rice,WR,KC,PHI,20,8.7,0.435,4 out of 5 stars,C+,10,6.9,0.17999999999999988
Julio Jones,WR,PHI,KC,11,2.4,0.2182,3 out of 5 stars,F,10,6.9,-4.5
Tyler Boyd,WR,CIN,BAL,17,9.7,0.5706,2 out of 5 stars,B-,10,6.9,0.39999999999999986
Joe Mixon,RB,CIN,BAL,23,12.3,0.5348,3 out of 5 stars,B,10,6.9,0.4153846153846154
Trayveon Williams,RB,CIN,BAL,10,2.4,0.24,3 out of 5 stars,F,10,6.9,0
Trenton Irwin,WR,CIN,BAL,12,6.7,0.5583,2 out of 5 stars,C-,10,6.9,-0.10000000000000009
Ja Marr Chase,WR,CIN,BAL,31,15.3,0.4935,2 out of 5 stars,A+,10,6.9,0.4
Chris Evans,RB,CIN,BAL,10,0.4,0.04,3 out of 5 stars,F,10,6.9,0
Odell Beckham Jr,WR,BAL,CIN,11,6.4,0.5818,2 out of 5 stars,C-,10,6.9,-0.5
Nelson Agholor,WR,BAL,CIN,11,3.3,0.3,2 out of 5 stars,F,10,6.9,-3.6000000000000005
Patrick Ricard,RB,BAL,CIN,10,0.5,0.05,4 out of 5 stars,F,10,6.9,0
Gus Edwards,RB,BAL,CIN,23,9.9,0.4304,4 out of 5 stars,C+,10,6.9,0.23076923076923078
Justice Hill,RB,BAL,CIN,10,4,0.4,4 out of 5 stars,F,10,6.9,0
Devin Duvernay,WR,BAL,CIN,10,0.9,0.09,2 out of 5 stars,F,10,6.9,0
Rashod Bateman,WR,BAL,CIN,10,6.1,0.61,2 out of 5 stars,D+,10,6.9,0
