Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Tua Tagovailoa,QB,MIA,NYJ,32,16.7,0.5219,2 out of 5 stars,C+,20,13.5,0.2666666666666666
Tim Boyle,QB,NYJ,MIA,20,11.1,0.555,4 out of 5 stars,F,20,13.5,0
Zach Wilson,QB,NYJ,MIA,20,0,0,4 out of 5 stars,F,20,13.5,0
Trevor Siemian,QB,NYJ,MIA,20,0,0,4 out of 5 stars,F,20,13.5,0
Jordan Love,QB,GB,DET,27,15.5,0.5741,4 out of 5 stars,C-,20,13.5,0.2857142857142857
Jared Goff,QB,DET,GB,28,17.2,0.6143,4 out of 5 stars,B-,20,13.5,0.4624999999999999
Sam Howell,QB,WAS,DAL,28,16.3,0.5821,2 out of 5 stars,C,20,13.5,0.3500000000000001
Dak Prescott,QB,DAL,WAS,36,19.9,0.5528,4 out of 5 stars,A,20,13.5,0.3999999999999999
Brock Purdy,QB,SF,SEA,31,17.9,0.5774,3 out of 5 stars,B,20,13.5,0.39999999999999986
Geno Smith,QB,SEA,SF,23,14.3,0.6217,2 out of 5 stars,D,20,13.5,0.2666666666666669
Trevor Lawrence,QB,JAC,HOU,26,17.7,0.6808,4 out of 5 stars,B,20,13.5,0.6999999999999998
C J Stroud,QB,HOU,JAC,34,19.2,0.5647,3 out of 5 stars,B+,20,13.5,0.4071428571428571
Kenny Pickett,QB,PIT,CIN,22,13.3,0.6045,3 out of 5 stars,F,20,13.5,-0.09999999999999964
Jake Browning,QB,CIN,PIT,20,12.2,0.61,2 out of 5 stars,F,20,13.5,0
Bryce Young,QB,CAR,TEN,20,13.5,0.675,4 out of 5 stars,F,20,13.5,0
Will Levis,QB,TEN,CAR,23,13.8,0.6,2 out of 5 stars,F,20,13.5,0.10000000000000024
Derek Carr,QB,NO,ATL,24,14.6,0.6083,3 out of 5 stars,D,20,13.5,0.2749999999999999
Jameis Winston,QB,NO,ATL,23,3.4,0.1478,3 out of 5 stars,F,20,13.5,-3.3666666666666667
Taysom Hill,QB,NO,ATL,20,8.4,0.42,3 out of 5 stars,C+,20,13.5,0
Desmond Ridder,QB,ATL,NO,22,14,0.6364,2 out of 5 stars,D-,20,13.5,0.25
Baker Mayfield,QB,TB,IND,27,15.9,0.5889,3 out of 5 stars,C,20,13.5,0.3428571428571429
Mac Jones,QB,NE,NYG,20,12.5,0.625,5 out of 5 stars,F,20,13.5,0
Bailey Zappe,QB,NE,NYG,20,0,0,5 out of 5 stars,F,20,13.5,0
Tommy DeVito,QB,NYG,NE,21,12.8,0.6095,2 out of 5 stars,F,20,13.5,-0.6999999999999993
Dorian Thompson Robinson,QB,CLE,DEN,21,13.1,0.6238,3 out of 5 stars,F,20,13.5,-0.40000000000000036
Russell Wilson,QB,DEN,CLE,23,14.5,0.6304,2 out of 5 stars,D,20,13.5,0.3333333333333333
Matthew Stafford,QB,LA,ARI,30,14.9,0.4967,4 out of 5 stars,D+,20,13.5,0.14000000000000004
Kyler Murray,QB,ARI,LA,29,18.1,0.6241,3 out of 5 stars,B+,20,13.5,0.5111111111111113
Josh Allen,QB,BUF,PHI,39,20.6,0.5282,4 out of 5 stars,A,20,13.5,0.37368421052631584
Jalen Hurts,QB,PHI,BUF,39,22.4,0.5744,3 out of 5 stars,A+,20,13.5,0.46842105263157885
Patrick Mahomes,QB,KC,LV,34,21.4,0.6294,4 out of 5 stars,A,20,13.5,0.5642857142857142
