Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
12951137,201924395," "," "," "," "," "," "," "," "," "," ",1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",2. The Entry ID column lists all of your contest entries for this contest," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",3. Your current lineup is listed next to each entry (blank for reserved entries)," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",6. For faster processing only include entries you are changing in the file you upload," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","Note: For each entry, the salary cap is 200"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.27540$nfl.g.13470096,Odell,Beckham Jr.,nfl.p.27540$nfl.g.13470096 - Odell Beckham Jr.,WR,BAL,TEN,BAL@TEN,9:30AM EDT,14,3.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28408$nfl.g.13470096,Nelson,Agholor,nfl.p.28408$nfl.g.13470096 - Nelson Agholor,WR,BAL,TEN,BAL@TEN,9:30AM EDT,12,7.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30592$nfl.g.13470096,Patrick,Ricard,nfl.p.30592$nfl.g.13470096 - Patrick Ricard,RB,BAL,TEN,BAL@TEN,9:30AM EDT,10,1.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31002$nfl.g.13470096,Lamar,Jackson,nfl.p.31002$nfl.g.13470096 - Lamar Jackson,QB,BAL,TEN,BAL@TEN,9:30AM EDT,34,19.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31056$nfl.g.13470096,Mark,Andrews,nfl.p.31056$nfl.g.13470096 - Mark Andrews,TE,BAL,TEN,BAL@TEN,9:30AM EDT,21,12.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31424$nfl.g.13470096,Gus,Edwards,nfl.p.31424$nfl.g.13470096 - Gus Edwards,RB,BAL,TEN,BAL@TEN,9:30AM EDT,13,6.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31945$nfl.g.13470096,Justice,Hill,nfl.p.31945$nfl.g.13470096 - Justice Hill,RB,BAL,TEN,BAL@TEN,9:30AM EDT,11,8.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32762$nfl.g.13470096,Devin,Duvernay,nfl.p.32762$nfl.g.13470096 - Devin Duvernay,WR,BAL,TEN,BAL@TEN,9:30AM EDT,10,0.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32993$nfl.g.13470096,Tyler,Huntley,nfl.p.32993$nfl.g.13470096 - Tyler Huntley,QB,BAL,TEN,BAL@TEN,9:30AM EDT,20,0.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33415$nfl.g.13470096,Rashod,Bateman,nfl.p.33415$nfl.g.13470096 - Rashod Bateman,WR,BAL,TEN,BAL@TEN,9:30AM EDT,11,2.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34084$nfl.g.13470096,Charlie,Kolar,nfl.p.34084$nfl.g.13470096 - Charlie Kolar,TE,BAL,TEN,BAL@TEN,9:30AM EDT,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34095$nfl.g.13470096,Isaiah,Likely,nfl.p.34095$nfl.g.13470096 - Isaiah Likely,TE,BAL,TEN,BAL@TEN,9:30AM EDT,10,1.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.25718$nfl.g.13470096,Ryan,Tannehill,nfl.p.25718$nfl.g.13470096 - Ryan Tannehill,QB,TEN,BAL,BAL@TEN,9:30AM EDT,20,11.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.29279$nfl.g.13470096,Derrick,Henry,nfl.p.29279$nfl.g.13470096 - Derrick Henry,RB,TEN,BAL,BAL@TEN,9:30AM EDT,30,12.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.29341$nfl.g.13470096,Chris,Moore,nfl.p.29341$nfl.g.13470096 - Chris Moore,WR,TEN,BAL,BAL@TEN,9:30AM EDT,10,3.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31953$nfl.g.13470096,Trevon,Wesco,nfl.p.31953$nfl.g.13470096 - Trevon Wesco,TE,TEN,BAL,BAL@TEN,9:30AM EDT,10,1.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33348$nfl.g.13470096,Nick,Westbrook-Ikhine,nfl.p.33348$nfl.g.13470096 - Nick Westbrook-Ikhine,WR,TEN,BAL,BAL@TEN,9:30AM EDT,13,8.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33973$nfl.g.13470096,Treylon,Burks,nfl.p.33973$nfl.g.13470096 - Treylon Burks,WR,TEN,BAL,BAL@TEN,9:30AM EDT,13,4.6,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34042$nfl.g.13470096,Malik,Willis,nfl.p.34042$nfl.g.13470096 - Malik Willis,QB,TEN,BAL,BAL@TEN,9:30AM EDT,20,3.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34099$nfl.g.13470096,Chigoziem,Okonkwo,nfl.p.34099$nfl.g.13470096 - Chigoziem Okonkwo,TE,TEN,BAL,BAL@TEN,9:30AM EDT,11,3.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.t.33$nfl.g.13470096,Baltimore,Ravens,nfl.t.33$nfl.g.13470096 - Baltimore Ravens,DEF,BAL,TEN,BAL@TEN,9:30AM EDT,18,8.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.t.10$nfl.g.13470096,Tennessee,Titans,nfl.t.10$nfl.g.13470096 - Tennessee Titans,DEF,TEN,BAL,BAL@TEN,9:30AM EDT,14,6.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.8937$nfl.g.13470096,Josh,Johnson,nfl.p.8937$nfl.g.13470096 - Josh Johnson,QB,BAL,TEN,BAL@TEN,9:30AM EDT,20,0.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40039$nfl.g.13470096,Zay,Flowers,nfl.p.40039$nfl.g.13470096 - Zay Flowers,WR,BAL,TEN,BAL@TEN,9:30AM EDT,18,9.5," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.26650$nfl.g.13470096,DeAndre,Hopkins,nfl.p.26650$nfl.g.13470096 - DeAndre Hopkins,WR,TEN,BAL,BAL@TEN,9:30AM EDT,16,9.7," "," "
