Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
13373106,208895347," "," "," "," "," "," "," "," "," "," ",1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",2. The Entry ID column lists all of your contest entries for this contest," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",3. Your current lineup is listed next to each entry (blank for reserved entries)," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",6. For faster processing only include entries you are changing in the file you upload," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","Note: For each entry, the salary cap is 200"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.26652$nfl.g.13470466,Cordarrelle,Patterson,nfl.p.26652$nfl.g.13470466 - Cordarrelle Patterson,RB,ATL,NO,ATL@NO,1:00PM EST,10,2.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28531$nfl.g.13470466,MyCole,Pruitt,nfl.p.28531$nfl.g.13470466 - MyCole Pruitt,TE,ATL,NO,ATL@NO,1:00PM EST,10,2.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28839$nfl.g.13470466,Taylor,Heinicke,nfl.p.28839$nfl.g.13470466 - Taylor Heinicke,QB,ATL,NO,ATL@NO,1:00PM EST,23,14.0,Q," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30213$nfl.g.13470466,Jonnu,Smith,nfl.p.30213$nfl.g.13470466 - Jonnu Smith,TE,ATL,NO,ATL@NO,1:00PM EST,10,5.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30231$nfl.g.13470466,Mack,Hollins,nfl.p.30231$nfl.g.13470466 - Mack Hollins,WR,ATL,NO,ATL@NO,1:00PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31219$nfl.g.13470466,Logan,Woodside,nfl.p.31219$nfl.g.13470466 - Logan Woodside,QB,ATL,NO,ATL@NO,1:00PM EST,20,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31769$nfl.g.13470466,KhaDarel,Hodge,nfl.p.31769$nfl.g.13470466 - KhaDarel Hodge,WR,ATL,NO,ATL@NO,1:00PM EST,10,2.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32040$nfl.g.13470466,Scott,Miller,nfl.p.32040$nfl.g.13470466 - Scott Miller,WR,ATL,NO,ATL@NO,1:00PM EST,10,2.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32727$nfl.g.13470466,Van,Jefferson,nfl.p.32727$nfl.g.13470466 - Van Jefferson,WR,ATL,NO,ATL@NO,1:00PM EST,10,2.1," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33392$nfl.g.13470466,Kyle,Pitts,nfl.p.33392$nfl.g.13470466 - Kyle Pitts,TE,ATL,NO,ATL@NO,1:00PM EST,14,6.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33963$nfl.g.13470466,Drake,London,nfl.p.33963$nfl.g.13470466 - Drake London,WR,ATL,NO,ATL@NO,1:00PM EST,16,8.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34030$nfl.g.13470466,Desmond,Ridder,nfl.p.34030$nfl.g.13470466 - Desmond Ridder,QB,ATL,NO,ATL@NO,1:00PM EST,20,12.3," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34107$nfl.g.13470466,Tyler,Allgeier,nfl.p.34107$nfl.g.13470466 - Tyler Allgeier,RB,ATL,NO,ATL@NO,1:00PM EST,14,7.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34169$nfl.g.13470466,John,FitzPatrick,nfl.p.34169$nfl.g.13470466 - John FitzPatrick,TE,ATL,NO,ATL@NO,1:00PM EST,10,0.0," "," "
