Contest ID,Entry ID,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
13238650,206583669," "," "," "," "," "," "," "," "," "," ",1. The Contest ID column lists the contest you are editing; you may only edit one contest at a time," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",2. The Entry ID column lists all of your contest entries for this contest," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",3. Your current lineup is listed next to each entry (blank for reserved entries)," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",4. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","5. Use values from the ""ID"" or ""ID + Name"" column (you cannot use just the player's name)"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",6. For faster processing only include entries you are changing in the file you upload," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," ","Note: For each entry, the salary cap is 200"," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.8930$nfl.g.13470273,Matthew,Slater,nfl.p.8930$nfl.g.13470273 - Matthew Slater,WR,NE,PIT,NE@PIT,8:15PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28402$nfl.g.13470273,DeVante,Parker,nfl.p.28402$nfl.g.13470273 - DeVante Parker,WR,NE,PIT,NE@PIT,8:15PM EST,12,4.2,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.28482$nfl.g.13470273,Ty,Montgomery II,nfl.p.28482$nfl.g.13470273 - Ty Montgomery II,WR,NE,PIT,NE@PIT,8:15PM EST,10,0.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.29238$nfl.g.13470273,Ezekiel,Elliott,nfl.p.29238$nfl.g.13470273 - Ezekiel Elliott,RB,NE,PIT,NE@PIT,8:15PM EST,12,8.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.29269$nfl.g.13470273,Hunter,Henry,nfl.p.29269$nfl.g.13470273 - Hunter Henry,TE,NE,PIT,NE@PIT,8:15PM EST,10,6.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30175$nfl.g.13470273,JuJu,Smith-Schuster,nfl.p.30175$nfl.g.13470273 - JuJu Smith-Schuster,WR,NE,PIT,NE@PIT,8:15PM EST,10,4.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30627$nfl.g.13470273,Pharaoh,Brown,nfl.p.30627$nfl.g.13470273 - Pharaoh Brown,TE,NE,PIT,NE@PIT,8:15PM EST,10,3.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31012$nfl.g.13470273,Mike,Gesicki,nfl.p.31012$nfl.g.13470273 - Mike Gesicki,TE,NE,PIT,NE@PIT,8:15PM EST,10,3.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.32691$nfl.g.13470273,Jalen,Reagor,nfl.p.32691$nfl.g.13470273 - Jalen Reagor,WR,NE,PIT,NE@PIT,8:15PM EST,10,1.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33199$nfl.g.13470273,JaMycal,Hasty,nfl.p.33199$nfl.g.13470273 - JaMycal Hasty,RB,NE,PIT,NE@PIT,8:15PM EST,10,0.0,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33403$nfl.g.13470273,Mac,Jones,nfl.p.33403$nfl.g.13470273 - Mac Jones,QB,NE,PIT,NE@PIT,8:15PM EST,20,10.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.33508$nfl.g.13470273,Rhamondre,Stevenson,nfl.p.33508$nfl.g.13470273 - Rhamondre Stevenson,RB,NE,PIT,NE@PIT,8:15PM EST,17,10.6,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34005$nfl.g.13470273,Tyquan,Thornton,nfl.p.34005$nfl.g.13470273 - Tyquan Thornton,WR,NE,PIT,NE@PIT,8:15PM EST,10,2.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.34093$nfl.g.13470273,Bailey,Zappe,nfl.p.34093$nfl.g.13470273 - Bailey Zappe,QB,NE,PIT,NE@PIT,8:15PM EST,20,5.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40222$nfl.g.13470273,Demario,Douglas,nfl.p.40222$nfl.g.13470273 - Demario Douglas,WR,NE,PIT,NE@PIT,8:15PM EST,13,6.0,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.40224$nfl.g.13470273,Kayshon,Boutte,nfl.p.40224$nfl.g.13470273 - Kayshon Boutte,WR,NE,PIT,NE@PIT,8:15PM EST,10,1.0,O," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.27589$nfl.g.13470273,Allen,Robinson II,nfl.p.27589$nfl.g.13470273 - Allen Robinson II,WR,PIT,NE,NE@PIT,8:15PM EST,10,3.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.30115$nfl.g.13470273,Mitch,Trubisky,nfl.p.30115$nfl.g.13470273 - Mitch Trubisky,QB,PIT,NE,NE@PIT,8:15PM EST,20,9.7," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," ",nfl.p.31046$nfl.g.13470273,Mason,Rudolph,nfl.p.31046$nfl.g.13470273 - Mason Rudolph,QB,PIT,NE,NE@PIT,8:15PM EST,20,0.0," "," "
