Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Jacoby Brissett,QB,NE,NYJ,23,12.4,0.5391,1 out of 5 stars,F,20,16.1,-1.2333333333333336
Aaron Rodgers,QB,NYJ,NE,26,14.9,0.5731,2 out of 5 stars,D-,20,16.1,-0.20000000000000018
Drake Maye,QB,NE,NYJ,21,0,0,1 out of 5 stars,F,20,16.1,-16.1
Anthony Richardson,QB,IND,CHI,32,18,0.5625,2 out of 5 stars,B,20,16.1,0.15833333333333321
Caleb Williams,QB,CHI,IND,24,15.8,0.6583,2 out of 5 stars,D+,20,16.1,-0.07500000000000018
Daniel Jones,QB,NYG,CLE,24,14.5,0.6042,1 out of 5 stars,F,20,16.1,-0.40000000000000036
Jameis Winston,QB,CLE,NYG,20,0,0,2 out of 5 stars,F,20,16.1,0
Deshaun Watson,QB,CLE,NYG,26,16,0.6154,2 out of 5 stars,C-,20,16.1,-0.016666666666666902
Jordan Love,QB,GB,TEN,28,0,0,3 out of 5 stars,F,20,16.1,-2.0125
Malik Willis,QB,GB,TEN,22,12.6,0.5727,3 out of 5 stars,F,20,16.1,-1.7500000000000009
Will Levis,QB,TEN,GB,23,14.4,0.6261,1 out of 5 stars,F,20,16.1,-0.566666666666667
Jalen Hurts,QB,PHI,NO,31,21,0.6774,2 out of 5 stars,A,20,16.1,0.4454545454545453
Derek Carr,QB,NO,PHI,29,16.8,0.5793,4 out of 5 stars,C+,20,16.1,0.0777777777777777
Justin Herbert,QB,LAC,PIT,26,14.2,0.5462,1 out of 5 stars,F,20,16.1,-0.31666666666666704
Justin Fields,QB,PIT,LAC,20,16.1,0.805,3 out of 5 stars,C-,20,16.1,0
C J Stroud,QB,HOU,MIN,30,18.9,0.63,1 out of 5 stars,B+,20,16.1,0.2799999999999997
Sam Darnold,QB,MIN,HOU,27,16.3,0.6037,5 out of 5 stars,C,20,16.1,0.02857142857142847
Bo Nix,QB,DEN,TB,23,13.5,0.587,4 out of 5 stars,F,20,16.1,-0.8666666666666671
Baker Mayfield,QB,TB,DEN,31,16.9,0.5452,4 out of 5 stars,B-,20,16.1,0.07272727272727247
Andy Dalton,QB,CAR,LV,20,13.9,0.695,1 out of 5 stars,F,20,16.1,0
Bryce Young,QB,CAR,LV,22,0,0,1 out of 5 stars,F,20,16.1,-8.05
Gardner Minshew II,QB,LV,CAR,24,15.2,0.6333,3 out of 5 stars,D,20,16.1,-0.22500000000000053
Skylar Thompson,QB,MIA,SEA,23,13.1,0.5696,2 out of 5 stars,F,20,16.1,-1.0000000000000007
Geno Smith,QB,SEA,MIA,28,16.5,0.5893,1 out of 5 stars,C+,20,16.1,0.04999999999999982
Jared Goff,QB,DET,ARI,26,17.2,0.6615,4 out of 5 stars,B-,20,16.1,0.183333333333333
Kyler Murray,QB,ARI,DET,32,20.5,0.6406,4 out of 5 stars,A,20,16.1,0.36666666666666653
Brock Purdy,QB,SF,LA,27,17.5,0.6481,4 out of 5 stars,B,20,16.1,0.1999999999999998
Matthew Stafford,QB,LA,SF,25,14.7,0.588,3 out of 5 stars,F,20,16.1,-0.2800000000000004
Lamar Jackson,QB,BAL,DAL,36,21.5,0.5972,3 out of 5 stars,A,20,16.1,0.3374999999999999
Dak Prescott,QB,DAL,BAL,30,17.7,0.59,2 out of 5 stars,B,20,16.1,0.15999999999999978
Patrick Mahomes,QB,KC,ATL,30,19.9,0.6633,4 out of 5 stars,A-,20,16.1,0.3799999999999997
Kirk Cousins,QB,ATL,KC,25,15.4,0.616,3 out of 5 stars,D,20,16.1,-0.1400000000000002
Trevor Lawrence,QB,JAC,BUF,26,15.7,0.6038,2 out of 5 stars,D,20,16.1,-0.06666666666666703
Josh Allen,QB,BUF,JAC,40,22,0.55,5 out of 5 stars,A+,20,16.1,0.29499999999999993
Joe Burrow,QB,CIN,WAS,27,19.3,0.7148,5 out of 5 stars,A,20,16.1,0.457142857142857
Jayden Daniels,QB,WAS,CIN,31,18.4,0.5935,2 out of 5 stars,B+,20,16.1,0.20909090909090883
Antonio Gibson,RB,NE,NYJ,13,6.3,0.4846,3 out of 5 stars,D-,10,9.1,-0.9333333333333332
K J Osborn,WR,NE,NYJ,11,4.3,0.3909,1 out of 5 stars,F,10,9.1,-4.8
JaMycal Hasty,RB,NE,NYJ,10,0.1,0.01,3 out of 5 stars,F,10,9.1,0
Rhamondre Stevenson,RB,NE,NYJ,29,13.1,0.4517,3 out of 5 stars,B,10,9.1,0.21052631578947367
Tyquan Thornton,WR,NE,NYJ,10,2.3,0.23,1 out of 5 stars,F,10,9.1,0
DeMario Douglas,WR,NE,NYJ,10,5.6,0.56,1 out of 5 stars,F,10,9.1,0
Kayshon Boutte,WR,NE,NYJ,10,0,0,1 out of 5 stars,F,10,9.1,0
Mike Williams,WR,NYJ,NE,18,5.7,0.3167,3 out of 5 stars,F,10,9.1,-0.42499999999999993
