Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Curtis Samuel,WR,BUF,NYJ,10,4.7,0.47,1 out of 5 stars,D-,10,9.3,0
Mack Hollins,WR,BUF,NYJ,10,4.1,0.41,1 out of 5 stars,F,10,9.3,0
Marquez Valdes Scantling,WR,BUF,NYJ,10,1,0.1,1 out of 5 stars,F,10,9.3,0
Ty Johnson,RB,BUF,NYJ,10,4.4,0.44,1 out of 5 stars,F,10,9.3,0
James Cook,RB,BUF,NYJ,29,13.7,0.4724,1 out of 5 stars,A-,10,9.3,0.23157894736842097
Khalil Shakir,WR,BUF,NYJ,24,8,0.3333,1 out of 5 stars,C,10,9.3,-0.0928571428571429
Keon Coleman,WR,BUF,NYJ,16,6.8,0.425,1 out of 5 stars,D+,10,9.3,-0.4166666666666668
Ray Davis,RB,BUF,NYJ,10,3.2,0.32,1 out of 5 stars,F,10,9.3,0
Mike Williams,WR,NYJ,BUF,15,5.5,0.3667,1 out of 5 stars,D,10,9.3,-0.7600000000000001
Allen Lazard,WR,NYJ,BUF,17,8.2,0.4824,1 out of 5 stars,C,10,9.3,-0.15714285714285733
Garrett Wilson,WR,NYJ,BUF,26,12,0.4615,1 out of 5 stars,A,10,9.3,0.16874999999999996
Breece Hall,RB,NYJ,BUF,30,14.5,0.4833,5 out of 5 stars,A,10,9.3,0.25999999999999995
Malachi Corley,WR,NYJ,BUF,10,0.5,0.05,1 out of 5 stars,F,10,9.3,0
Braelon Allen,RB,NYJ,BUF,19,8.4,0.4421,5 out of 5 stars,C,10,9.3,-0.10000000000000003
George Kittle,TE,SF,SEA,22,10.9,0.4955,5 out of 5 stars,A+,10,5.3,0.46666666666666673
Pharaoh Brown,TE,SEA,SF,10,0.7,0.07,1 out of 5 stars,F,10,5.3,0
Noah Fant,TE,SEA,SF,10,5,0.5,1 out of 5 stars,D-,10,5.3,0
AJ Barner,TE,SEA,SF,10,1.4,0.14,1 out of 5 stars,F,10,5.3,0
Evan Engram,TE,JAC,CHI,18,5.4,0.3,2 out of 5 stars,D,10,5.3,0.012500000000000067
Luke Farrell,TE,JAC,CHI,10,0.5,0.05,2 out of 5 stars,F,10,5.3,0
Brenton Strange,TE,JAC,CHI,10,4,0.4,2 out of 5 stars,F,10,5.3,0
Gerald Everett,TE,CHI,JAC,10,1.8,0.18,3 out of 5 stars,F,10,5.3,0
Cole Kmet,TE,CHI,JAC,16,6.8,0.425,3 out of 5 stars,C,10,5.3,0.25
Cade Otton,TE,TB,NO,12,6.4,0.5333,2 out of 5 stars,D+,10,5.3,0.5500000000000003
Taysom Hill,TE,NO,TB,14,4.4,0.3143,2 out of 5 stars,F,10,5.3,-0.22499999999999987
Foster Moreau,TE,NO,TB,10,2.5,0.25,2 out of 5 stars,F,10,5.3,0
Juwan Johnson,TE,NO,TB,13,4.9,0.3769,2 out of 5 stars,F,10,5.3,-0.13333333333333316
Trey McBride,TE,ARI,GB,20,9.7,0.485,5 out of 5 stars,A,10,5.3,0.43999999999999995
Elijah Higgins,TE,ARI,GB,10,2.4,0.24,5 out of 5 stars,F,10,5.3,0
Luke Musgrave,TE,GB,ARI,10,3.4,0.34,2 out of 5 stars,F,10,5.3,0
Tucker Kraft,TE,GB,ARI,17,7.9,0.4647,2 out of 5 stars,B,10,5.3,0.3714285714285715
Mo Alie Cox,TE,IND,TEN,10,1.9,0.19,1 out of 5 stars,F,10,5.3,0
Kylen Granson,TE,IND,TEN,10,1.6,0.16,1 out of 5 stars,F,10,5.3,0
Drew Ogletree,TE,IND,TEN,10,1.5,0.15,1 out of 5 stars,F,10,5.3,0
Will Mallory,TE,IND,TEN,10,1.3,0.13,1 out of 5 stars,F,10,5.3,0
Nick Vannett,TE,TEN,IND,10,0.4,0.04,5 out of 5 stars,F,10,5.3,0
Chig Okonkwo,TE,TEN,IND,10,4.8,0.48,5 out of 5 stars,F,10,5.3,0
Josh Whyle,TE,TEN,IND,10,1.9,0.19,5 out of 5 stars,F,10,5.3,0
David Njoku,TE,CLE,PHI,18,3.8,0.2111,1 out of 5 stars,F,10,5.3,-0.1875
Jordan Akins,TE,CLE,PHI,10,2.8,0.28,1 out of 5 stars,F,10,5.3,0
Dallas Goedert,TE,PHI,CLE,18,7.7,0.4278,1 out of 5 stars,B-,10,5.3,0.30000000000000004
Grant Calcaterra,TE,PHI,CLE,10,1.4,0.14,1 out of 5 stars,F,10,5.3,0
Dalton Schultz,TE,HOU,NE,11,6.4,0.5818,4 out of 5 stars,C-,10,5.3,1.1000000000000005
Cade Stover,TE,HOU,NE,10,1.7,0.17,4 out of 5 stars,F,10,5.3,0
Hunter Henry,TE,NE,HOU,13,5.2,0.4,1 out of 5 stars,D-,10,5.3,-0.033333333333333215
Austin Hooper,TE,NE,HOU,10,2,0.2,1 out of 5 stars,F,10,5.3,0
Zach Ertz,TE,WAS,BAL,11,6.1,0.5545,4 out of 5 stars,D,10,5.3,0.7999999999999998
John Bates,TE,WAS,BAL,10,0.8,0.08,4 out of 5 stars,F,10,5.3,0
Ben Sinnott,TE,WAS,BAL,10,0.6,0.06,4 out of 5 stars,F,10,5.3,0
Mark Andrews,TE,BAL,WAS,11,6,0.5455,1 out of 5 stars,D+,10,5.3,0.7000000000000002
Charlie Kolar,TE,BAL,WAS,10,1.7,0.17,1 out of 5 stars,F,10,5.3,0
Isaiah Likely,TE,BAL,WAS,13,7,0.5385,1 out of 5 stars,C,10,5.3,0.5666666666666668
Hayden Hurst,TE,LAC,DEN,10,2.3,0.23,4 out of 5 stars,F,10,5.3,0
Will Dissly,TE,LAC,DEN,10,2.3,0.23,4 out of 5 stars,F,10,5.3,0
Adam Trautman,TE,DEN,LAC,10,1.8,0.18,4 out of 5 stars,F,10,5.3,0
Greg Dulcich,TE,DEN,LAC,10,2.4,0.24,4 out of 5 stars,F,10,5.3,0
Lucas Krull,TE,DEN,LAC,10,1,0.1,4 out of 5 stars,F,10,5.3,0
Nate Adkins,TE,DEN,LAC,10,1.1,0.11,4 out of 5 stars,F,10,5.3,0
Pat Freiermuth,TE,PIT,LV,14,7.4,0.5286,2 out of 5 stars,C+,10,5.3,0.5250000000000001
Connor Heyward,TE,PIT,LV,10,1.5,0.15,2 out of 5 stars,F,10,5.3,0
Darnell Washington,TE,PIT,LV,10,2.4,0.24,2 out of 5 stars,F,10,5.3,0
Harrison Bryant,TE,LV,PIT,10,1.2,0.12,3 out of 5 stars,F,10,5.3,0
Michael Mayer,TE,LV,PIT,10,1.5,0.15,3 out of 5 stars,F,10,5.3,0
Brock Bowers,TE,LV,PIT,20,9.4,0.47,3 out of 5 stars,A-,10,5.3,0.41000000000000003
Charlie Woerner,TE,ATL,CAR,10,0.4,0.04,3 out of 5 stars,F,10,5.3,0
Kyle Pitts,TE,ATL,CAR,14,7.9,0.5643,3 out of 5 stars,B,10,5.3,0.6500000000000001
Tommy Tremble,TE,CAR,ATL,10,0.6,0.06,2 out of 5 stars,F,10,5.3,0
Ja Tavion Sanders,TE,CAR,ATL,10,2.5,0.25,2 out of 5 stars,F,10,5.3,0
Brock Wright,TE,DET,DAL,10,1.9,0.19,2 out of 5 stars,F,10,5.3,0
Sam LaPorta,TE,DET,DAL,15,8.6,0.5733,2 out of 5 stars,B+,10,5.3,0.6599999999999999
Jake Ferguson,TE,DAL,DET,19,9.2,0.4842,3 out of 5 stars,A,10,5.3,0.4333333333333333
Luke Schoonmaker,TE,DAL,DET,10,1.2,0.12,3 out of 5 stars,F,10,5.3,0
Brevyn Spann Ford,TE,DAL,DET,10,0.7,0.07,3 out of 5 stars,F,10,5.3,0
Mike Gesicki,TE,CIN,NYG,10,5.3,0.53,2 out of 5 stars,D,10,5.3,0
Erick All Jr,TE,CIN,NYG,10,2.7,0.27,2 out of 5 stars,F,10,5.3,0
Daniel Bellinger,TE,NYG,CIN,10,0.9,0.09,3 out of 5 stars,F,10,5.3,0
Theo Johnson,TE,NYG,CIN,10,4.5,0.45,3 out of 5 stars,F,10,5.3,0
Dawson Knox,TE,BUF,NYJ,10,3.1,0.31,1 out of 5 stars,F,10,5.3,0
Dalton Kincaid,TE,BUF,NYJ,16,7.8,0.4875,1 out of 5 stars,B,10,5.3,0.4166666666666667
Tyler Conklin,TE,NYJ,BUF,13,7.1,0.5462,3 out of 5 stars,C,10,5.3,0.6
Jeremy Ruckert,TE,NYJ,BUF,10,1.4,0.14,3 out of 5 stars,F,10,5.3,0
San Francisco 49ers,DEF,SF,SEA,19,6.5,0.3421,3 out of 5 stars,B+,10,5.8,0.07777777777777779
Seattle Seahawks,DEF,SEA,SF,16,5.9,0.3688,1 out of 5 stars,C-,10,5.8,0.016666666666666757
Jacksonville Jaguars,DEF,JAC,CHI,10,5.5,0.55,3 out of 5 stars,D,10,5.8,0
Chicago Bears,DEF,CHI,JAC,20,6.9,0.345,3 out of 5 stars,A,10,5.8,0.11000000000000006
Tampa Bay Buccaneers,DEF,TB,NO,12,6.1,0.5083,3 out of 5 stars,C,10,5.8,0.1499999999999999
New Orleans Saints,DEF,NO,TB,17,5.7,0.3353,2 out of 5 stars,D+,10,5.8,-0.014285714285714235
Arizona Cardinals,DEF,ARI,GB,14,4.9,0.35,3 out of 5 stars,F,10,5.8,-0.22499999999999987
Green Bay Packers,DEF,GB,ARI,20,6.4,0.32,2 out of 5 stars,B,10,5.8,0.06000000000000005
Indianapolis Colts,DEF,IND,TEN,13,6.3,0.4846,5 out of 5 stars,B,10,5.8,0.16666666666666666
Tennessee Titans,DEF,TEN,IND,12,5.7,0.475,2 out of 5 stars,D,10,5.8,-0.04999999999999982
Cleveland Browns,DEF,CLE,PHI,15,5.6,0.3733,3 out of 5 stars,D,10,5.8,-0.040000000000000036
Philadelphia Eagles,DEF,PHI,CLE,13,7.5,0.5769,5 out of 5 stars,A+,10,5.8,0.5666666666666668
Houston Texans,DEF,HOU,NE,13,7.3,0.5615,5 out of 5 stars,A,10,5.8,0.5
New England Patriots,DEF,NE,HOU,14,6,0.4286,2 out of 5 stars,C,10,5.8,0.050000000000000044
Washington Commanders,DEF,WAS,BAL,11,5,0.4545,1 out of 5 stars,F,10,5.8,-0.7999999999999998
Baltimore Ravens,DEF,BAL,WAS,13,6.2,0.4769,1 out of 5 stars,C,10,5.8,0.13333333333333344
Los Angeles Chargers,DEF,LAC,DEN,18,6.7,0.3722,3 out of 5 stars,A-,10,5.8,0.11250000000000004
Denver Broncos,DEF,DEN,LAC,20,6.7,0.335,3 out of 5 stars,B+,10,5.8,0.09000000000000004
Pittsburgh Steelers,DEF,PIT,LV,18,8.3,0.4611,5 out of 5 stars,A+,10,5.8,0.3125000000000001
Las Vegas Raiders,DEF,LV,PIT,10,5.7,0.57,2 out of 5 stars,D,10,5.8,0
Atlanta Falcons,DEF,ATL,CAR,13,6.2,0.4769,4 out of 5 stars,C+,10,5.8,0.13333333333333344
Carolina Panthers,DEF,CAR,ATL,10,4.9,0.49,1 out of 5 stars,F,10,5.8,0
Detroit Lions,DEF,DET,DAL,14,5.9,0.4214,1 out of 5 stars,C-,10,5.8,0.025000000000000133
Dallas Cowboys,DEF,DAL,DET,13,5.3,0.4077,2 out of 5 stars,D-,10,5.8,-0.16666666666666666
Cincinnati Bengals,DEF,CIN,NYG,10,5.8,0.58,5 out of 5 stars,D+,10,5.8,0
New York Giants,DEF,NYG,CIN,17,5.1,0.3,3 out of 5 stars,F,10,5.8,-0.10000000000000002
Buffalo Bills,DEF,BUF,NYJ,16,6.3,0.3938,2 out of 5 stars,B-,10,5.8,0.08333333333333333
New York Jets,DEF,NYJ,BUF,17,6.4,0.3765,1 out of 5 stars,B,10,5.8,0.08571428571428578
