Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Josh Allen,QB,BUF,MIA,38,22.1,0.5816,4 out of 5 stars,A+,20,0,1.2277777777777779
Tua Tagovailoa,QB,MIA,BUF,27,17.6,0.6519,2 out of 5 stars,B,20,0,2.5142857142857147
Derek Carr,QB,NO,DAL,28,15.2,0.5429,2 out of 5 stars,F,20,0,1.9
Dak Prescott,QB,DAL,NO,30,17.9,0.5967,3 out of 5 stars,B,20,0,1.7899999999999998
Gardner Minshew II,QB,LV,BAL,24,13.3,0.5542,1 out of 5 stars,F,20,0,3.325
Aidan O Connell,QB,LV,BAL,20,0,0,1 out of 5 stars,F,20,0,0
Lamar Jackson,QB,BAL,LV,36,21.6,0.6,4 out of 5 stars,A,20,0,1.35
Daniel Jones,QB,NYG,WAS,23,16.2,0.7043,5 out of 5 stars,D,20,0,5.3999999999999995
Jayden Daniels,QB,WAS,NYG,32,19.1,0.5969,2 out of 5 stars,B+,20,0,1.5916666666666668
Justin Herbert,QB,LAC,CAR,26,16.4,0.6308,2 out of 5 stars,D+,20,0,2.733333333333333
Bryce Young,QB,CAR,LAC,23,13.6,0.5913,4 out of 5 stars,F,20,0,4.533333333333333
Anthony Richardson,QB,IND,GB,33,20.5,0.6212,4 out of 5 stars,A-,20,0,1.5769230769230769
Malik Willis,QB,GB,IND,23,13.9,0.6043,4 out of 5 stars,F,20,0,4.633333333333334
Brock Purdy,QB,SF,MIN,29,17.5,0.6034,2 out of 5 stars,B,20,0,1.9444444444444444
Sam Darnold,QB,MIN,SF,25,14.4,0.576,1 out of 5 stars,F,20,0,2.88
Jameis Winston,QB,CLE,JAC,20,0,0,3 out of 5 stars,F,20,0,0
Deshaun Watson,QB,CLE,JAC,26,14.8,0.5692,3 out of 5 stars,F,20,0,2.466666666666667
Trevor Lawrence,QB,JAC,CLE,27,16.8,0.6222,3 out of 5 stars,C-,20,0,2.4
Geno Smith,QB,SEA,NE,27,16,0.5926,2 out of 5 stars,D-,20,0,2.2857142857142856
Sam Howell,QB,SEA,NE,20,0,0,2 out of 5 stars,F,20,0,0
Jacoby Brissett,QB,NE,SEA,23,13.8,0.6,2 out of 5 stars,F,20,0,4.6000000000000005
Drake Maye,QB,NE,SEA,21,0,0,2 out of 5 stars,F,20,0,0
Aaron Rodgers,QB,NYJ,TEN,28,16.1,0.575,4 out of 5 stars,D,20,0,2.0125
Will Levis,QB,TEN,NYJ,23,13.2,0.5739,1 out of 5 stars,F,20,0,4.3999999999999995
Baker Mayfield,QB,TB,DET,31,17.3,0.5581,4 out of 5 stars,B-,20,0,1.5727272727272728
Jared Goff,QB,DET,TB,27,18.2,0.6741,3 out of 5 stars,B,20,0,2.6
Matthew Stafford,QB,LA,ARI,28,17.4,0.6214,5 out of 5 stars,B-,20,0,2.175
Kyler Murray,QB,ARI,LA,29,19.8,0.6828,2 out of 5 stars,B+,20,0,2.2
Justin Fields,QB,PIT,DEN,25,17,0.68,5 out of 5 stars,C,20,0,3.4
Bo Nix,QB,DEN,PIT,24,13.4,0.5583,3 out of 5 stars,F,20,0,3.35
Joe Burrow,QB,CIN,KC,26,17.2,0.6615,2 out of 5 stars,C,20,0,2.8666666666666667
Patrick Mahomes,QB,KC,CIN,33,21.1,0.6394,3 out of 5 stars,A-,20,0,1.623076923076923
C J Stroud,QB,HOU,CHI,29,18.6,0.6414,4 out of 5 stars,B,20,0,2.066666666666667
Caleb Williams,QB,CHI,HOU,24,16.5,0.6875,4 out of 5 stars,D+,20,0,4.125
Kirk Cousins,QB,ATL,PHI,25,15.6,0.624,4 out of 5 stars,D-,20,0,3.12
Jalen Hurts,QB,PHI,ATL,32,22.1,0.6906,4 out of 5 stars,A+,20,0,1.8416666666666668
Curtis Samuel,WR,BUF,MIA,14,6.3,0.45,4 out of 5 stars,F,10,14,-1.925
Mack Hollins,WR,BUF,MIA,10,5.7,0.57,4 out of 5 stars,F,10,14,0
Marquez Valdes Scantling,WR,BUF,MIA,10,0.9,0.09,4 out of 5 stars,F,10,14,0
Ty Johnson,RB,BUF,MIA,10,2.1,0.21,4 out of 5 stars,F,10,14,0
Reggie Gilliam,RB,BUF,MIA,10,0,0,4 out of 5 stars,F,10,14,0
James Cook,RB,BUF,MIA,28,13.7,0.4893,4 out of 5 stars,A-,10,14,-0.016666666666666705
