Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Lamar Jackson,QB,BAL,NYG,38,22.3,0.587,4 out of 5 stars,A,20,13.9,0.466666667,,214,1.5,0.3,42,,180,0.357142857,21.19771429,22.3,38,21.528,0.5665
Josh Allen,QB,BUF,DET,37,23.3,0.63,2 out of 5 stars,A+,20,13.9,0.552941177,,258,1.6,0.5,40,,120,0.454545455,23.62363636,23.3,37,23.527,0.6359
Jayden Daniels,QB,WAS,NO,34,21.5,0.632,2 out of 5 stars,A,20,13.9,0.542857143,,219,1.4,0.4,40,,115,0.465116279,21.4372093,21.5,34,21.456,0.6311
Kyler Murray,QB,ARI,NE,32,19.1,0.597,5 out of 5 stars,B+,20,13.9,0.433333333,,223,1.5,0.5,25,,187,0.348432056,19.49508711,19.1,32,19.377,0.6055
Patrick Mahomes,QB,KC,CLE,30,17.1,0.57,4 out of 5 stars,B-,20,13.9,0.32,,235,1.5,0.5,15,,600,0.142857143,17.48428571,17.1,30,17.369,0.579
Justin Herbert,QB,LAC,TB,27,17.9,0.663,4 out of 5 stars,B,20,13.9,0.571428571,,241,1.5,0.5,14,,215,0.317460318,18.83352381,17.9,27,18.553,0.6872
Aaron Rodgers,QB,NYJ,JAC,23,15.4,0.67,5 out of 5 stars,D-,20,13.9,0.5,,234,1.4,0.5,0,,900,0.1,15.156,15.4,23,15.229,0.6621
Cooper Rush,QB,DAL,CAR,20,13.9,0.695,5 out of 5 stars,F,20,13.9,0,,210,1.1,0.5,3,,950,0.095238095,13.28085714,13.9,20,13.467,0.6733
Saquon Barkley,RB,PHI,PIT,40,18.2,0.455,3 out of 5 stars,A+,10,8.2,0.333333333,,,,,111,1.8,-180,0.642857143,17.24828571,18.2,40,17.534,0.4383
Derrick Henry,RB,BAL,NYG,39,18.6,0.477,4 out of 5 stars,A+,10,8.2,0.35862069,,,,,104,0.6,-275,0.733333333,16.464,18.6,39,17.105,0.4386
Joe Mixon,RB,HOU,MIA,37,17.9,0.484,4 out of 5 stars,A,10,8.2,0.359259259,,,,,98,3.4,-190,0.655172414,16.852,17.9,37,17.166,0.464
Bijan Robinson,RB,ATL,LV,36,18.2,0.506,4 out of 5 stars,A,10,8.2,0.384615385,,,,,110,3.6,-180,0.642857143,18.15028571,18.2,36,18.165,0.5046
Chase Brown,RB,CIN,TEN,35,16.1,0.46,3 out of 5 stars,A,10,8.2,0.316,,,,,96,4.4,-150,0.6,16.816,16.1,35,16.601,0.4743
Josh Jacobs,RB,GB,SEA,34,15.9,0.468,3 out of 5 stars,A,10,8.2,0.320833333,,,,,90,2.4,-165,0.622641509,15.21758491,15.9,34,15.422,0.4536
De Von Achane,RB,MIA,HOU,33,15.9,0.482,2 out of 5 stars,A,10,8.2,0.334782609,,,,,81,4.5,-110,0.523809524,14.75171429,15.9,33,15.096,0.4575
James Conner,RB,ARI,NE,32,15.4,0.481,4 out of 5 stars,A,10,8.2,0.327272727,,,,,91,3.4,-185,0.649122807,16.06789474,15.4,32,15.868,0.4959
Chuba Hubbard,RB,CAR,DAL,30,16.7,0.557,4 out of 5 stars,A,10,8.2,0.425,,,,,99,2.6,-185,0.649122807,16.46789474,16.7,30,16.538,0.5513
Brian Robinson Jr,RB,WAS,NO,27,14.3,0.53,4 out of 5 stars,B+,10,8.2,0.358823529,,,,,86,1.5,-138,0.579831933,13.99163025,14.3,27,14.084,0.5216
