Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Lamar Jackson,QB,BAL,KC,37,19.4,0.5243,2 out of 5 stars,A,20,0.6,1.1058823529411763
Patrick Mahomes,QB,KC,BAL,33,21.5,0.6515,1 out of 5 stars,A,20,0.6,1.6076923076923075
Jordan Love,QB,GB,PHI,30,18.2,0.6067,5 out of 5 stars,B,20,0.6,1.7599999999999998
Jalen Hurts,QB,PHI,GB,35,22.5,0.6429,5 out of 5 stars,A,20,0.6,1.46
Bryce Young,QB,CAR,NO,25,14,0.56,3 out of 5 stars,F,20,0.6,2.68
Derek Carr,QB,NO,CAR,25,14.9,0.596,2 out of 5 stars,F,20,0.6,2.8600000000000003
Will Levis,QB,TEN,CHI,26,15.2,0.5846,4 out of 5 stars,F,20,0.6,2.433333333333333
Caleb Williams,QB,CHI,TEN,29,17.6,0.6069,4 out of 5 stars,B-,20,0.6,1.8888888888888888
C J Stroud,QB,HOU,IND,30,19.8,0.66,4 out of 5 stars,A,20,0.6,1.92
Anthony Richardson,QB,IND,HOU,31,20.5,0.6613,4 out of 5 stars,A,20,0.6,1.8090909090909089
Kyler Murray,QB,ARI,BUF,30,19,0.6333,2 out of 5 stars,B+,20,0.6,1.8399999999999999
Josh Allen,QB,BUF,ARI,40,24.9,0.6225,5 out of 5 stars,A+,20,0.6,1.2149999999999999
Jacoby Brissett,QB,NE,CIN,22,0.7,0.0318,2 out of 5 stars,F,20,0.6,0.04999999999999999
Joe Burrow,QB,CIN,NE,30,18.7,0.6233,2 out of 5 stars,B,20,0.6,1.8099999999999998
Drake Maye,QB,NE,CIN,26,0.6,0.0231,2 out of 5 stars,F,20,0.6,0
Trevor Lawrence,QB,JAC,MIA,29,18.4,0.6345,4 out of 5 stars,B,20,0.6,1.9777777777777774
Tua Tagovailoa,QB,MIA,JAC,28,17.9,0.6393,4 out of 5 stars,B,20,0.6,2.1624999999999996
Sam Darnold,QB,MIN,NYG,27,15.8,0.5852,2 out of 5 stars,F,20,0.6,2.1714285714285717
Daniel Jones,QB,NYG,MIN,25,16.3,0.652,2 out of 5 stars,D-,20,0.6,3.14
Russell Wilson,QB,PIT,ATL,25,14.6,0.584,4 out of 5 stars,F,20,0.6,2.8
Justin Fields,QB,PIT,ATL,25,13.7,0.548,4 out of 5 stars,F,20,0.6,2.62
Kirk Cousins,QB,ATL,PIT,27,16,0.5926,3 out of 5 stars,D-,20,0.6,2.2
Jarrett Stidham,QB,DEN,SEA,20,0.6,0.03,2 out of 5 stars,F,20,0.6,0
Bo Nix,QB,DEN,SEA,26,14.3,0.55,2 out of 5 stars,F,20,0.6,2.2833333333333337
Geno Smith,QB,SEA,DEN,26,17.2,0.6615,5 out of 5 stars,C,20,0.6,2.766666666666666
Gardner Minshew II,QB,LV,LAC,23,13.5,0.587,4 out of 5 stars,F,20,0.6,4.3
Aidan O Connell,QB,LV,LAC,20,0.5,0.025,4 out of 5 stars,F,20,0.6,0
Justin Herbert,QB,LAC,LV,28,16.7,0.5964,4 out of 5 stars,D,20,0.6,2.0124999999999997
Dak Prescott,QB,DAL,CLE,32,16.9,0.5281,3 out of 5 stars,D+,20,0.6,1.3583333333333332
