Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Josh Allen,QB,BUF,NE,40,25.9,0.648,4 out of 5 stars,A+,20,15.3,0.53,,235,1.7,0.5,36,,-135,0.574468085,23.51429787,25.9,40,24.23,0.6058
Jalen Hurts,QB,PHI,WAS,36,23.6,0.656,5 out of 5 stars,A,20,15.3,0.51875,,199,1.1,0.3,38,,-145,0.591836735,20.20718367,23.6,36,21.225,0.5896
Jordan Love,QB,GB,NO,28,17.6,0.629,2 out of 5 stars,B,20,15.3,0.2875,,232,1.7,0.5,5,,500,0.166666667,17.27,17.6,28,17.369,0.6203
Anthony Richardson,QB,IND,TEN,26,16.9,0.65,3 out of 5 stars,B-,20,15.3,0.266666667,,184,1.1,0.5,47,,120,0.454545455,19.40563636,16.9,26,18.654,0.7175
Brock Purdy,QB,SF,MIA,25,17.2,0.688,3 out of 5 stars,B,20,15.3,0.38,,239,1.4,0.5,16,,400,0.2,17.748,17.2,25,17.584,0.7033
Cooper Rush,QB,DAL,TB,22,15.4,0.7,4 out of 5 stars,D,20,15.3,0.05,,236,1.3,0.6,3,,650,0.133333333,15.286,15.4,22,15.32,0.6964
Michael Penix,QB,ATL,NYG,20,15.3,0.765,4 out of 5 stars,D,20,15.3,0,,225,1.5,0.5,7,,675,0.129032258,16.14006452,15.3,20,15.888,0.7944
Jahmyr Gibbs,RB,DET,CHI,38,19.7,0.518,4 out of 5 stars,A+,10,8.3,0.407142857,,,,,122,3.5,-300,0.75,20.112,19.7,38,19.988,0.526
Josh Jacobs,RB,GB,NO,37,19.4,0.524,4 out of 5 stars,A+,10,8.3,0.411111111,,,,,104,2.5,-270,0.72972973,17.50291892,19.4,37,18.072,0.4884
De Von Achane,RB,MIA,SF,32,16.6,0.519,4 out of 5 stars,A,10,8.3,0.377272727,,,,,87,5.5,-125,0.555555556,16.16866667,16.6,32,16.298,0.5093
Rico Dowdle,RB,DAL,TB,28,14.2,0.507,2 out of 5 stars,A-,10,8.3,0.327777778,,,,,85,2.5,-125,0.555555556,14.27666667,14.2,28,14.254,0.5091
Jonathan Taylor,RB,IND,TEN,27,13.7,0.507,3 out of 5 stars,B+,10,8.3,0.317647059,,,,,92,1.3,-135,0.574468085,14.47829787,13.7,27,14.245,0.5276
Chuba Hubbard,RB,CAR,ARI,26,15.5,0.596,3 out of 5 stars,A,10,8.3,0.45,,,,,89,3.4,-160,0.615384615,15.62107692,15.5,26,15.585,0.5994
D Andre Swift,RB,CHI,DET,20,11.8,0.59,3 out of 5 stars,B,10,8.3,0.35,,,,,68,2.2,125,0.444444444,11.53333333,11.8,20,11.613,0.5807
Rhamondre Stevenson,RB,NE,BUF,19,11.1,0.584,4 out of 5 stars,C+,10,8.3,0.311111111,,,,,60,2.5,160,0.384615385,10.43692308,11.1,19,10.636,0.5598
Travis Etienne,RB,JAC,LV,17,11,0.647,4 out of 5 stars,C+,10,8.3,0.385714286,,,,,53,2.5,150,0.4,9.802,11,17,10.161,0.5977
Alexander Mattison,RB,LV,JAC,15,10.4,0.693,4 out of 5 stars,C,10,8.3,0.42,,,,,44,1.2,110,0.476190476,8.650285714,10.4,15,9.175,0.6117
Kendre Miller,RB,NO,GB,12,11.2,0.933,2 out of 5 stars,C+,10,8.3,1.45,,,,,67,2.5,150,0.4,11.286,11.2,12,11.26,0.9384
Patrick Taylor,RB,SF,MIA,10,8.3,0.83,4 out of 5 stars,C,10,8.3,0,,,,,50,1.6,110,0.476190476,9.510285714,8.3,10,9.147,0.9147
Ameer Abdullah,RB,LV,JAC,10,7.2,0.72,4 out of 5 stars,C-,10,8.3,0,,,,,36,2.5,260,0.277777778,7.149333333,7.2,10,7.165,0.7165
Ja Marr Chase,WR,CIN,CLE,40,17.6,0.44,4 out of 5 stars,A+,10,8.3,0.31,,,,,89,7.4,-155,0.607843137,17.80858824,17.6,40,17.746,0.4437
Puka Nacua,WR,LA,NYJ,38,15.8,0.416,3 out of 5 stars,A+,10,8.3,0.267857143,,,,,85,6.6,110,0.476190476,16.02028571,15.8,38,15.954,0.4198
CeeDee Lamb,WR,DAL,TB,37,14.5,0.392,3 out of 5 stars,A+,10,8.3,0.22962963,,,,,73,6.5,130,0.434782609,14.40408696,14.5,37,14.433,0.3901
Davante Adams,WR,NYJ,LA,35,13.8,0.394,3 out of 5 stars,A,10,8.3,0.22,,,,,73,6.4,125,0.444444444,14.41533333,13.8,35,14.231,0.4066
Justin Jefferson,WR,MIN,SEA,34,14.9,0.438,3 out of 5 stars,A+,10,8.3,0.275,,,,,79,6.4,115,0.465116279,15.1952093,14.9,34,15.107,0.4443
Amon Ra St Brown,WR,DET,CHI,34,14.2,0.418,3 out of 5 stars,A+,10,8.3,0.245833333,,,,,71,6.5,105,0.487804878,14.56112195,14.2,34,14.453,0.4251
Mike Evans,WR,TB,DAL,33,15.4,0.467,3 out of 5 stars,A+,10,8.3,0.308695652,,,,,80,5.5,-105,0.512195122,15.12487805,15.4,33,15.207,0.4608
A J Brown,WR,PHI,WAS,33,13.5,0.409,3 out of 5 stars,A,10,8.3,0.226086957,,,,,80,5.5,-105,0.512195122,15.12487805,13.5,33,14.637,0.4436
Malik Nabers,WR,NYG,ATL,29,12.7,0.438,4 out of 5 stars,A,10,8.3,0.231578947,,,,,70,6.5,200,0.333333333,13.38,12.7,29,13.176,0.4543
Tyreek Hill,WR,MIA,SF,28,13.3,0.475,3 out of 5 stars,A,10,8.3,0.277777778,,,,,70,5.5,105,0.487804878,13.89512195,13.3,28,13.717,0.4899
