Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
C J Stroud,QB,HOU,NYJ,26,14.8,0.5692,2 out of 5 stars,D-,20,15.4,-0.09999999999999994
Aaron Rodgers,QB,NYJ,HOU,24,15.6,0.65,2 out of 5 stars,D+,20,15.4,0.04999999999999982
Marcus Mariota,QB,WAS,NYG,20,0.2,0.01,4 out of 5 stars,F,20,15.4,0
Jayden Daniels,QB,WAS,NYG,33,20.4,0.6182,4 out of 5 stars,A,20,15.4,0.38461538461538447
Daniel Jones,QB,NYG,WAS,24,14.3,0.5958,4 out of 5 stars,F,20,15.4,-0.2749999999999999
Joe Flacco,QB,IND,MIN,20,15.4,0.77,2 out of 5 stars,D,20,15.4,0
Anthony Richardson,QB,IND,MIN,23,0.2,0.0087,2 out of 5 stars,F,20,15.4,-5.066666666666667
Sam Darnold,QB,MIN,IND,26,17.9,0.6885,5 out of 5 stars,B,20,15.4,0.41666666666666635
Justin Herbert,QB,LAC,CLE,24,15.2,0.6333,4 out of 5 stars,D,20,15.4,-0.050000000000000266
Jameis Winston,QB,CLE,LAC,22,15.5,0.7045,4 out of 5 stars,D+,20,15.4,0.04999999999999982
Dorian Thompson Robinson,QB,CLE,LAC,21,0.2,0.0095,4 out of 5 stars,F,20,15.4,-15.200000000000001
Josh Allen,QB,BUF,MIA,34,22,0.6471,4 out of 5 stars,A,20,15.4,0.4714285714285714
Tua Tagovailoa,QB,MIA,BUF,26,15.7,0.6038,2 out of 5 stars,C-,20,15.4,0.04999999999999982
Dak Prescott,QB,DAL,ATL,29,17.6,0.6069,4 out of 5 stars,B-,20,15.4,0.24444444444444458
Kirk Cousins,QB,ATL,DAL,29,18.9,0.6517,4 out of 5 stars,B+,20,15.4,0.3888888888888887
Derek Carr,QB,NO,CAR,25,15,0.6,5 out of 5 stars,D,20,15.4,-0.08000000000000007
Jake Haener,QB,NO,CAR,20,0.2,0.01,5 out of 5 stars,F,20,15.4,0
Spencer Rattler,QB,NO,CAR,20,3.9,0.195,5 out of 5 stars,F,20,15.4,0
Bryce Young,QB,CAR,NO,20,11.5,0.575,2 out of 5 stars,F,20,15.4,0
Jacoby Brissett,QB,NE,TEN,20,6.4,0.32,3 out of 5 stars,F,20,15.4,0
Drake Maye,QB,NE,TEN,22,10.5,0.4773,3 out of 5 stars,F,20,15.4,-2.45
Mason Rudolph,QB,TEN,NE,20,12.3,0.615,4 out of 5 stars,F,20,15.4,0
Will Levis,QB,TEN,NE,20,0.2,0.01,4 out of 5 stars,F,20,15.4,0
Gardner Minshew II,QB,LV,CIN,20,13.2,0.66,4 out of 5 stars,F,20,15.4,0
Joe Burrow,QB,CIN,LV,30,19.7,0.6567,3 out of 5 stars,A-,20,15.4,0.4299999999999999
Bo Nix,QB,DEN,BAL,30,16.1,0.5367,4 out of 5 stars,C+,20,15.4,0.0700000000000001
Lamar Jackson,QB,BAL,DEN,38,21.2,0.5579,2 out of 5 stars,A,20,15.4,0.3222222222222222
Caleb Williams,QB,CHI,ARI,29,16.6,0.5724,3 out of 5 stars,C+,20,15.4,0.13333333333333344
Kyler Murray,QB,ARI,CHI,30,18.1,0.6033,2 out of 5 stars,B,20,15.4,0.27000000000000013
Jared Goff,QB,DET,GB,28,16,0.5714,3 out of 5 stars,C,20,15.4,0.07499999999999996
Jordan Love,QB,GB,DET,29,16.3,0.5621,2 out of 5 stars,C,20,15.4,0.10000000000000003
Malik Willis,QB,GB,DET,20,4.9,0.245,2 out of 5 stars,F,20,15.4,0
Matthew Stafford,QB,LA,SEA,23,17.3,0.7522,3 out of 5 stars,B-,20,15.4,0.6333333333333334
Geno Smith,QB,SEA,LA,28,17,0.6071,2 out of 5 stars,C+,20,15.4,0.19999999999999996
Trevor Lawrence,QB,JAC,PHI,28,13.9,0.4964,2 out of 5 stars,F,20,15.4,-0.1875
Jalen Hurts,QB,PHI,JAC,31,22.1,0.7129,5 out of 5 stars,A+,20,15.4,0.6090909090909092
Baker Mayfield,QB,TB,KC,32,15.8,0.4938,2 out of 5 stars,C-,20,15.4,0.03333333333333336
