Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Jayden Daniels,QB,WAS,ATL,37,21.4,0.578,4 out of 5 stars,A,20,14.9,0.382352941,,220,1.5,0.5,48,,120,0.454545455,22.55163636,21.4,37,22.206,0.6002
Josh Allen,QB,BUF,NYJ,39,24.3,0.623,3 out of 5 stars,A+,20,14.9,0.494736842,,217,1.5,0.5,31,,-125,0.555555556,21.33266667,24.3,39,22.223,0.5698
Baker Mayfield,QB,TB,CAR,33,19.5,0.591,5 out of 5 stars,A,20,14.9,0.353846154,,246,1.4,0.4,13,,300,0.25,18.158,19.5,33,18.561,0.5624
Sam Darnold,QB,MIN,GB,32,18.8,0.588,2 out of 5 stars,A,20,14.9,0.325,,264,1.5,1.5,11,,400,0.2,17.618,18.8,32,17.973,0.5616
Jordan Love,QB,GB,MIN,29,17.3,0.597,2 out of 5 stars,B,20,14.9,0.266666667,,247,1.5,0.5,6.5,,600,0.142857143,17.06328571,17.3,29,17.134,0.5908
Brock Purdy,QB,SF,DET,26,18,0.692,2 out of 5 stars,B,20,14.9,0.516666667,,151,1.5,0.6,18,,400,0.2,14.74,18,26,15.718,0.6045
Michael Penix,QB,ATL,WAS,20,14.9,0.745,5 out of 5 stars,F,20,14.9,0,,195,1.2,0.5,12,,625,0.137931035,14.332,14.9,20,14.502,0.7251
Jahmyr Gibbs,RB,DET,SF,39,20.2,0.518,4 out of 5 stars,A+,10,6.2,0.482758621,,,,,121,3.6,-290,0.743589744,20.01738462,20.2,39,20.072,0.5147
Jonathan Taylor,RB,IND,NYG,32,16.6,0.519,4 out of 5 stars,A,10,6.2,0.472727273,,,,,104,1.5,-200,0.666666667,16.504,16.6,32,16.533,0.5167
Bucky Irving,RB,TB,CAR,31,16,0.516,4 out of 5 stars,A,10,6.2,0.466666667,,,,,102,2.5,-175,0.636363636,16.64109091,16,31,16.449,0.5306
Aaron Jones Sr,RB,MIN,GB,29,15.7,0.541,3 out of 5 stars,A-,10,6.2,0.5,,,,,84,3.4,-145,0.591836735,14.92718367,15.7,29,15.159,0.5227
Brian Robinson,RB,WAS,ATL,25,13.6,0.544,3 out of 5 stars,B,10,6.2,0.493333333,,,,,78,2.2,-120,0.545454546,13.29636364,13.6,25,13.387,0.5355
Tyjae Spears,RB,TEN,JAC,21,12.2,0.581,3 out of 5 stars,B-,10,6.2,0.545454546,,,,,84,3.5,115,0.465116279,14.1012093,12.2,21,13.531,0.6443
Alexander Mattison,RB,LV,NO,20,11.7,0.585,4 out of 5 stars,C+,10,6.2,0.55,,,,,58,2.3,124,0.446428571,10.54314286,11.7,20,10.89,0.5445
Travis Etienne,RB,JAC,TEN,17,10.9,0.641,3 out of 5 stars,C,10,6.2,0.671428571,,,,,51,2.5,155,0.392156863,9.535411765,10.9,17,9.945,0.585
Kendre Miller,RB,NO,LV,13,11.2,0.862,4 out of 5 stars,C+,10,6.2,1.666666667,,,,,56,1.6,150,0.4,9.616,11.2,13,10.091,0.7762
Raheem Mostert,RB,MIA,CLE,11,6.6,0.6,4 out of 5 stars,D+,10,6.2,0.4,,,,,17,,375,0.210526316,3.267263158,6.6,11,4.267,0.3879
Devin Singletary,RB,NYG,IND,10,6.2,0.62,3 out of 5 stars,D,10,6.2,0,,,,,19,,400,0.2,3.406,6.2,10,4.244,0.4244
Justin Jefferson,WR,MIN,GB,38,15.6,0.411,3 out of 5 stars,A+,10,6.2,0.335714286,,,,,89,6.5,-105,0.512195122,16.63887805,15.6,38,16.327,0.4297
Amon Ra St Brown,WR,DET,SF,35,14.3,0.409,3 out of 5 stars,A+,10,6.2,0.324,,,,,73,6.5,-110,0.523809524,15.02371429,14.3,35,14.807,0.423
Mike Evans,WR,TB,CAR,34,14.6,0.429,3 out of 5 stars,A+,10,6.2,0.35,,,,,84,5.5,-150,0.6,16.16,14.6,34,15.692,0.4615
A J Brown,WR,PHI,DAL,34,14,0.412,3 out of 5 stars,A,10,6.2,0.325,,,,,69,5.5,140,0.416666667,13.294,14,34,13.506,0.3972
Brian Thomas,WR,JAC,TEN,33,14.2,0.43,3 out of 5 stars,A,10,6.2,0.347826087,,,,,76,6.4,135,0.425531915,14.60170213,14.2,33,14.481,0.4388
Malik Nabers,WR,NYG,IND,28,12.5,0.446,3 out of 5 stars,A,10,6.2,0.35,,,,,62,5.6,220,0.3125,11.883,12.5,28,12.068,0.431
Drake London,WR,ATL,WAS,28,12.4,0.443,3 out of 5 stars,A-,10,6.2,0.344444444,,,,,59,4.6,150,0.4,11.614,12.4,28,11.85,0.4232
Jauan Jennings,WR,SF,DET,26,12.4,0.477,2 out of 5 stars,A,10,6.2,0.3875,,,,,62,4.6,162,0.381679389,11.80448855,12.4,26,11.983,0.4609
Calvin Ridley,WR,TEN,JAC,24,11,0.458,3 out of 5 stars,B,10,6.2,0.342857143,,,,,63,4.5,175,0.363636364,11.72890909,11,24,11.51,0.4796
Jayden Reed,WR,GB,MIN,19,10.4,0.547,3 out of 5 stars,B-,10,6.2,0.466666667,,,,,52,3.5,160,0.384615385,10.14892308,10.4,19,10.224,0.5381
Wan Dale Robinson,WR,NYG,IND,15,8.2,0.547,3 out of 5 stars,C,10,6.2,0.4,,,,,36,4.5,550,0.153846154,7.406769231,8.2,15,7.645,0.5096
Ricky Pearsall,WR,SF,DET,10,5.4,0.54,2 out of 5 stars,F,10,6.2,0,,,,,20,1.7,400,0.2,4.464,5.4,10,4.745,0.4745
Josh Downs,WR,IND,NYG,25,9.3,0.372,3 out of 5 stars,C+,10,6.2,0.206666667,,,,,59,5.6,210,0.322580645,11.63516129,9.3,25,10.935,0.4374
