Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Jameis Winston,QB,CLE,CIN,23,0.9,0.0391,4 out of 5 stars,F,20,15.3,-4.8
Dorian Thompson Robinson,QB,CLE,CIN,20,14.2,0.71,4 out of 5 stars,F,20,15.3,0
Joe Burrow,QB,CIN,CLE,35,22.2,0.6343,4 out of 5 stars,A,20,15.3,0.4599999999999999
C J Stroud,QB,HOU,KC,24,15.6,0.65,2 out of 5 stars,D+,20,15.3,0.07499999999999973
Carson Wentz,QB,KC,HOU,20,0.2,0.01,2 out of 5 stars,F,20,15.3,0
Patrick Mahomes,QB,KC,HOU,28,16.2,0.5786,2 out of 5 stars,C,20,15.3,0.11249999999999982
Russell Wilson,QB,PIT,BAL,25,14.6,0.584,3 out of 5 stars,F,20,15.3,-0.1400000000000002
Lamar Jackson,QB,BAL,PIT,38,20.7,0.5447,1 out of 5 stars,A,20,15.3,0.29999999999999993
Drew Lock,QB,NYG,ATL,20,12.8,0.64,4 out of 5 stars,F,20,15.3,0
Tommy DeVito,QB,NYG,ATL,20,0.2,0.01,4 out of 5 stars,F,20,15.3,0
Kirk Cousins,QB,ATL,NYG,21,0.1,0.0048,4 out of 5 stars,F,20,15.3,-15.200000000000001
Michael Penix,QB,ATL,NYG,20,15.3,0.765,4 out of 5 stars,D,20,15.3,0
Tim Boyle,QB,NYG,ATL,20,0.2,0.01,4 out of 5 stars,F,20,15.3,0
Drake Maye,QB,NE,BUF,24,15.1,0.6292,3 out of 5 stars,D-,20,15.3,-0.050000000000000266
Josh Allen,QB,BUF,NE,40,25.9,0.6475,4 out of 5 stars,A+,20,15.3,0.5299999999999999
Jared Goff,QB,DET,CHI,31,16.7,0.5387,2 out of 5 stars,B,20,15.3,0.12727272727272715
Caleb Williams,QB,CHI,DET,28,16.3,0.5821,2 out of 5 stars,C,20,15.3,0.125
Mason Rudolph,QB,TEN,IND,20,13.3,0.665,4 out of 5 stars,F,20,15.3,0
Will Levis,QB,TEN,IND,20,0.2,0.01,4 out of 5 stars,F,20,15.3,0
Joe Flacco,QB,IND,TEN,20,0.1,0.005,3 out of 5 stars,F,20,15.3,0
Anthony Richardson,QB,IND,TEN,26,16.9,0.65,3 out of 5 stars,B-,20,15.3,0.26666666666666633
Kyler Murray,QB,ARI,CAR,30,18.3,0.61,5 out of 5 stars,B+,20,15.3,0.3
Bryce Young,QB,CAR,ARI,22,14.9,0.6773,2 out of 5 stars,F,20,15.3,-0.20000000000000018
Jalen Hurts,QB,PHI,WAS,36,23.6,0.6556,5 out of 5 stars,A,20,15.3,0.51875
Jayden Daniels,QB,WAS,PHI,33,19.9,0.603,1 out of 5 stars,A,20,15.3,0.3538461538461537
Matthew Stafford,QB,LA,NYJ,25,15.9,0.636,4 out of 5 stars,C-,20,15.3,0.11999999999999993
Aaron Rodgers,QB,NYJ,LA,26,16.1,0.6192,3 out of 5 stars,C,20,15.3,0.13333333333333344
Sam Darnold,QB,MIN,SEA,30,17.9,0.5967,2 out of 5 stars,B,20,15.3,0.2599999999999998
Geno Smith,QB,SEA,MIN,23,15,0.6522,2 out of 5 stars,F,20,15.3,-0.10000000000000024
Sam Howell,QB,SEA,MIN,20,0.2,0.01,2 out of 5 stars,F,20,15.3,0
Bo Nix,QB,DEN,LAC,27,16.5,0.6111,3 out of 5 stars,C+,20,15.3,0.17142857142857132
Justin Herbert,QB,LAC,DEN,25,15.7,0.628,2 out of 5 stars,C-,20,15.3,0.07999999999999971
Mac Jones,QB,JAC,LV,23,13.8,0.6,4 out of 5 stars,F,20,15.3,-0.5
Desmond Ridder,QB,LV,JAC,20,0.2,0.01,5 out of 5 stars,F,20,15.3,0
Aidan O Connell,QB,LV,JAC,20,14.4,0.72,5 out of 5 stars,F,20,15.3,0
Brock Purdy,QB,SF,MIA,25,17.2,0.688,3 out of 5 stars,B,20,15.3,0.3799999999999997
Tua Tagovailoa,QB,MIA,SF,27,16.4,0.6074,2 out of 5 stars,C,20,15.3,0.15714285714285683
Baker Mayfield,QB,TB,DAL,32,19,0.5938,4 out of 5 stars,A,20,15.3,0.3083333333333333
Cooper Rush,QB,DAL,TB,22,15.4,0.7,4 out of 5 stars,D,20,15.3,0.04999999999999982
Spencer Rattler,QB,NO,GB,20,12,0.6,3 out of 5 stars,F,20,15.3,0
Jordan Love,QB,GB,NO,28,17.6,0.6286,2 out of 5 stars,B,20,15.3,0.2875000000000001
D Onta Foreman,RB,CLE,CIN,10,3.6,0.36,4 out of 5 stars,F,10,8.3,0
