Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,FPTS,FPROS,Salary,Avg,PPD
Josh Allen,QB,BUF,LA,39,22.5,0.577,3 out of 5 stars,A+,20,16.1,0.336842105,,242,1.5,0.4,30,,110,0.476190476,21.77428571,22.5,39,21.992,0.5639
Jalen Hurts,QB,PHI,CAR,38,21.9,0.576,5 out of 5 stars,A+,20,16.1,0.322222222,,201,1.2,0.1,41,,-175,0.636363636,21.51509091,21.9,38,21.631,0.5692
Tua Tagovailoa,QB,MIA,NYJ,30,17.4,0.58,3 out of 5 stars,B,20,16.1,0.13,,256,1.5,0.4,2.5,,850,0.105263158,16.83763158,17.4,30,17.006,0.5669
Kyler Murray,QB,ARI,SEA,29,18.6,0.641,2 out of 5 stars,A,20,16.1,0.277777778,,231,1.4,0.4,25,,260,0.277777778,19.02333333,18.6,29,18.896,0.6516
Sam Darnold,QB,MIN,ATL,28,19.5,0.696,4 out of 5 stars,A,20,16.1,0.425,,256,1.7,0.5,12.5,,410,0.196078431,19.22970588,19.5,28,19.311,0.6897
Justin Herbert,QB,LAC,KC,25,16.5,0.66,3 out of 5 stars,B-,20,16.1,0.08,,234,1.1,0.4,17.5,,450,0.181818182,16.48045455,16.5,25,16.486,0.6595
Kirk Cousins,QB,ATL,MIN,21,14.4,0.686,3 out of 5 stars,D,20,16.1,-1.7,,242,1.3,0.7,0,,1600,0.058823529,14.58941176,14.4,21,14.533,0.692
Will Levis,QB,TEN,JAC,20,16.1,0.805,5 out of 5 stars,C+,20,16.1,0,,214,1.2,0.4,19.5,,500,0.166666667,16.187,16.1,20,16.161,0.808
Cooper Rush,QB,DAL,CIN,20,15,0.75,4 out of 5 stars,D+,20,16.1,0,,234,1.3,0.7,2.5,,900,0.1,14.821,15,20,14.875,0.7437
Saquon Barkley,RB,PHI,CAR,40,20.7,0.518,4 out of 5 stars,A+,10,13.8,0.23,,,,,125,2.7,-275,0.733333333,19.866,20.7,40,20.116,0.5029
Alvin Kamara,RB,NO,NYG,34,18.5,0.544,4 out of 5 stars,A+,10,13.8,0.195833333,,,,,120,5.3,-180,0.642857143,20.16228571,18.5,34,19.664,0.5783
