Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Carson Wentz,QB,KC,PIT,20,0.2,0.01,1 out of 5 stars,F,20,14.9,0
Patrick Mahomes,QB,KC,PIT,30,17,0.5667,1 out of 5 stars,B-,20,14.9,0.20999999999999996
Russell Wilson,QB,PIT,KC,27,15.2,0.563,2 out of 5 stars,F,20,14.9,0.042857142857142705
Lamar Jackson,QB,BAL,HOU,40,22.8,0.57,2 out of 5 stars,A,20,14.9,0.395
C J Stroud,QB,HOU,BAL,25,15.7,0.628,3 out of 5 stars,D+,20,14.9,0.15999999999999978
Geno Smith,QB,SEA,CHI,27,15.9,0.5889,2 out of 5 stars,C,20,14.9,0.14285714285714285
Sam Howell,QB,SEA,CHI,20,0.2,0.01,2 out of 5 stars,F,20,14.9,0
Caleb Williams,QB,CHI,SEA,28,16.1,0.575,3 out of 5 stars,C,20,14.9,0.15000000000000013
Kirk Cousins,QB,ATL,WAS,20,0.1,0.005,5 out of 5 stars,F,20,14.9,0
Michael Penix,QB,ATL,WAS,20,14.9,0.745,5 out of 5 stars,F,20,14.9,0
Jayden Daniels,QB,WAS,ATL,37,21.4,0.5784,4 out of 5 stars,A,20,14.9,0.3823529411764705
Mason Rudolph,QB,TEN,JAC,25,15.6,0.624,5 out of 5 stars,D-,20,14.9,0.13999999999999985
Will Levis,QB,TEN,JAC,20,0.1,0.005,5 out of 5 stars,F,20,14.9,0
Mac Jones,QB,JAC,TEN,23,13.6,0.5913,3 out of 5 stars,F,20,14.9,-0.43333333333333357
Jordan Love,QB,GB,MIN,29,17.3,0.5966,2 out of 5 stars,B,20,14.9,0.2666666666666667
Sam Darnold,QB,MIN,GB,32,18.8,0.5875,2 out of 5 stars,A,20,14.9,0.325
Bryce Young,QB,CAR,TB,26,15.9,0.6115,4 out of 5 stars,C-,20,14.9,0.16666666666666666
Baker Mayfield,QB,TB,CAR,33,19.5,0.5909,5 out of 5 stars,A,20,14.9,0.3538461538461538
Joe Flacco,QB,IND,NYG,20,13.2,0.66,4 out of 5 stars,F,20,14.9,0
Drew Lock,QB,NYG,IND,23,12,0.5217,3 out of 5 stars,F,20,14.9,-0.9666666666666668
Tommy DeVito,QB,NYG,IND,20,0.2,0.01,3 out of 5 stars,F,20,14.9,0
Kyler Murray,QB,ARI,LA,31,17.7,0.571,3 out of 5 stars,B,20,14.9,0.25454545454545446
Matthew Stafford,QB,LA,ARI,24,16.3,0.6792,3 out of 5 stars,C+,20,14.9,0.3500000000000001
Desmond Ridder,QB,LV,NO,20,0.2,0.01,2 out of 5 stars,F,20,14.9,0
Aidan O Connell,QB,LV,NO,22,14.5,0.6591,2 out of 5 stars,F,20,14.9,-0.20000000000000018
Jake Haener,QB,NO,LV,20,0.2,0.01,4 out of 5 stars,F,20,14.9,0
Spencer Rattler,QB,NO,LV,22,12.2,0.5545,4 out of 5 stars,F,20,14.9,-1.3500000000000005
Justin Herbert,QB,LAC,NE,28,16.6,0.5929,4 out of 5 stars,B-,20,14.9,0.21250000000000013
Drake Maye,QB,NE,LAC,28,15.8,0.5643,3 out of 5 stars,D+,20,14.9,0.11250000000000004
Aaron Rodgers,QB,NYJ,BUF,26,15.5,0.5962,4 out of 5 stars,D-,20,14.9,0.09999999999999994
Josh Allen,QB,BUF,NYJ,39,24.3,0.6231,3 out of 5 stars,A+,20,14.9,0.4947368421052632
Bo Nix,QB,DEN,CIN,29,18.2,0.6276,4 out of 5 stars,B+,20,14.9,0.36666666666666653
Joe Burrow,QB,CIN,DEN,35,20.3,0.58,2 out of 5 stars,A,20,14.9,0.36000000000000004
Cooper Rush,QB,DAL,PHI,24,12.6,0.525,2 out of 5 stars,F,20,14.9,-0.5750000000000002
Kenny Pickett,QB,PHI,DAL,20,12.9,0.645,4 out of 5 stars,F,20,14.9,0
Tua Tagovailoa,QB,MIA,CLE,27,14.1,0.5222,4 out of 5 stars,F,20,14.9,-0.1142857142857144
Tyler Huntley,QB,MIA,CLE,20,7,0.35,4 out of 5 stars,F,20,14.9,0
Jameis Winston,QB,CLE,MIA,20,0.1,0.005,3 out of 5 stars,F,20,14.9,0
Dorian Thompson Robinson,QB,CLE,MIA,20,12.4,0.62,3 out of 5 stars,F,20,14.9,0
Jared Goff,QB,DET,SF,32,18.3,0.5719,2 out of 5 stars,B+,20,14.9,0.2833333333333334
Brock Purdy,QB,SF,DET,26,18,0.6923,2 out of 5 stars,B,20,14.9,0.5166666666666666
DeAndre Hopkins,WR,KC,PIT,21,8.8,0.419,2 out of 5 stars,C,10,6.2,0.23636363636363641
JuJu Smith Schuster,WR,KC,PIT,10,2.6,0.26,2 out of 5 stars,F,10,6.2,0
Kareem Hunt,RB,KC,PIT,18,7.3,0.4056,3 out of 5 stars,C-,10,6.2,0.13749999999999996
Samaje Perine,RB,KC,PIT,10,3.3,0.33,3 out of 5 stars,F,10,6.2,0
Justin Watson,WR,KC,PIT,10,2.4,0.24,2 out of 5 stars,F,10,6.2,0
Isiah Pacheco,RB,KC,PIT,22,9.8,0.4455,3 out of 5 stars,C,10,6.2,0.30000000000000004
Nikko Remigio,WR,KC,PIT,10,0,0,2 out of 5 stars,F,10,6.2,0
Xavier Worthy,WR,KC,PIT,22,10,0.4545,2 out of 5 stars,B-,10,6.2,0.31666666666666665
Carson Steele,RB,KC,PIT,10,0,0,3 out of 5 stars,F,10,6.2,0
Cordarrelle Patterson,RB,PIT,KC,10,3.1,0.31,2 out of 5 stars,F,10,6.2,0
Mike Williams,WR,PIT,KC,10,3.3,0.33,4 out of 5 stars,F,10,6.2,0
Scotty Miller,WR,PIT,KC,10,0.9,0.09,4 out of 5 stars,F,10,6.2,0
Van Jefferson,WR,PIT,KC,10,3.8,0.38,4 out of 5 stars,F,10,6.2,0
Najee Harris,RB,PIT,KC,25,9.7,0.388,2 out of 5 stars,C,10,6.2,0.23333333333333328
George Pickens,WR,PIT,KC,28,11.3,0.4036,4 out of 5 stars,B+,10,6.2,0.2833333333333334
Calvin Austin,WR,PIT,KC,16,6.2,0.3875,4 out of 5 stars,D,10,6.2,0
Jaylen Warren,RB,PIT,KC,20,10.1,0.505,2 out of 5 stars,C,10,6.2,0.38999999999999996
Derrick Henry,RB,BAL,HOU,35,16.7,0.4771,2 out of 5 stars,A,10,6.2,0.42
Patrick Ricard,RB,BAL,HOU,10,0.6,0.06,2 out of 5 stars,F,10,6.2,0
Rashod Bateman,WR,BAL,HOU,22,8,0.3636,4 out of 5 stars,C,10,6.2,0.15
Tylan Wallace,WR,BAL,HOU,10,2.5,0.25,4 out of 5 stars,F,10,6.2,0
Zay Flowers,WR,BAL,HOU,26,11.9,0.4577,4 out of 5 stars,A-,10,6.2,0.35625
Devontez Walker,WR,BAL,HOU,10,1.4,0.14,4 out of 5 stars,F,10,6.2,0
Rasheen Ali,RB,BAL,HOU,10,1.6,0.16,2 out of 5 stars,F,10,6.2,0
Robert Woods,WR,HOU,BAL,10,4.2,0.42,3 out of 5 stars,F,10,6.2,0
Joe Mixon,RB,HOU,BAL,33,14.3,0.4333,3 out of 5 stars,B+,10,6.2,0.35217391304347834
Dare Ogunbowale,RB,HOU,BAL,10,2.1,0.21,3 out of 5 stars,F,10,6.2,0
Nico Collins,WR,HOU,BAL,33,15,0.4545,3 out of 5 stars,A+,10,6.2,0.3826086956521739
John Metchie,WR,HOU,BAL,10,5.5,0.55,3 out of 5 stars,F,10,6.2,0
Dameon Pierce,RB,HOU,BAL,10,1.2,0.12,3 out of 5 stars,F,10,6.2,0
Xavier Hutchinson,WR,HOU,BAL,10,3.3,0.33,3 out of 5 stars,F,10,6.2,0
Tyler Lockett,WR,SEA,CHI,11,5.2,0.4727,3 out of 5 stars,F,10,6.2,-1
D K Metcalf,WR,SEA,CHI,23,10.7,0.4652,3 out of 5 stars,B,10,6.2,0.3461538461538461
Jaelon Darden,WR,SEA,CHI,10,0,0,3 out of 5 stars,F,10,6.2,0
Dareke Young,WR,SEA,CHI,10,0,0,3 out of 5 stars,F,10,6.2,0
Jaxon Smith Njigba,WR,SEA,CHI,32,12.7,0.3969,3 out of 5 stars,A,10,6.2,0.2954545454545454
Zach Charbonnet,RB,SEA,CHI,20,15.3,0.765,4 out of 5 stars,B+,10,6.2,0.9100000000000001
Kenny McIntosh,RB,SEA,CHI,10,4.1,0.41,4 out of 5 stars,F,10,6.2,0
Jake Bobo,WR,SEA,CHI,10,1.3,0.13,3 out of 5 stars,F,10,6.2,0
Keenan Allen,WR,CHI,SEA,31,10.8,0.3484,3 out of 5 stars,B,10,6.2,0.21904761904761907
D J Moore,WR,CHI,SEA,27,12.3,0.4556,3 out of 5 stars,A-,10,6.2,0.35882352941176476
D Andre Swift,RB,CHI,SEA,24,12,0.5,2 out of 5 stars,B-,10,6.2,0.41428571428571426
Collin Johnson,WR,CHI,SEA,10,0.5,0.05,3 out of 5 stars,F,10,6.2,0
Tyler Scott,WR,CHI,SEA,10,0.1,0.01,3 out of 5 stars,F,10,6.2,0
Roschon Johnson,RB,CHI,SEA,11,3.9,0.3545,2 out of 5 stars,F,10,6.2,-2.3000000000000003
Rome Odunze,WR,CHI,SEA,20,9.2,0.46,3 out of 5 stars,C,10,6.2,0.29999999999999993
Darrynton Evans,RB,CHI,SEA,10,0,0,2 out of 5 stars,F,10,6.2,0
Ray Ray McCloud,WR,ATL,WAS,16,6.6,0.4125,3 out of 5 stars,D,10,6.2,0.06666666666666658
KhaDarel Hodge,WR,ATL,WAS,10,0.8,0.08,3 out of 5 stars,F,10,6.2,0
Darnell Mooney,WR,ATL,WAS,21,9.5,0.4524,3 out of 5 stars,C+,10,6.2,0.3
Drake London,WR,ATL,WAS,28,12.4,0.4429,3 out of 5 stars,A-,10,6.2,0.34444444444444444
Tyler Allgeier,RB,ATL,WAS,13,7.1,0.5462,4 out of 5 stars,D+,10,6.2,0.2999999999999998
