Player,Pos,Team,Opp,Salary,FPTS,ppd,Matchup,StartSit,min_sal,rep_points,PAR_PD
Jayden Daniels,QB,WAS,PHI,31,18.6,0.6,1 out of 5 stars,A,20,15,0.3272727272727274
Jalen Hurts,QB,PHI,WAS,38,22.5,0.5921,5 out of 5 stars,A+,20,15,0.4166666666666667
Matthew Stafford,QB,LA,NE,24,15.4,0.6417,4 out of 5 stars,C-,20,15,0.10000000000000009
Jacoby Brissett,QB,NE,LA,20,0.1,0.005,4 out of 5 stars,F,20,15,0
Drake Maye,QB,NE,LA,24,16.1,0.6708,4 out of 5 stars,C,20,15,0.27500000000000036
Gardner Minshew II,QB,LV,MIA,20,11.9,0.595,3 out of 5 stars,F,20,15,0
Desmond Ridder,QB,LV,MIA,20,0.2,0.01,3 out of 5 stars,F,20,15,0
Tua Tagovailoa,QB,MIA,LV,25,16.2,0.648,4 out of 5 stars,C,20,15,0.23999999999999985
Jordan Love,QB,GB,CHI,28,16.5,0.5893,2 out of 5 stars,C+,20,15,0.1875
Malik Willis,QB,GB,CHI,20,0.1,0.005,2 out of 5 stars,F,20,15,0
Caleb Williams,QB,CHI,GB,23,13.7,0.5957,3 out of 5 stars,F,20,15,-0.43333333333333357
Trevor Lawrence,QB,JAC,DET,27,0.1,0.0037,2 out of 5 stars,F,20,15,-2.1285714285714286
Mac Jones,QB,JAC,DET,20,13.2,0.66,2 out of 5 stars,F,20,15,0
Jared Goff,QB,DET,JAC,25,16.9,0.676,5 out of 5 stars,B,20,15,0.3799999999999997
Jameis Winston,QB,CLE,NO,27,15.7,0.5815,2 out of 5 stars,C,20,15,0.0999999999999999
Derek Carr,QB,NO,CLE,24,14.2,0.5917,4 out of 5 stars,F,20,15,-0.20000000000000018
Sam Darnold,QB,MIN,TEN,27,15.9,0.5889,3 out of 5 stars,C,20,15,0.12857142857142861
Mason Rudolph,QB,TEN,MIN,20,0.1,0.005,2 out of 5 stars,F,20,15,0
Will Levis,QB,TEN,MIN,20,12.5,0.625,2 out of 5 stars,F,20,15,0
Lamar Jackson,QB,BAL,PIT,39,21.6,0.5538,1 out of 5 stars,A,20,15,0.34736842105263166
Russell Wilson,QB,PIT,BAL,30,16.7,0.5567,4 out of 5 stars,B-,20,15,0.16999999999999993
Justin Fields,QB,PIT,BAL,21,0.1,0.0048,4 out of 5 stars,F,20,15,-14.9
Geno Smith,QB,SEA,SF,27,16.4,0.6074,2 out of 5 stars,C+,20,15,0.1999999999999998
Brock Purdy,QB,SF,SEA,32,20.1,0.6281,3 out of 5 stars,A,20,15,0.4250000000000001
Kirk Cousins,QB,ATL,DEN,26,14.8,0.5692,2 out of 5 stars,D,20,15,-0.033333333333333215
Bo Nix,QB,DEN,ATL,29,17.5,0.6034,4 out of 5 stars,B,20,15,0.2777777777777778
Patrick Mahomes,QB,KC,BUF,28,17.1,0.6107,2 out of 5 stars,B,20,15,0.2625000000000002
Josh Allen,QB,BUF,KC,34,20.9,0.6147,2 out of 5 stars,A,20,15,0.4214285714285713
