"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Josh Allen",BUF,"at DET","2 out of 5 stars","A+","23.3"
"2","Lamar Jackson",BAL,"at NYG","4 out of 5 stars","A","22.3"
"3","Jayden Daniels",WAS,"at NO","2 out of 5 stars","A","21.5"
"4","Joe Burrow",CIN,"at TEN","3 out of 5 stars","A","20.7"
"5","Jalen Hurts",PHI,"vs. PIT","1 out of 5 stars","A","19.9"
"6","Brock Purdy",SF,"vs. LAR","4 out of 5 stars","B+","19.5"
"7","Kyler Murray",ARI,"vs. NE","5 out of 5 stars","B+","19.1"
"8","Sam Darnold",MIN,"vs. CHI","3 out of 5 stars","B","18.6"
"9","Tua Tagovailoa",MIA,"at HOU","3 out of 5 stars","B","18.2"
"10","Justin Herbert",LAC,"vs. TB","4 out of 5 stars","B","17.9"
"11","Bo Nix",DEN,"vs. IND","4 out of 5 stars","B-","17.5"
"12","Patrick Mahomes II",KC,"at CLE","4 out of 5 stars","B-","17.1"
"13","Jared Goff",DET,"vs. BUF","2 out of 5 stars","C+","16.8"
"14","C.J. Stroud",HOU,"vs. MIA","3 out of 5 stars","C+","16.6"
"15","Jordan Love",GB,"at SEA","2 out of 5 stars","C","16.4"
"16","Baker Mayfield",TB,"at LAC","2 out of 5 stars","C","16.3"
"17","Anthony Richardson",IND,"at DEN","3 out of 5 stars","C-","16.3"
"18","Jameis Winston",CLE,"vs. KC","3 out of 5 stars","C-","16.2"
"19","Drake Maye",NE,"at ARI","2 out of 5 stars","D+","16.0"
"20","Matthew Stafford",LAR,"at SF","2 out of 5 stars","D+","15.9"
"21","Geno Smith",SEA,"vs. GB","2 out of 5 stars","D","15.7"
"22","Caleb Williams",CHI,"at MIN","2 out of 5 stars","D","15.6"
"23","Aaron Rodgers",NYJ,"at JAC","5 out of 5 stars","D-","15.4"
"24","Kirk Cousins",ATL,"at LV","4 out of 5 stars","F","15.2"
"25","Bryce Young",CAR,"vs. DAL","4 out of 5 stars","F","15.0"
"26","Will Levis",TEN,"vs. CIN","5 out of 5 stars","F","14.7"
"27","Russell Wilson",PIT,"at PHI","1 out of 5 stars","F","14.4"
"28","Cooper Rush",DAL,"at CAR","5 out of 5 stars","F","13.9"
"29","Mac Jones",JAC,"vs. NYJ","3 out of 5 stars","F","13.4"
"30","Desmond Ridder",LV,"vs. ATL","4 out of 5 stars","F","12.7"
"31","Tommy DeVito",NYG,"vs. BAL","3 out of 5 stars","F","11.3"
"32","Jake Haener",NO,"vs. WAS","5 out of 5 stars","F","9.9"
"33","Aidan O'Connell",LV,"vs. ATL","4 out of 5 stars","F","7.2"
"34","Drew Lock",NYG,"vs. BAL","3 out of 5 stars","F","3.4"
"35","Spencer Rattler",NO,"vs. WAS","5 out of 5 stars","F","0.4"
"36","Justin Fields",PIT,"at PHI","1 out of 5 stars","F","0.2"
