"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Baltimore Ravens",BAL,"at NYG","5 out of 5 stars","A+","8.9"
"2","Minnesota Vikings",MIN,"vs. CHI","4 out of 5 stars","A","7.7"
"3","Kansas City Chiefs",KC,"at CLE","5 out of 5 stars","A","7.5"
"4","Washington Commanders",WAS,"at NO","4 out of 5 stars","B+","7.4"
"5","Denver Broncos",DEN,"vs. IND","3 out of 5 stars","A-","7.4"
"6","Philadelphia Eagles",PHI,"vs. PIT","3 out of 5 stars","B+","7.1"
"7","New York Jets",NYJ,"at JAC","3 out of 5 stars","B","7.0"
"8","Arizona Cardinals",ARI,"vs. NE","5 out of 5 stars","B","6.9"
"9","Cincinnati Bengals",CIN,"at TEN","5 out of 5 stars","B","6.7"
"10","Los Angeles Chargers",LAC,"vs. TB","2 out of 5 stars","B-","6.7"
"11","Atlanta Falcons",ATL,"at LV","5 out of 5 stars","B-","6.6"
"12","Green Bay Packers",GB,"at SEA","3 out of 5 stars","C+","6.4"
"13","Dallas Cowboys",DAL,"at CAR","3 out of 5 stars","C","6.2"
"14","San Francisco 49ers",SF,"vs. LAR","2 out of 5 stars","C","6.0"
"15","Pittsburgh Steelers",PIT,"at PHI","2 out of 5 stars","C-","5.9"
"16","Houston Texans",HOU,"vs. MIA","4 out of 5 stars","D+","5.9"
"17","Miami Dolphins",MIA,"at HOU","3 out of 5 stars","C-","5.8"
"18","Carolina Panthers",CAR,"vs. DAL","4 out of 5 stars","D+","5.8"
"19","Seattle Seahawks",SEA,"vs. GB","1 out of 5 stars","D","5.7"
"20","Jacksonville Jaguars",JAC,"vs. NYJ","3 out of 5 stars","D","5.6"
"21","Las Vegas Raiders",LV,"vs. ATL","3 out of 5 stars","D","5.6"
"22","Chicago Bears",CHI,"at MIN","3 out of 5 stars","D-","5.5"
"23","Detroit Lions",DET,"vs. BUF","1 out of 5 stars","D-","5.5"
"24","Cleveland Browns",CLE,"vs. KC","3 out of 5 stars","D-","5.5"
"25","Tampa Bay Buccaneers",TB,"at LAC","3 out of 5 stars","F","5.5"
"26","Indianapolis Colts",IND,"at DEN","2 out of 5 stars","F","5.5"
"27","Buffalo Bills",BUF,"at DET","1 out of 5 stars","F","5.3"
"28","Tennessee Titans",TEN,"vs. CIN","3 out of 5 stars","F","5.2"
"29","Los Angeles Rams",LAR,"at SF","2 out of 5 stars","F","5.1"
"30","New Orleans Saints",NO,"vs. WAS","1 out of 5 stars","F","5.0"
"31","New England Patriots",NE,"at ARI","2 out of 5 stars","F","4.7"
"32","New York Giants",NYG,"vs. BAL","1 out of 5 stars","F","4.4"
