"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","George Kittle",SF,"vs. KC","3 out of 5 stars","A","11.2"
"2","Travis Kelce",KC,"at SF","4 out of 5 stars","A+","11.1"
"3","Brock Bowers",LV,"at LAR","4 out of 5 stars","A","10.8"
"4","Trey McBride",ARI,"vs. LAC","2 out of 5 stars","A-","9.7"
"5","Evan Engram",JAC,"vs. NE","2 out of 5 stars","B+","9.0"
"6","Sam LaPorta",DET,"at MIN","3 out of 5 stars","B","7.8"
"7","Kyle Pitts",ATL,"vs. SEA","3 out of 5 stars","B","7.8"
"8","Tucker Kraft",GB,"vs. HOU","2 out of 5 stars","B-","7.5"
"9","Dalton Kincaid",BUF,"vs. TEN","2 out of 5 stars","B-","7.3"
"10","David Njoku",CLE,"vs. CIN","4 out of 5 stars","C+","7.1"
"11","Dalton Schultz",HOU,"at GB","4 out of 5 stars","C+","7.1"
"12","Zach Ertz",WAS,"vs. CAR","3 out of 5 stars","C","6.9"
"13","Cade Otton",TB,"vs. BAL","2 out of 5 stars","C","6.8"
"14","Mark Andrews",BAL,"at TB","3 out of 5 stars","C","6.6"
"15","Hunter Henry",NE,"at JAC","3 out of 5 stars","C-","6.3"
"16","Pat Freiermuth",PIT,"vs. NYJ","4 out of 5 stars","C-","6.0"
"17","Isaiah Likely",BAL,"at TB","3 out of 5 stars","D+","6.0"
"18","Colby Parkinson",LAR,"vs. LV","3 out of 5 stars","D+","5.9"
"19","Noah Fant",SEA,"at ATL","3 out of 5 stars","D","5.7"
"20","Tyler Conklin",NYJ,"at PIT","4 out of 5 stars","D-","5.7"
"21","Juwan Johnson",NO,"vs. DEN","2 out of 5 stars","D-","5.5"
"22","Grant Calcaterra",PHI,"at NYG","4 out of 5 stars","F","4.9"
"23","Jonnu Smith",MIA,"at IND","5 out of 5 stars","F","4.7"
"24","Theo Johnson",NYG,"vs. PHI","3 out of 5 stars","F","4.5"
"25","Ja'Tavion Sanders",CAR,"at WAS","2 out of 5 stars","F","4.3"
"26","Mike Gesicki",CIN,"at CLE","3 out of 5 stars","F","4.3"
"27","Will Dissly",LAC,"at ARI","2 out of 5 stars","F","4.1"
"28","Chig Okonkwo",TEN,"at BUF","3 out of 5 stars","F","3.7"
"29","Erick All Jr.",CIN,"at CLE","3 out of 5 stars","F","3.5"
"30","Harrison Bryant",LV,"at LAR","4 out of 5 stars","F","3.4"
"31","Dawson Knox",BUF,"vs. TEN","2 out of 5 stars","F","3.3"
"32","T.J. Hockenson",MIN,"vs. DET","2 out of 5 stars","F","3.2"
"33","Johnny Mundt",MIN,"vs. DET","2 out of 5 stars","F","3.1"
"34","Noah Gray",KC,"at SF","4 out of 5 stars","F","3.0"
"35","Foster Moreau",NO,"vs. DEN","2 out of 5 stars","F","2.8"
"36","Mo Alie-Cox",IND,"vs. MIA","2 out of 5 stars","F","2.8"
