"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brock Bowers",LV,"at TB","3 out of 5 stars","A+","13.2"
"2","Trey McBride",ARI,"vs. SEA","4 out of 5 stars","A","11.4"
"3","Travis Kelce",KC,"vs. LAC","2 out of 5 stars","A","11.2"
"4","George Kittle",SF,"vs. CHI","3 out of 5 stars","A-","11.2"
"5","Jonnu Smith",MIA,"vs. NYJ","3 out of 5 stars","B+","10.0"
"6","David Njoku",CLE,"at PIT","4 out of 5 stars","B+","9.9"
"7","T.J. Hockenson",MIN,"vs. ATL","3 out of 5 stars","B","9.0"
"8","Cade Otton",TB,"vs. LV","4 out of 5 stars","B","8.8"
"9","Sam LaPorta",DET,"vs. GB","4 out of 5 stars","B-","8.5"
"10","Evan Engram",JAC,"at TEN","2 out of 5 stars","B-","8.0"
"11","Tucker Kraft",GB,"at DET","3 out of 5 stars","C+","8.0"
"12","Will Dissly",LAC,"at KC","3 out of 5 stars","C","7.8"
"13","Pat Freiermuth",PIT,"vs. CLE","3 out of 5 stars","C","7.5"
"14","Kyle Pitts",ATL,"at MIN","3 out of 5 stars","C-","6.4"
"15","Juwan Johnson",NO,"at NYG","3 out of 5 stars","D+","6.4"
"16","Cole Kmet",CHI,"at SF","3 out of 5 stars","D+","6.3"
"17","Noah Gray",KC,"vs. LAC","2 out of 5 stars","D","6.3"
"18","Mike Gesicki",CIN,"at DAL","4 out of 5 stars","D","5.9"
"19","Dalton Kincaid",BUF,"at LAR","2 out of 5 stars","D","5.9"
"20","Grant Calcaterra",PHI,"vs. CAR","4 out of 5 stars","D-","5.2"
"21","Chig Okonkwo",TEN,"vs. JAC","4 out of 5 stars","D-","5.2"
"22","Jake Ferguson",DAL,"vs. CIN","3 out of 5 stars","D","5.0"
"23","Noah Fant",SEA,"at ARI","2 out of 5 stars","F","4.8"
"24","Tyler Conklin",NYJ,"at MIA","2 out of 5 stars","F","4.7"
"25","Dawson Knox",BUF,"at LAR","2 out of 5 stars","F","4.5"
"26","Foster Moreau",NO,"at NYG","3 out of 5 stars","F","4.3"
"27","Tommy Tremble",CAR,"at PHI","2 out of 5 stars","F","4.3"
"28","Luke Schoonmaker",DAL,"vs. CIN","3 out of 5 stars","F","3.7"
"29","Ja'Tavion Sanders",CAR,"at PHI","2 out of 5 stars","F","3.6"
"30","Darnell Washington",PIT,"vs. CLE","3 out of 5 stars","F","3.5"
"31","Daniel Bellinger",NYG,"vs. NO","3 out of 5 stars","F","3.1"
"32","Jordan Akins",CLE,"at PIT","4 out of 5 stars","F","3.1"
"33","Colby Parkinson",LAR,"vs. BUF","3 out of 5 stars","F","3.1"
"34","AJ Barner",SEA,"at ARI","2 out of 5 stars","F","2.9"
"35","Michael Mayer",LV,"at TB","3 out of 5 stars","F","2.9"
"36","Josh Oliver",MIN,"vs. ATL","3 out of 5 stars","F","2.8"
"37","Tanner Hudson",CIN,"at DAL","4 out of 5 stars","F","2.8"
"38","Elijah Higgins",ARI,"vs. SEA","4 out of 5 stars","F","2.7"
"39","Brenton Strange",JAC,"at TEN","2 out of 5 stars","F","2.6"
"40","Josh Whyle",TEN,"vs. JAC","4 out of 5 stars","F","2.4"
"41","Drew Sample",CIN,"at DAL","4 out of 5 stars","F","1.9"
"42","Brock Wright",DET,"vs. GB","4 out of 5 stars","F","1.9"
"43","Davis Allen",LAR,"vs. BUF","3 out of 5 stars","F","1.8"
"44","Jeremy Ruckert",NYJ,"at MIA","2 out of 5 stars","F","1.8"
"45","Julian Hill",MIA,"vs. NYJ","3 out of 5 stars","F","1.7"
"46","MyCole Pruitt",PIT,"vs. CLE","3 out of 5 stars","F","1.7"
"47","Tucker Fisk",LAC,"at KC","3 out of 5 stars","F","1.6"
"48","Nick Vannett",TEN,"vs. JAC","4 out of 5 stars","F","1.6"
"49","Johnny Mundt",MIN,"vs. ATL","3 out of 5 stars","F","1.6"
"50","Chris Manhertz",NYG,"vs. NO","3 out of 5 stars","F","1.6"
"51","C.J. Uzomah",PHI,"vs. CAR","4 out of 5 stars","F","1.6"
"52","Hunter Long",LAR,"vs. BUF","3 out of 5 stars","F","1.5"
"53","Durham Smythe",MIA,"vs. NYJ","3 out of 5 stars","F","1.4"
"54","Luke Farrell",JAC,"at TEN","2 out of 5 stars","F","1.1"
"55","Pharaoh Brown",SEA,"at ARI","2 out of 5 stars","F","1.1"
"56","Stone Smartt",LAC,"at KC","3 out of 5 stars","F","1.0"
"57","Charlie Woerner",ATL,"at MIN","3 out of 5 stars","F","0.9"
"58","Brevyn Spann-Ford",DAL,"vs. CIN","3 out of 5 stars","F","0.9"
"59","Tip Reiman",ARI,"vs. SEA","4 out of 5 stars","F","0.9"
"60","Ben Sims",GB,"at DET","3 out of 5 stars","F","0.8"
"61","Eric Saubert",SF,"vs. CHI","3 out of 5 stars","F","0.7"
"62","Greg Dulcich",NYG,"vs. NO","3 out of 5 stars","F","0.7"
"63","Payne Durham",TB,"vs. LV","4 out of 5 stars","F","0.7"
"64","Quintin Morris",BUF,"at LAR","2 out of 5 stars","F","0.6"
"65","Blake Whiteheart",CLE,"at PIT","4 out of 5 stars","F","0.6"
"66","Dallin Holker",NO,"at NYG","3 out of 5 stars","F","0.2"
"67","Kenny Yeboah",NYJ,"at MIA","2 out of 5 stars","F","0.2"
"68","Cam Grandy",CIN,"at DAL","4 out of 5 stars","F","0.1"
"69","Shane Zylstra",DET,"vs. GB","4 out of 5 stars","F","0.0"
"70","Gerald Everett",CHI,"at SF","3 out of 5 stars","F","0.0"
"71","Ross Dwelley",ATL,"at MIN","3 out of 5 stars","F","0.0"
"72","Connor Heyward",PIT,"vs. CLE","3 out of 5 stars","F","0.0"
"73","Marcedes Lewis",CHI,"at SF","3 out of 5 stars","F","0.0"
"74","Ko Kieft",TB,"vs. LV","4 out of 5 stars","F","0.0"
"75","John FitzPatrick",GB,"at DET","3 out of 5 stars","F","0.0"
"76","Anthony Firkser",KC,"vs. LAC","2 out of 5 stars","F","0.0"
