"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Saquon Barkley",PHI,"vs. JAC","3 out of 5 stars","A+","17.7"
"2","Kyren Williams",LAR,"at SEA","4 out of 5 stars","A+","17.3"
"3","Derrick Henry",BAL,"vs. DEN","2 out of 5 stars","A+","17.0"
"4","Bijan Robinson",ATL,"vs. DAL","4 out of 5 stars","A","16.9"
"5","Alvin Kamara",NO,"at CAR","5 out of 5 stars","A","16.7"
"6","Joe Mixon",HOU,"at NYJ","3 out of 5 stars","A","16.5"
"7","Breece Hall",NYJ,"vs. HOU","2 out of 5 stars","A","15.9"
"8","Kenneth Walker III",SEA,"vs. LAR","3 out of 5 stars","A","15.5"
"9","De'Von Achane",MIA,"at BUF","3 out of 5 stars","A","15.2"
"10","Jahmyr Gibbs",DET,"at GB","3 out of 5 stars","A","15.1"
"11","Aaron Jones",MIN,"vs. IND","3 out of 5 stars","A-","15.0"
"12","Jonathan Taylor",IND,"at MIN","2 out of 5 stars","A-","14.8"
"13","James Cook",BUF,"vs. MIA","5 out of 5 stars","A-","14.8"
"14","D'Andre Swift",CHI,"at ARI","3 out of 5 stars","B+","14.7"
"15","James Conner",ARI,"vs. CHI","3 out of 5 stars","B+","14.3"
"16","Kareem Hunt",KC,"vs. TB","2 out of 5 stars","B","14.2"
"17","Josh Jacobs",GB,"vs. DET","2 out of 5 stars","B","14.1"
"18","Chase Brown",CIN,"vs. LV","4 out of 5 stars","B","13.7"
"19","David Montgomery",DET,"at GB","3 out of 5 stars","B","13.5"
"20","Brian Robinson Jr.",WAS,"at NYG","3 out of 5 stars","B","12.4"
"21","Tony Pollard",TEN,"vs. NE","4 out of 5 stars","B","12.0"
"22","J.K. Dobbins",LAC,"at CLE","3 out of 5 stars","B","11.8"
"23","Chuba Hubbard",CAR,"vs. NO","5 out of 5 stars","B-","11.8"
"24","Rhamondre Stevenson",NE,"at TEN","2 out of 5 stars","B-","11.7"
"25","Nick Chubb",CLE,"vs. LAC","2 out of 5 stars","C+","11.7"
"26","Alexander Mattison",LV,"at CIN","3 out of 5 stars","C+","11.0"
"27","Rachaad White",TB,"at KC","1 out of 5 stars","C+","10.8"
"28","Bucky Irving",TB,"at KC","1 out of 5 stars","C","10.3"
"29","Tank Bigsby",JAC,"at PHI","3 out of 5 stars","C","9.6"
"30","Javonte Williams",DEN,"at BAL","3 out of 5 stars","C","9.4"
"31","Rico Dowdle",DAL,"at ATL","2 out of 5 stars","C","9.3"
"32","Devin Singletary",NYG,"vs. WAS","4 out of 5 stars","C","9.1"
"33","Raheem Mostert",MIA,"at BUF","3 out of 5 stars","C","9.0"
"34","Tyler Allgeier",ATL,"vs. DAL","4 out of 5 stars","C","8.5"
"35","Austin Ekeler",WAS,"at NYG","3 out of 5 stars","C","8.3"
"36","Travis Etienne Jr.",JAC,"at PHI","3 out of 5 stars","C-","7.6"
"37","Zach Charbonnet",SEA,"vs. LAR","3 out of 5 stars","C-","7.4"
"38","Justice Hill",BAL,"vs. DEN","2 out of 5 stars","D+","7.3"
"39","Ray Davis",BUF,"vs. MIA","5 out of 5 stars","D","7.2"
"40","Braelon Allen",NYJ,"vs. HOU","2 out of 5 stars","D","5.9"
"41","Zack Moss",CIN,"vs. LV","4 out of 5 stars","C-","5.9"
"42","Roschon Johnson",CHI,"at ARI","3 out of 5 stars","D","5.9"
"43","Antonio Gibson",NE,"at TEN","2 out of 5 stars","D","5.3"
"44","Jaleel McLaughlin",DEN,"at BAL","3 out of 5 stars","D","5.3"
"45","Kimani Vidal",LAC,"at CLE","3 out of 5 stars","D-","4.9"
"46","Miles Sanders",CAR,"vs. NO","5 out of 5 stars","D-","4.7"
"47","Tyrone Tracy Jr.",NYG,"vs. WAS","4 out of 5 stars","D+","4.6"
"48","Emanuel Wilson",GB,"vs. DET","2 out of 5 stars","F","4.6"
"49","Ty Chandler",MIN,"vs. IND","3 out of 5 stars","F","4.5"
"50","Sean Tucker",TB,"at KC","1 out of 5 stars","F","4.4"
"51","Dare Ogunbowale",HOU,"at NYJ","3 out of 5 stars","F","4.1"
"52","Ezekiel Elliott",DAL,"at ATL","2 out of 5 stars","F","4.0"
"53","Zamir White",LV,"at CIN","3 out of 5 stars","F","3.7"
"54","Blake Corum",LAR,"at SEA","4 out of 5 stars","F","3.7"
"55","Samaje Perine",KC,"vs. TB","2 out of 5 stars","F","3.6"
"56","Jaylen Wright",MIA,"at BUF","3 out of 5 stars","F","3.4"
"57","D'Onta Foreman",CLE,"vs. LAC","2 out of 5 stars","F","3.4"
"58","Tyler Goodson",IND,"at MIN","2 out of 5 stars","F","3.3"
"59","Eric Gray",NYG,"vs. WAS","4 out of 5 stars","F","3.0"
"60","D'Ernest Johnson",JAC,"at PHI","3 out of 5 stars","F","2.9"
"61","Trey Benson",ARI,"vs. CHI","3 out of 5 stars","F","2.9"
"62","Kenneth Gainwell",PHI,"vs. JAC","3 out of 5 stars","F","2.8"
"63","Emari Demercado",ARI,"vs. CHI","3 out of 5 stars","F","2.8"
