"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jalen Hurts",PHI,"vs. ATL","4 out of 5 stars","A+","22.1"
"2","Josh Allen",BUF,"at MIA","4 out of 5 stars","A+","22.1"
"3","Lamar Jackson",BAL,"vs. LV","4 out of 5 stars","A","21.6"
"4","Patrick Mahomes II",KC,"vs. CIN","3 out of 5 stars","A-","21.1"
"5","Anthony Richardson",IND,"at GB","4 out of 5 stars","A-","20.5"
"6","Kyler Murray",ARI,"vs. LAR","2 out of 5 stars","B+","19.8"
"7","Jayden Daniels",WAS,"vs. NYG","2 out of 5 stars","B+","19.1"
"8","C.J. Stroud",HOU,"vs. CHI","4 out of 5 stars","B","18.6"
"9","Jared Goff",DET,"vs. TB","3 out of 5 stars","B","18.2"
"10","Dak Prescott",DAL,"vs. NO","3 out of 5 stars","B","17.9"
"11","Tua Tagovailoa",MIA,"vs. BUF","2 out of 5 stars","B","17.6"
"12","Brock Purdy",SF,"at MIN","2 out of 5 stars","B","17.5"
"13","Matthew Stafford",LAR,"at ARI","5 out of 5 stars","B-","17.4"
"14","Baker Mayfield",TB,"at DET","4 out of 5 stars","B-","17.3"
"15","Joe Burrow",CIN,"at KC","2 out of 5 stars","C","17.2"
"16","Justin Fields",PIT,"at DEN","5 out of 5 stars","C","17.0"
"17","Trevor Lawrence",JAC,"vs. CLE","3 out of 5 stars","C-","16.8"
"18","Caleb Williams",CHI,"at HOU","4 out of 5 stars","D+","16.5"
"19","Justin Herbert",LAC,"at CAR","2 out of 5 stars","D+","16.4"
"20","Daniel Jones",NYG,"at WAS","5 out of 5 stars","D","16.2"
"21","Aaron Rodgers",NYJ,"at TEN","4 out of 5 stars","D","16.1"
"22","Geno Smith",SEA,"at NE","2 out of 5 stars","D-","16.0"
"23","Kirk Cousins",ATL,"at PHI","4 out of 5 stars","D-","15.6"
"24","Derek Carr",NO,"at DAL","2 out of 5 stars","F","15.2"
"25","Deshaun Watson",CLE,"at JAC","3 out of 5 stars","F","14.8"
"26","Sam Darnold",MIN,"vs. SF","1 out of 5 stars","F","14.4"
"27","Malik Willis",GB,"vs. IND","4 out of 5 stars","F","13.9"
"28","Jacoby Brissett",NE,"vs. SEA","2 out of 5 stars","F","13.8"
"29","Bryce Young",CAR,"vs. LAC","4 out of 5 stars","F","13.6"
"30","Bo Nix",DEN,"vs. PIT","3 out of 5 stars","F","13.4"
"31","Gardner Minshew II",LV,"at BAL","1 out of 5 stars","F","13.3"
"32","Will Levis",TEN,"vs. NYJ","1 out of 5 stars","F","13.2"
"33","Drake Maye",NE,"vs. SEA","2 out of 5 stars","F","0.0"
"34","Aidan O'Connell",LV,"at BAL","1 out of 5 stars","F","0.0"
"35","Sam Howell",SEA,"at NE","2 out of 5 stars","F","0.0"
"36","Jameis Winston",CLE,"at JAC","3 out of 5 stars","F","0.0"
