"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Kyler Murray",ARI,"vs. WAS","5 out of 5 stars","A+","21.8"
"2","Josh Allen",BUF,"at BAL","1 out of 5 stars","A","21.5"
"3","Lamar Jackson",BAL,"vs. BUF","2 out of 5 stars","A","21.3"
"4","Jalen Hurts",PHI,"at TB","3 out of 5 stars","A","20.7"
"5","Jayden Daniels",WAS,"at ARI","5 out of 5 stars","A","20.2"
"6","C.J. Stroud",HOU,"vs. JAC","4 out of 5 stars","A-","19.6"
"7","Joe Burrow",CIN,"at CAR","2 out of 5 stars","B+","18.9"
"8","Dak Prescott",DAL,"at NYG","2 out of 5 stars","B","18.2"
"9","Patrick Mahomes II",KC,"at LAC","4 out of 5 stars","B","17.8"
"10","Justin Fields",PIT,"at IND","4 out of 5 stars","B-","17.3"
"11","Jared Goff",DET,"vs. SEA","2 out of 5 stars","C+","17.0"
"12","Brock Purdy",SF,"vs. NE","2 out of 5 stars","C+","16.8"
"13","Anthony Richardson",IND,"vs. PIT","3 out of 5 stars","C+","16.6"
"14","Sam Darnold",MIN,"at GB","5 out of 5 stars","C+","16.4"
"15","Baker Mayfield",TB,"vs. PHI","5 out of 5 stars","C","16.2"
"16","Geno Smith",SEA,"at DET","4 out of 5 stars","C","15.9"
"17","Caleb Williams",CHI,"vs. LAR","3 out of 5 stars","C-","15.7"
"18","Derek Carr",NO,"at ATL","3 out of 5 stars","C-","15.4"
"19","Jordan Love",GB,"vs. MIN","2 out of 5 stars","C-","15.3"
"20","Daniel Jones",NYG,"vs. DAL","2 out of 5 stars","D+","15.2"
"21","Aaron Rodgers",NYJ,"vs. DEN","5 out of 5 stars","D","15.0"
"22","Andy Dalton",CAR,"vs. CIN","3 out of 5 stars","D","14.9"
"23","Kirk Cousins",ATL,"vs. NO","2 out of 5 stars","D-","14.9"
"24","Trevor Lawrence",JAC,"at HOU","4 out of 5 stars","F","14.7"
"25","Deshaun Watson",CLE,"at LV","4 out of 5 stars","F","14.5"
"26","Will Levis",TEN,"at MIA","4 out of 5 stars","F","14.2"
"27","Matthew Stafford",LAR,"at CHI","4 out of 5 stars","F","13.9"
"28","Gardner Minshew II",LV,"vs. CLE","4 out of 5 stars","F","13.5"
"29","Justin Herbert",LAC,"vs. KC","2 out of 5 stars","F","13.1"
"30","Bo Nix",DEN,"at NYJ","1 out of 5 stars","F","12.4"
"31","Jacoby Brissett",NE,"at SF","1 out of 5 stars","F","11.4"
"32","Tyler Huntley",MIA,"vs. TEN","4 out of 5 stars","F","10.0"
"33","Skylar Thompson",MIA,"vs. TEN","4 out of 5 stars","F","8.3"
"34","Malik Willis",GB,"vs. MIN","2 out of 5 stars","F","6.1"
"35","Drake Maye",NE,"at SF","1 out of 5 stars","F","2.9"
"36","Taylor Heinicke",LAC,"vs. KC","2 out of 5 stars","F","0.3"
"37","Aidan O'Connell",LV,"vs. CLE","4 out of 5 stars","F","0.0"
"38","Tim Boyle",MIA,"vs. TEN","4 out of 5 stars","F","0.0"
"39","Jameis Winston",CLE,"at LV","4 out of 5 stars","F","0.0"
"40","Bryce Young",CAR,"vs. CIN","3 out of 5 stars","F","0.0"
