"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Saquon Barkley",PHI,"vs. CAR","4 out of 5 stars","A+","20.7"
"2","Alvin Kamara",NO,"at NYG","4 out of 5 stars","A+","18.5"
"3","Chase Brown",CIN,"at DAL","4 out of 5 stars","A","16.3"
"4","De'Von Achane",MIA,"vs. NYJ","2 out of 5 stars","A","16.2"
"5","Bijan Robinson",ATL,"at MIN","1 out of 5 stars","A","16.0"
"6","Josh Jacobs",GB,"at DET","2 out of 5 stars","A","15.6"
"7","Jahmyr Gibbs",DET,"vs. GB","3 out of 5 stars","A","15.0"
"8","Bucky Irving",TB,"vs. LV","3 out of 5 stars","A","14.7"
"9","Kyren Williams",LAR,"vs. BUF","4 out of 5 stars","A","14.5"
"10","James Cook",BUF,"at LAR","3 out of 5 stars","A-","14.1"
"11","Tony Pollard",TEN,"vs. JAC","3 out of 5 stars","A-","14.0"
"12","James Conner",ARI,"vs. SEA","3 out of 5 stars","A-","13.8"
"13","Isaac Guerendo",SF,"vs. CHI","3 out of 5 stars","B+","13.8"
"14","David Montgomery",DET,"vs. GB","3 out of 5 stars","B+","13.7"
"15","Rico Dowdle",DAL,"vs. CIN","4 out of 5 stars","B+","13.5"
"16","Aaron Jones Sr.",MIN,"vs. ATL","3 out of 5 stars","B","13.1"
"17","Najee Harris",PIT,"vs. CLE","4 out of 5 stars","B","13.1"
"18","Tyrone Tracy Jr.",NYG,"vs. NO","5 out of 5 stars","B","12.8"
"19","D'Andre Swift",CHI,"at SF","4 out of 5 stars","B","12.2"
"20","Chuba Hubbard",CAR,"at PHI","2 out of 5 stars","B-","12.2"
"21","Rachaad White",TB,"vs. LV","3 out of 5 stars","B-","11.0"
"22","Isiah Pacheco",KC,"vs. LAC","1 out of 5 stars","B-","10.3"
"23","Travis Etienne Jr.",JAC,"at TEN","3 out of 5 stars","C+","9.9"
"24","Jaylen Warren",PIT,"vs. CLE","4 out of 5 stars","C+","9.8"
"25","Nick Chubb",CLE,"at PIT","3 out of 5 stars","C+","9.1"
"26","Gus Edwards",LAC,"at KC","2 out of 5 stars","C","8.5"
"27","Zach Charbonnet",SEA,"at ARI","2 out of 5 stars","C+","8.4"
"28","Tank Bigsby",JAC,"at TEN","3 out of 5 stars","C","8.4"
"29","Kareem Hunt",KC,"vs. LAC","1 out of 5 stars","C","8.1"
"30","Braelon Allen",NYJ,"at MIA","4 out of 5 stars","C","7.5"
"31","Jerome Ford",CLE,"at PIT","3 out of 5 stars","C","6.6"
"32","Ameer Abdullah",LV,"at TB","3 out of 5 stars","C","6.4"
"33","Sincere McCormick",LV,"at TB","3 out of 5 stars","C","6.3"
"34","Tyjae Spears",TEN,"vs. JAC","3 out of 5 stars","C","6.2"
"35","Jonathon Brooks",CAR,"at PHI","2 out of 5 stars","C-","6.2"
"36","Raheem Mostert",MIA,"vs. NYJ","2 out of 5 stars","C-","6.0"
"37","Ray Davis",BUF,"at LAR","3 out of 5 stars","C-","5.8"
"38","Cam Akers",MIN,"vs. ATL","3 out of 5 stars","C-","5.5"
"39","Devin Singletary",NYG,"vs. NO","5 out of 5 stars","D+","5.3"
"40","Kimani Vidal",LAC,"at KC","2 out of 5 stars","D+","5.0"
"41","Tyler Allgeier",ATL,"at MIN","1 out of 5 stars","D","4.9"
"42","Kenneth Gainwell",PHI,"vs. CAR","4 out of 5 stars","D","4.7"
"43","Blake Corum",LAR,"vs. BUF","4 out of 5 stars","D","4.7"
"44","Trey Benson",ARI,"vs. SEA","3 out of 5 stars","D","4.7"
"45","Chris Brooks",GB,"at DET","2 out of 5 stars","D-","4.5"
"46","Alexander Mattison",LV,"at TB","3 out of 5 stars","D","4.4"
"47","Jaylen Wright",MIA,"vs. NYJ","2 out of 5 stars","F","3.9"
"48","Ezekiel Elliott",DAL,"vs. CIN","4 out of 5 stars","F","3.8"
"49","Emari Demercado",ARI,"vs. SEA","3 out of 5 stars","F","3.7"
"50","Emanuel Wilson",GB,"at DET","2 out of 5 stars","F","3.4"
"51","Ty Johnson",BUF,"at LAR","3 out of 5 stars","F","3.0"
"52","Isaiah Davis",NYJ,"at MIA","4 out of 5 stars","D-","3.0"
"53","Jamaal Williams",NO,"at NYG","4 out of 5 stars","F","2.9"
"54","Samaje Perine",KC,"vs. LAC","1 out of 5 stars","F","2.9"
"55","Patrick Taylor Jr.",SF,"vs. CHI","3 out of 5 stars","F","2.8"
"56","Sean Tucker",TB,"vs. LV","3 out of 5 stars","F","2.7"
"57","Cordarrelle Patterson",PIT,"vs. CLE","4 out of 5 stars","F","2.5"
"58","Khalil Herbert",CIN,"at DAL","4 out of 5 stars","F","2.4"
"59","Kyle Juszczyk",SF,"vs. CHI","3 out of 5 stars","F","2.4"
"60","Hassan Haskins",LAC,"at KC","2 out of 5 stars","F","2.1"
"61","Travis Homer",CHI,"at SF","4 out of 5 stars","F","2.0"
"62","Will Shipley",PHI,"vs. CAR","4 out of 5 stars","F","2.0"
"63","Kendre Miller",NO,"at NYG","4 out of 5 stars","F","1.8"
"64","Hunter Luepke",DAL,"vs. CIN","4 out of 5 stars","F","1.5"
"65","Eric Gray",NYG,"vs. NO","5 out of 5 stars","F","1.4"
"66","Ty Chandler",MIN,"vs. ATL","3 out of 5 stars","F","1.4"
"67","Alec Ingold",MIA,"vs. NYJ","2 out of 5 stars","F","1.3"
"68","Pierre Strong Jr.",CLE,"at PIT","3 out of 5 stars","F","1.0"
"69","Roschon Johnson",CHI,"at SF","4 out of 5 stars","F","0.9"
"70","Carson Steele",KC,"vs. LAC","1 out of 5 stars","F","0.9"
"71","Craig Reynolds",DET,"vs. GB","3 out of 5 stars","F","0.8"
"72","Israel Abanikanda",SF,"vs. CHI","3 out of 5 stars","F","0.7"
"73","Julius Chestnut",TEN,"vs. JAC","3 out of 5 stars","F","0.5"
"74","C.J. Ham",MIN,"vs. ATL","3 out of 5 stars","F","0.3"
"75","Adam Prentice",NO,"at NYG","4 out of 5 stars","F","0.3"
"76","Keilan Robinson",JAC,"at TEN","3 out of 5 stars","F","0.3"
"77","Kenny McIntosh",SEA,"at ARI","2 out of 5 stars","F","0.3"
"78","Raheem Blackshear",CAR,"at PHI","2 out of 5 stars","F","0.3"
"79","Sione Vaki",DET,"vs. GB","3 out of 5 stars","F","0.3"
"80","Dylan Laube",LV,"at TB","3 out of 5 stars","F","0.2"
"81","Zamir White",LV,"at TB","3 out of 5 stars","F","0.2"
"82","Jordan Mims",NO,"at NYG","4 out of 5 stars","F","0.1"
"83","Ronnie Rivers",LAR,"vs. BUF","4 out of 5 stars","F","0.1"
"84","Kene Nwangwu",NYJ,"at MIA","4 out of 5 stars","F","0.1"
"85","Trayveon Williams",CIN,"at DAL","4 out of 5 stars","F","0.0"
"86","Darrynton Evans",CHI,"at SF","4 out of 5 stars","F","0.0"
"87","Reggie Gilliam",BUF,"at LAR","3 out of 5 stars","F","0.0"
"88","George Holani",SEA,"at ARI","2 out of 5 stars","F","0.0"
"89","Jeff Wilson Jr.",MIA,"vs. NYJ","2 out of 5 stars","F","0.0"
"90","Demetric Felton Jr.",CHI,"at SF","4 out of 5 stars","F","0.0"
"91","Jordan Mason",SF,"vs. CHI","3 out of 5 stars","F","0.0"
"92","Jase McClellan",ATL,"at MIN","1 out of 5 stars","F","0.0"
"93","DeeJay Dallas",ARI,"vs. SEA","3 out of 5 stars","F","0.0"
"94","Avery Williams",ATL,"at MIN","1 out of 5 stars","F","0.0"
"95","Ke'Shawn Vaughn",SF,"vs. CHI","3 out of 5 stars","F","0.0"
"96","Deuce Vaughn",DAL,"vs. CIN","4 out of 5 stars","F","0.0"
