"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Denver Broncos",DEN,"vs. CAR","5 out of 5 stars","A+","7.8"
"2","Pittsburgh Steelers",PIT,"vs. NYG","5 out of 5 stars","A+","7.7"
"3","Baltimore Ravens",BAL,"at CLE","5 out of 5 stars","A","7.6"
"4","Kansas City Chiefs",KC,"at LV","5 out of 5 stars","A-","7.6"
"5","Los Angeles Chargers",LAC,"vs. NO","5 out of 5 stars","A-","7.6"
"6","New York Jets",NYJ,"at NE","5 out of 5 stars","B+","7.4"
"7","Detroit Lions",DET,"vs. TEN","5 out of 5 stars","B+","7.2"
"8","Houston Texans",HOU,"vs. IND","1 out of 5 stars","B","6.7"
"9","Green Bay Packers",GB,"at JAC","2 out of 5 stars","B","6.7"
"10","Minnesota Vikings",MIN,"at LAR","3 out of 5 stars","B-","6.5"
"11","Chicago Bears",CHI,"at WAS","1 out of 5 stars","B-","6.4"
"12","San Francisco 49ers",SF,"vs. DAL","3 out of 5 stars","C+","6.4"
"13","Buffalo Bills",BUF,"at SEA","2 out of 5 stars","C+","6.4"
"14","Washington Commanders",WAS,"vs. CHI","3 out of 5 stars","C","6.2"
"15","Miami Dolphins",MIA,"vs. ARI","2 out of 5 stars","C","6.1"
"16","Atlanta Falcons",ATL,"at TB","2 out of 5 stars","C","6.0"
"17","Philadelphia Eagles",PHI,"at CIN","3 out of 5 stars","C-","5.9"
"18","New York Giants",NYG,"at PIT","1 out of 5 stars","D+","5.9"
"19","Cincinnati Bengals",CIN,"vs. PHI","2 out of 5 stars","D+","5.8"
"20","New England Patriots",NE,"vs. NYJ","2 out of 5 stars","D","5.7"
"21","Tampa Bay Buccaneers",TB,"vs. ATL","3 out of 5 stars","D","5.6"
"22","New Orleans Saints",NO,"at LAC","3 out of 5 stars","D-","5.4"
"23","Los Angeles Rams",LAR,"vs. MIN","2 out of 5 stars","D-","5.4"
"24","Arizona Cardinals",ARI,"at MIA","5 out of 5 stars","F","5.3"
"25","Indianapolis Colts",IND,"at HOU","1 out of 5 stars","F","5.1"
"26","Dallas Cowboys",DAL,"at SF","2 out of 5 stars","F","5.1"
"27","Seattle Seahawks",SEA,"vs. BUF","1 out of 5 stars","F","5.1"
"28","Jacksonville Jaguars",JAC,"vs. GB","2 out of 5 stars","F","5.1"
"29","Cleveland Browns",CLE,"vs. BAL","1 out of 5 stars","F","5.1"
"30","Carolina Panthers",CAR,"at DEN","3 out of 5 stars","F","5.1"
"31","Las Vegas Raiders",LV,"vs. KC","2 out of 5 stars","F","4.7"
"32","Tennessee Titans",TEN,"at DET","2 out of 5 stars","F","4.7"
