"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"86","Hunter Long",LAR,"at ARI","3 out of 5 stars","F","0.0"
"87","Jaheim Bell",NE,"vs. SEA","3 out of 5 stars","F","0.0"
"88","Tommy Tremble",CAR,"vs. LAC","4 out of 5 stars","F","0.0"
"89","Ko Kieft",TB,"at DET","3 out of 5 stars","F","0.0"
"90","Lucas Krull",DEN,"vs. PIT","3 out of 5 stars","F","0.0"
"91","Quintin Morris",BUF,"at MIA","4 out of 5 stars","F","0.0"
"92","Jake Tonges",SF,"at MIN","4 out of 5 stars","F","0.0"
"93","Connor Heyward",PIT,"at DEN","4 out of 5 stars","F","0.0"
"94","Parker Hesse",DET,"vs. TB","3 out of 5 stars","F","0.0"
"95","Nick Muse",MIN,"vs. SF","2 out of 5 stars","F","0.0"
"96","Brenden Bates",NYJ,"at TEN","3 out of 5 stars","F","0.0"
"97","Nate Adkins",DEN,"vs. PIT","3 out of 5 stars","F","0.0"
"98","Brady Russell",SEA,"at NE","3 out of 5 stars","F","0.0"
