"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jalen Hurts",PHI,"vs. WAS","5 out of 5 stars","A+","22.5"
"2","Lamar Jackson",BAL,"at PIT","1 out of 5 stars","A","21.6"
"3","Josh Allen",BUF,"vs. KC","2 out of 5 stars","A","20.9"
"4","Brock Purdy",SF,"vs. SEA","3 out of 5 stars","A","20.1"
"5","Joe Burrow",CIN,"at LAC","3 out of 5 stars","A","19.2"
"6","Jayden Daniels",WAS,"at PHI","1 out of 5 stars","A","18.6"
"7","Justin Herbert",LAC,"vs. CIN","4 out of 5 stars","B+","18.0"
"8","Bo Nix",DEN,"vs. ATL","4 out of 5 stars","B","17.5"
"9","Patrick Mahomes II",KC,"at BUF","2 out of 5 stars","B","17.1"
"10","Jared Goff",DET,"vs. JAC","5 out of 5 stars","B","16.9"
"11","Russell Wilson",PIT,"vs. BAL","4 out of 5 stars","B-","16.7"
"12","C.J. Stroud",HOU,"at DAL","5 out of 5 stars","B-","16.6"
"13","Jordan Love",GB,"at CHI","2 out of 5 stars","C+","16.5"
"14","Geno Smith",SEA,"at SF","2 out of 5 stars","C+","16.4"
"15","Tua Tagovailoa",MIA,"vs. LV","4 out of 5 stars","C","16.2"
"16","Drake Maye",NE,"vs. LAR","4 out of 5 stars","C","16.1"
"17","Sam Darnold",MIN,"at TEN","3 out of 5 stars","C","15.9"
"18","Jameis Winston",CLE,"at NO","2 out of 5 stars","C","15.7"
"19","Matthew Stafford",LAR,"at NE","4 out of 5 stars","C-","15.4"
"20","Aaron Rodgers",NYJ,"vs. IND","5 out of 5 stars","D+","15.2"
"21","Anthony Richardson",IND,"at NYJ","2 out of 5 stars","D","15.0"
"22","Kirk Cousins",ATL,"at DEN","2 out of 5 stars","D","14.8"
"23","Derek Carr",NO,"vs. CLE","4 out of 5 stars","F","14.2"
"24","Caleb Williams",CHI,"vs. GB","3 out of 5 stars","F","13.7"
"25","Mac Jones",JAC,"at DET","2 out of 5 stars","F","13.2"
"26","Will Levis",TEN,"vs. MIN","2 out of 5 stars","F","12.5"
"27","Gardner Minshew II",LV,"at MIA","3 out of 5 stars","F","11.9"
"28","Cooper Rush",DAL,"vs. HOU","3 out of 5 stars","F","11.2"
"29","Trey Lance",DAL,"vs. HOU","3 out of 5 stars","F","0.3"
"30","Joe Flacco",IND,"at NYJ","2 out of 5 stars","F","0.2"
"31","Desmond Ridder",LV,"at MIA","3 out of 5 stars","F","0.2"
"32","Mason Rudolph",TEN,"vs. MIN","2 out of 5 stars","F","0.1"
"33","Jacoby Brissett",NE,"vs. LAR","4 out of 5 stars","F","0.1"
"34","Justin Fields",PIT,"vs. BAL","4 out of 5 stars","F","0.1"
"35","Malik Willis",GB,"at CHI","2 out of 5 stars","F","0.1"
"36","Trevor Lawrence",JAC,"at DET","2 out of 5 stars","F","0.1"
