"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","CeeDee Lamb",DAL,"at MIA","4 out of 5 stars","A+","18.1"
"2","Tyreek Hill",MIA,"vs. DAL","2 out of 5 stars","A+","16.3"
"3","Justin Jefferson",MIN,"vs. DET","4 out of 5 stars","A+","14.2"
"4","A.J. Brown",PHI,"vs. NYG","4 out of 5 stars","A+","14.1"
"5","Amon-Ra St. Brown",DET,"at MIN","4 out of 5 stars","A+","13.8"
"6","Stefon Diggs",BUF,"at LAC","5 out of 5 stars","A+","13.8"
"7","Mike Evans",TB,"vs. JAC","4 out of 5 stars","A","13.3"
"8","Cooper Kupp",LAR,"vs. NO","2 out of 5 stars","A","13.3"
"9","DJ Moore",CHI,"vs. ARI","3 out of 5 stars","A","13.2"
"10","Deebo Samuel",SF,"vs. BAL","2 out of 5 stars","A","12.8"
"11","Rashee Rice",KC,"vs. LV","3 out of 5 stars","A","12.6"
"12","Brandon Aiyuk",SF,"vs. BAL","2 out of 5 stars","A","12.4"
"13","DK Metcalf",SEA,"at TEN","5 out of 5 stars","A","12.3"
"14","Jaylen Waddle",MIA,"vs. DAL","2 out of 5 stars","A","12.2"
"15","Puka Nacua",LAR,"vs. NO","2 out of 5 stars","A","12.1"
"16","Davante Adams",LV,"at KC","2 out of 5 stars","A","11.8"
"17","Chris Olave",NO,"at LAR","3 out of 5 stars","A-","11.8"
"18","Amari Cooper",CLE,"at HOU","3 out of 5 stars","A-","11.7"
"19","Calvin Ridley",JAC,"at TB","5 out of 5 stars","A-","11.6"
"20","DeAndre Hopkins",TEN,"vs. SEA","4 out of 5 stars","A-","11.6"
"21","Tee Higgins",CIN,"at PIT","3 out of 5 stars","A-","11.4"
"22","Garrett Wilson",NYJ,"vs. WAS","5 out of 5 stars","B+","11.1"
"23","DeVonta Smith",PHI,"vs. NYG","4 out of 5 stars","B+","10.7"
"24","Michael Pittman Jr.",IND,"at ATL","2 out of 5 stars","A-","10.5"
"25","Chris Godwin",TB,"vs. JAC","4 out of 5 stars","B","10.3"
"26","Courtland Sutton",DEN,"vs. NE","3 out of 5 stars","B","10.1"
"27","Zay Flowers",BAL,"at SF","3 out of 5 stars","B","9.8"
