"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jalen Hurts",PHI,"vs. BUF","3 out of 5 stars","A+","22.4"
"2","Lamar Jackson",BAL,"at LAC","5 out of 5 stars","A","21.9"
"3","Patrick Mahomes II",KC,"at LV","4 out of 5 stars","A","21.4"
"4","Josh Allen",BUF,"at PHI","4 out of 5 stars","A","20.6"
"5","Dak Prescott",DAL,"vs. WAS","4 out of 5 stars","A","19.9"
"6","C.J. Stroud",HOU,"vs. JAC","3 out of 5 stars","B+","19.2"
"7","Justin Fields",CHI,"at MIN","2 out of 5 stars","B+","18.5"
"8","Kyler Murray",ARI,"vs. LAR","3 out of 5 stars","B+","18.1"
"9","Brock Purdy",SF,"at SEA","3 out of 5 stars","B","17.9"
"10","Trevor Lawrence",JAC,"at HOU","4 out of 5 stars","B","17.7"
"11","Joshua Dobbs",MIN,"vs. CHI","5 out of 5 stars","B","17.5"
"12","Jared Goff",DET,"vs. GB","4 out of 5 stars","B-","17.2"
"13","Justin Herbert",LAC,"vs. BAL","1 out of 5 stars","B-","16.9"
"14","Tua Tagovailoa",MIA,"at NYJ","2 out of 5 stars","C+","16.7"
"15","Sam Howell",WAS,"at DAL","2 out of 5 stars","C","16.3"
"16","Baker Mayfield",TB,"at IND","3 out of 5 stars","C","15.9"
"17","Jordan Love",GB,"at DET","4 out of 5 stars","C-","15.5"
"18","Gardner Minshew II",IND,"vs. TB","4 out of 5 stars","C-","15.2"
"19","Matthew Stafford",LAR,"at ARI","4 out of 5 stars","D+","14.9"
"20","Derek Carr",NO,"at ATL","3 out of 5 stars","D","14.6"
"21","Russell Wilson",DEN,"vs. CLE","2 out of 5 stars","D","14.5"
"22","Geno Smith",SEA,"vs. SF","2 out of 5 stars","D","14.3"
"23","Desmond Ridder",ATL,"vs. NO","2 out of 5 stars","D-","14.0"
"24","Will Levis",TEN,"vs. CAR","2 out of 5 stars","F","13.8"
"25","Bryce Young",CAR,"at TEN","4 out of 5 stars","F","13.5"
"26","Kenny Pickett",PIT,"at CIN","3 out of 5 stars","F","13.3"
"27","Dorian Thompson-Robinson",CLE,"at DEN","3 out of 5 stars","F","13.1"
"28","Tommy DeVito",NYG,"vs. NE","2 out of 5 stars","F","12.8"
"29","Mac Jones",NE,"at NYG","5 out of 5 stars","F","12.5"
"30","Jake Browning",CIN,"vs. PIT","2 out of 5 stars","F","12.2"
"31","Aidan O'Connell",LV,"vs. KC","2 out of 5 stars","F","11.7"
"32","Tim Boyle",NYJ,"vs. MIA","4 out of 5 stars","F","11.1"
"33","Jameis Winston",NO,"at ATL","3 out of 5 stars","F","3.4"
"34","Bailey Zappe",NE,"at NYG","5 out of 5 stars","F","0.0"
"35","Trevor Siemian",NYJ,"vs. MIA","4 out of 5 stars","F","0.0"
"36","Zach Wilson",NYJ,"vs. MIA","4 out of 5 stars","F","0.0"
