"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"at PHI","3 out of 5 stars","A+","19.8","","","",""
"2","Cooper Kupp",LAR,"vs. PIT","3 out of 5 stars","A+","16.1","","","",""
"3","Stefon Diggs",BUF,"at NE","3 out of 5 stars","A+","15.3","","","",""
"4","A.J. Brown",PHI,"vs. MIA","3 out of 5 stars","A+","14.9","","","",""
"5","Keenan Allen",LAC,"at KC","3 out of 5 stars","A+","14.1","","","",""
"6","Amon-Ra St. Brown",DET,"at BAL","3 out of 5 stars","A+","14.0","","","",""
"7","Davante Adams",LV,"at CHI","4 out of 5 stars","A","13.4","","","",""
"8","Brandon Aiyuk",SF,"at MIN","3 out of 5 stars","A","12.5","","","",""
"9","Jaylen Waddle",MIA,"at PHI","3 out of 5 stars","A","12.5","","","",""
"10","Puka Nacua",LAR,"vs. PIT","3 out of 5 stars","A","12.4","","","",""
"11","Chris Olave",NO,"vs. JAC","3 out of 5 stars","A","11.9","","","",""
"12","DK Metcalf",SEA,"vs. ARI","4 out of 5 stars","A","11.6","","","",""
"13","Mike Evans",TB,"vs. ATL","2 out of 5 stars","A","11.5","","","",""
"14","DeVonta Smith",PHI,"vs. MIA","3 out of 5 stars","A","11.5","","","",""
"15","Marquise Brown",ARI,"at SEA","3 out of 5 stars","A","11.5","","","",""
"16","Tyler Lockett",SEA,"vs. ARI","4 out of 5 stars","A","11.3","","","",""
"17","DJ Moore",CHI,"vs. LV","3 out of 5 stars","A","11.3","","","",""
"18","Amari Cooper",CLE,"at IND","4 out of 5 stars","A-","11.2","","","",""
"19","Christian Kirk",JAC,"at NO","3 out of 5 stars","A-","11.1","","","",""
"20","Zay Flowers",BAL,"vs. DET","3 out of 5 stars","A-","11.0","","","",""
"21","Calvin Ridley",JAC,"at NO","3 out of 5 stars","A-","10.9","","","",""
"22","Christian Watson",GB,"at DEN","4 out of 5 stars","B+","10.9","","","",""
"23","Terry McLaurin",WAS,"at NYG","3 out of 5 stars","B+","10.8","","","",""
"24","Chris Godwin",TB,"vs. ATL","2 out of 5 stars","B+","10.7","","","",""
"25","Jakobi Meyers",LV,"at CHI","4 out of 5 stars","B","10.5","","","",""
"26","Michael Pittman Jr.",IND,"vs. CLE","1 out of 5 stars","B","10.4","","","",""
"27","Jordan Addison",MIN,"vs. SF","3 out of 5 stars","B","10.2","","","",""
"28","George Pickens",PIT,"at LAR","2 out of 5 stars","B","9.9","","","",""
"29","Drake London",ATL,"at TB","3 out of 5 stars","B","9.8","","","",""
"30","Gabe Davis",BUF,"at NE","3 out of 5 stars","B-","9.4","","","",""
"31","Joshua Palmer",LAC,"at KC","3 out of 5 stars","B","9.4","","","",""
"32","Michael Thomas",NO,"vs. JAC","3 out of 5 stars","B-","9.3","","","",""
"33","Diontae Johnson",PIT,"at LAR","2 out of 5 stars","B-","9.1","","","",""
"34","Courtland Sutton",DEN,"vs. GB","2 out of 5 stars","B-","9.1","","","",""
"35","Jerry Jeudy",DEN,"vs. GB","2 out of 5 stars","C+","9.1","","","",""
"36","Romeo Doubs",GB,"at DEN","4 out of 5 stars","C+","9.0","","","",""
"37","Curtis Samuel",WAS,"at NYG","3 out of 5 stars","C+","8.9","","","",""
"38","K.J. Osborn",MIN,"vs. SF","3 out of 5 stars","C+","8.4","","","",""
"39","Rashee Rice",KC,"vs. LAC","4 out of 5 stars","C+","8.0","","","",""
"40","Josh Downs",IND,"vs. CLE","1 out of 5 stars","C","7.9","","","",""
"41","Wan'Dale Robinson",NYG,"vs. WAS","4 out of 5 stars","C","7.9","","","",""
"42","Rashid Shaheed",NO,"vs. JAC","3 out of 5 stars","C","7.8","","","",""
"43","Kendrick Bourne",NE,"vs. BUF","4 out of 5 stars","C","7.7","","","",""
"44","Elijah Moore",CLE,"at IND","4 out of 5 stars","C","7.7","","","",""
"45","Tutu Atwell",LAR,"vs. PIT","3 out of 5 stars","C","7.5","","","",""
"46","Josh Reynolds",DET,"at BAL","3 out of 5 stars","C","7.0","","","",""
"47","Jaxon Smith-Njigba",SEA,"vs. ARI","4 out of 5 stars","C","6.9","","","",""
"48","Jahan Dotson",WAS,"at NYG","3 out of 5 stars","C","6.8","","","",""
"49","Michael Wilson",ARI,"at SEA","3 out of 5 stars","C-","6.7","","","",""
"50","Kadarius Toney",KC,"vs. LAC","4 out of 5 stars","C-","6.6","","","",""
"51","Jayden Reed",GB,"at DEN","4 out of 5 stars","C-","6.4","","","",""
"52","Rondale Moore",ARI,"at SEA","3 out of 5 stars","C-","6.1","","","",""
"53","Darius Slayton",NYG,"vs. WAS","4 out of 5 stars","C-","6.1","","","",""
