"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"94","Tony Jones Jr.",NO,"at HOU","5 out of 5 stars","F","0.4","","","",""
"95","Isaiah Spiller",LAC,"vs. DAL","3 out of 5 stars","F","0.4","","","",""
"96","Chris Evans",CIN,"vs. SEA","2 out of 5 stars","F","0.3","","","",""
"97","Jakob Johnson",LV,"vs. NE","3 out of 5 stars","F","0.3","","","",""
"98","Keith Smith",ATL,"vs. WAS","3 out of 5 stars","F","0.3","","","",""
"99","Trey Sermon",IND,"at JAC","3 out of 5 stars","F","0.3","","","",""
"100","Zach Evans",LAR,"vs. ARI","4 out of 5 stars","F","0.3","","","",""
"101","Reggie Gilliam",BUF,"vs. NYG","4 out of 5 stars","F","0.3","","","",""
"102","Michael Burton",DEN,"at KC","3 out of 5 stars","F","0.3","","","",""
"103","Derrick Gore",WAS,"at ATL","4 out of 5 stars","F","0.3","","","",""
