"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. CHI","3 out of 5 stars","A+","15.2"
"2","Mark Andrews",BAL,"vs. IND","3 out of 5 stars","A","11.3"
"3","T.J. Hockenson",MIN,"vs. LAC","3 out of 5 stars","A","11.3"
"4","George Kittle",SF,"vs. NYG","4 out of 5 stars","B+","10.0"
"5","Darren Waller",NYG,"at SF","3 out of 5 stars","B+","9.0"
"6","Dallas Goedert",PHI,"at TB","3 out of 5 stars","B","8.2"
"7","Evan Engram",JAC,"vs. HOU","3 out of 5 stars","B","8.1"
"8","Sam LaPorta",DET,"vs. ATL","3 out of 5 stars","B-","7.9"
"9","Pat Freiermuth",PIT,"at LV","4 out of 5 stars","C+","7.9"
"10","David Njoku",CLE,"vs. TEN","3 out of 5 stars","C","7.5"
"11","Hunter Henry",NE,"at NYJ","3 out of 5 stars","C","7.1"
"12","Kyle Pitts",ATL,"at DET","4 out of 5 stars","C","7.0"
"13","Tyler Higbee",LAR,"at CIN","2 out of 5 stars","C-","7.0"
"14","Dalton Kincaid",BUF,"at WAS","1 out of 5 stars","C-","6.9"
"15","Zach Ertz",ARI,"vs. DAL","1 out of 5 stars","D+","6.9"
"16","Jake Ferguson",DAL,"at ARI","4 out of 5 stars","D+","6.6"
"17","Cole Kmet",CHI,"at KC","4 out of 5 stars","D","6.4"
"18","Luke Musgrave",GB,"vs. NO","1 out of 5 stars","D","6.3"
"19","Hayden Hurst",CAR,"at SEA","3 out of 5 stars","D","6.3"
"20","Gerald Everett",LAC,"at MIN","4 out of 5 stars","D","6.2"
"21","Taysom Hill",NO,"at GB","4 out of 5 stars","D","6.1"
"22","Juwan Johnson",NO,"at GB","4 out of 5 stars","D-","6.1"
"23","Dalton Schultz",HOU,"at JAC","4 out of 5 stars","D-","6.0"
"24","Chigoziem Okonkwo",TEN,"at CLE","3 out of 5 stars","F","5.8"
"25","Cade Otton",TB,"vs. PHI","2 out of 5 stars","F","5.7"
"26","Dawson Knox",BUF,"at WAS","1 out of 5 stars","F","5.7"
"27","Irv Smith Jr.",CIN,"vs. LAR","4 out of 5 stars","F","5.1"
"28","Kylen Granson",IND,"at BAL","3 out of 5 stars","F","5.0"
"29","Durham Smythe",MIA,"vs. DEN","3 out of 5 stars","F","4.6"
"30","Adam Trautman",DEN,"at MIA","5 out of 5 stars","F","4.5"
"31","Noah Fant",SEA,"vs. CAR","3 out of 5 stars","F","4.3"
"32","Mike Gesicki",NE,"at NYJ","3 out of 5 stars","F","4.3"
"33","Trey McBride",ARI,"vs. DAL","1 out of 5 stars","F","3.9"
"34","Noah Gray",KC,"vs. CHI","3 out of 5 stars","F","3.8"
"35","Tyler Conklin",NYJ,"vs. NE","4 out of 5 stars","F","3.4"
"36","Donald Parham Jr.",LAC,"at MIN","4 out of 5 stars","F","3.4"
"37","Cole Turner",WAS,"vs. BUF","2 out of 5 stars","F","3.3"
"38","Austin Hooper",LV,"vs. PIT","3 out of 5 stars","F","3.3"
"39","Jonnu Smith",ATL,"at DET","4 out of 5 stars","F","2.9"
"40","Isaiah Likely",BAL,"vs. IND","3 out of 5 stars","F","2.6"
"41","John Bates",WAS,"vs. BUF","2 out of 5 stars","F","2.6"
"42","Michael Mayer",LV,"vs. PIT","3 out of 5 stars","F","2.5"
"43","Will Dissly",SEA,"vs. CAR","3 out of 5 stars","F","2.4"
"44","Colby Parkinson",SEA,"vs. CAR","3 out of 5 stars","F","2.3"
"45","Josh Oliver",MIN,"vs. LAC","3 out of 5 stars","F","2.3"
"46","Harrison Bryant",CLE,"vs. TEN","3 out of 5 stars","F","2.2"
"47","Mo Alie-Cox",IND,"at BAL","3 out of 5 stars","F","2.2"
"48","Brock Wright",DET,"vs. ATL","3 out of 5 stars","F","2.1"
"49","Luke Schoonmaker",DAL,"at ARI","4 out of 5 stars","F","2.1"
"50","Daniel Bellinger",NYG,"at SF","3 out of 5 stars","F","2.1"
"51","Foster Moreau",NO,"at GB","4 out of 5 stars","F","1.7"
"52","Peyton Hendershot",DAL,"at ARI","4 out of 5 stars","F","1.6"
"53","Brevin Jordan",HOU,"at JAC","4 out of 5 stars","F","1.5"
"54","Robert Tonyan",CHI,"at KC","4 out of 5 stars","F","1.5"
"55","C.J. Uzomah",NYJ,"vs. NE","4 out of 5 stars","F","1.4"
"56","Brycen Hopkins",LAR,"at CIN","2 out of 5 stars","F","1.4"
"57","Jordan Akins",CLE,"vs. TEN","3 out of 5 stars","F","1.4"
"58","Josiah Deguara",GB,"vs. NO","1 out of 5 stars","F","1.4"
"59","Connor Heyward",PIT,"at LV","4 out of 5 stars","F","1.4"
"60","Darnell Washington",PIT,"at LV","4 out of 5 stars","F","1.3"
"61","Will Mallory",IND,"at BAL","3 out of 5 stars","F","1.3"
"62","Ko Kieft",TB,"vs. PHI","2 out of 5 stars","F","1.3"
"63","Chris Manhertz",DEN,"at MIA","5 out of 5 stars","F","1.2"
"64","Teagan Quitoriano",HOU,"at JAC","4 out of 5 stars","F","1.2"
"65","Tommy Tremble",CAR,"at SEA","3 out of 5 stars","F","1.2"
"66","Tucker Kraft",GB,"vs. NO","1 out of 5 stars","F","1.2"
"67","Brenton Strange",JAC,"vs. HOU","3 out of 5 stars","F","1.2"
"68","Ian Thomas",CAR,"at SEA","3 out of 5 stars","F","1.1"
"69","Tyler Kroft",MIA,"vs. DEN","3 out of 5 stars","F","1.1"
"70","Stone Smartt",LAC,"at MIN","4 out of 5 stars","F","1.0"
"71","Drew Sample",CIN,"vs. LAR","4 out of 5 stars","F","1.0"
"72","Blake Bell",KC,"vs. CHI","3 out of 5 stars","F","0.9"
"73","James Mitchell",DET,"vs. ATL","3 out of 5 stars","F","0.9"
"74","David Wells",TB,"vs. PHI","2 out of 5 stars","F","0.9"
"75","Andrew Ogletree",IND,"at BAL","3 out of 5 stars","F","0.8"
"76","Jeremy Ruckert",NYJ,"vs. NE","4 out of 5 stars","F","0.8"
"77","Trevon Wesco",TEN,"at CLE","3 out of 5 stars","F","0.8"
"78","Quintin Morris",BUF,"at WAS","1 out of 5 stars","F","0.8"
"79","Ross Dwelley",SF,"vs. NYG","4 out of 5 stars","F","0.8"
"80","Jimmy Graham",NO,"at GB","4 out of 5 stars","F","0.7"
"81","Grant Calcaterra",PHI,"at TB","3 out of 5 stars","F","0.7"
"82","Pharaoh Brown",NE,"at NYJ","3 out of 5 stars","F","0.7"
"83","Josh Whyle",TEN,"at CLE","3 out of 5 stars","F","0.7"
"84","MyCole Pruitt",ATL,"at DET","4 out of 5 stars","F","0.7"
"85","Charlie Kolar",BAL,"vs. IND","3 out of 5 stars","F","0.7"
"86","Payne Durham",TB,"vs. PHI","2 out of 5 stars","F","0.7"
"87","Geoff Swaim",ARI,"vs. DAL","1 out of 5 stars","F","0.6"
