"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. MIA","4 out of 5 stars","A+","22.4"
"2","Josh Allen",BUF,"at CIN","3 out of 5 stars","A","21.9"
"3","Jalen Hurts",PHI,"vs. DAL","2 out of 5 stars","A","21.0"
"4","Lamar Jackson",BAL,"vs. SEA","3 out of 5 stars","A","20.2"
"5","Joe Burrow",CIN,"vs. BUF","2 out of 5 stars","A-","19.4"
"6","Tua Tagovailoa",MIA,"at KC","2 out of 5 stars","A-","18.6"
"7","Dak Prescott",DAL,"at PHI","4 out of 5 stars","B+","17.8"
"8","Justin Herbert",LAC,"at NYJ","2 out of 5 stars","B","17.2"
"9","C.J. Stroud",HOU,"vs. TB","2 out of 5 stars","B","16.7"
"10","Sam Howell",WAS,"at NE","3 out of 5 stars","B","16.2"
"11","Derek Carr",NO,"vs. CHI","5 out of 5 stars","B-","15.7"
"12","Gardner Minshew II",IND,"at CAR","2 out of 5 stars","C+","15.4"
"13","Jordan Love",GB,"vs. LAR","3 out of 5 stars","C","15.1"
"14","Daniel Jones",NYG,"at LV","3 out of 5 stars","C","14.9"
"15","Baker Mayfield",TB,"at HOU","3 out of 5 stars","C","14.7"
"16","Bryce Young",CAR,"vs. IND","4 out of 5 stars","C","14.5"
"17","Geno Smith",SEA,"at BAL","1 out of 5 stars","C","14.3"
"18","Mac Jones",NE,"vs. WAS","5 out of 5 stars","C-","14.2"
"19","Taylor Heinicke",ATL,"vs. MIN","3 out of 5 stars","D+","14.0"
"20","Kenny Pickett",PIT,"vs. TEN","3 out of 5 stars","D","13.9"
"21","Will Levis",TEN,"at PIT","2 out of 5 stars","D","13.7"
"22","Zach Wilson",NYJ,"vs. LAC","5 out of 5 stars","D-","13.5"
"23","Aidan O'Connell",LV,"vs. NYG","4 out of 5 stars","F","13.1"
"24","Tyson Bagent",CHI,"at NO","2 out of 5 stars","F","12.8"
"25","Jaren Hall",MIN,"at ATL","2 out of 5 stars","F","12.3"
"26","P.J. Walker",CLE,"vs. ARI","5 out of 5 stars","F","11.6"
"27","Matthew Stafford",LAR,"at GB","4 out of 5 stars","F","11.2"
"28","Clayton Tune",ARI,"at CLE","2 out of 5 stars","F","10.1"
"29","Deshaun Watson",CLE,"vs. ARI","5 out of 5 stars","F","4.7"
"30","Brett Rypien",LAR,"at GB","4 out of 5 stars","F","4.0"
"31","Kyler Murray",ARI,"at CLE","2 out of 5 stars","F","3.0"
"32","Joshua Dobbs",MIN,"at ATL","2 out of 5 stars","F","0.0"
"33","Jimmy Garoppolo",LV,"vs. NYG","4 out of 5 stars","F","0.0"
"34","Malik Willis",TEN,"at PIT","2 out of 5 stars","F","0.0"
"35","Desmond Ridder",ATL,"vs. MIN","3 out of 5 stars","F","0.0"
"36","Mitch Trubisky",PIT,"vs. TEN","3 out of 5 stars","F","0.0"
