"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"186","Trent Taylor",CHI,"4 out of 5 stars","2 out of 5 stars","5.0","-"
"187","Gunner Olszewski",NYG,"2 out of 5 stars","2 out of 5 stars","5.0","-64"
"190","Britain Covey",PHI,"4 out of 5 stars","3 out of 5 stars","4.4","-"
"191","Dontay Demus Jr.",FA,"-","-","4.4","-"
"192","Amari Rodgers",FA,"-","-","4.4","-"
"193","Joseph Ngata",PHI,"4 out of 5 stars","3 out of 5 stars","4.4","-96"
"194","Shi Smith",TEN,"3 out of 5 stars","3 out of 5 stars","4.4","-"
"195","Mike Strachan",CAR,"3 out of 5 stars","2 out of 5 stars","4.4","-"
"196","Cam Sims",FA,"-","-","4.4","-"
"197","Dez Fitzpatrick",PIT,"3 out of 5 stars","3 out of 5 stars","4.4","-"
"200","Kendric Pryor",CIN,"4 out of 5 stars","3 out of 5 stars","4.4","-"
"201","Steven Sims Jr.",HOU,"4 out of 5 stars","4 out of 5 stars","4.4","-"
"202","Dezmon Patmon",FA,"-","-","4.4","-"
"203","Tyrie Cleveland",IND,"3 out of 5 stars","3 out of 5 stars","4.4","-"
"204","James Proche II",FA,"-","-","4.4","-"
"205","Kendall Hinton",FA,"-","-","4.4","-"
"206","Anthony Schwartz",FA,"-","-","4.4","-"
"207","Bryan Edwards",FA,"-","-","4.4","-"
"208","Blake Proehl",FA,"-","-","4.4","-"
"209","Dennis Houston",FA,"-","-","4.4","-"
"210","David Sills V",DEN,"4 out of 5 stars","4 out of 5 stars","4.4","-"
"211","Juwann Winfree",IND,"3 out of 5 stars","3 out of 5 stars","4.4","-"
"212","Breshad Perriman",FA,"-","-","4.4","-"
"213","Matthew Slater",NE,"4 out of 5 stars","4 out of 5 stars","4.4","-94"
"214","Marcus Kemp",FA,"-","-","4.4","-"
"215","Malik Turner",FA,"-","-","4.4","-"
"216","DJ Turner",LV,"3 out of 5 stars","4 out of 5 stars","4.4","-"
"189","Willie Snead IV",SF,"2 out of 5 stars","4 out of 5 stars","4.0","-"
"198","Jalen Reagor",NE,"4 out of 5 stars","4 out of 5 stars","4.0","-"
"199","Tre'Quan Smith",DEN,"4 out of 5 stars","4 out of 5 stars","4.0","-"
