"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"vs. MIA","4 out of 5 stars","A+","23.6","","","",""
"2","Patrick Mahomes II",KC,"vs. LAC","4 out of 5 stars","A","22.1","","","",""
"3","Josh Allen",BUF,"at NE","4 out of 5 stars","A","21.2","","","",""
"4","Lamar Jackson",BAL,"vs. DET","3 out of 5 stars","A","20.1","","","",""
"5","Tua Tagovailoa",MIA,"at PHI","4 out of 5 stars","A","19.1","","","",""
"6","Justin Herbert",LAC,"at KC","3 out of 5 stars","A","18.4","","","",""
"7","Geno Smith",SEA,"vs. ARI","5 out of 5 stars","B+","17.8","","","",""
"8","Brock Purdy",SF,"at MIN","4 out of 5 stars","B","17.2","","","",""
"9","Jordan Love",GB,"at DEN","5 out of 5 stars","B","16.9","","","",""
"10","Matthew Stafford",LAR,"vs. PIT","2 out of 5 stars","B","16.7","","","",""
"11","Sam Howell",WAS,"at NYG","4 out of 5 stars","B-","16.4","","","",""
"12","Russell Wilson",DEN,"vs. GB","3 out of 5 stars","B-","16.1","","","",""
"13","Jared Goff",DET,"at BAL","2 out of 5 stars","C+","15.9","","","",""
"14","Trevor Lawrence",JAC,"at NO","2 out of 5 stars","C+","15.6","","","",""
"15","Kirk Cousins",MIN,"vs. SF","2 out of 5 stars","C","15.5","","","",""
"16","Baker Mayfield",TB,"vs. ATL","2 out of 5 stars","C-","15.3","","","",""
"17","Joshua Dobbs",ARI,"at SEA","4 out of 5 stars","C-","15.1","","","",""
"18","Derek Carr",NO,"vs. JAC","4 out of 5 stars","C-","14.9","","","",""
"19","Kenny Pickett",PIT,"at LAR","2 out of 5 stars","D+","14.7","","","",""
"20","Deshaun Watson",CLE,"at IND","3 out of 5 stars","D","14.4","","","",""
"21","Desmond Ridder",ATL,"at TB","2 out of 5 stars","D","14.0","","","",""
"22","Gardner Minshew II",IND,"vs. CLE","2 out of 5 stars","D-","13.7","","","",""
"23","Tyrod Taylor",NYG,"vs. WAS","3 out of 5 stars","F","13.1","","","",""
"24","Tyson Bagent",CHI,"vs. LV","3 out of 5 stars","F","12.5","","","",""
"25","Mac Jones",NE,"vs. BUF","2 out of 5 stars","F","11.2","","","",""
"26","Daniel Jones",NYG,"vs. WAS","3 out of 5 stars","F","10.1","","","",""
"27","Brian Hoyer",LV,"at CHI","5 out of 5 stars","F","7.6","","","",""
"28","PJ Walker",CLE,"at IND","3 out of 5 stars","F","0.0","","","",""
"29","Aidan O'Connell",LV,"at CHI","5 out of 5 stars","F","0.0","","","",""
"30","Malik Cunningham",NE,"vs. BUF","2 out of 5 stars","F","0.0","","","",""
"31","Jimmy Garoppolo",LV,"at CHI","5 out of 5 stars","F","0.0","","","",""
"32","C.J. Beathard",JAC,"at NO","2 out of 5 stars","F","0.0","","","",""
"33","Bailey Zappe",NE,"vs. BUF","2 out of 5 stars","F","0.0","","","",""
"34","Jameis Winston",NO,"vs. JAC","4 out of 5 stars","F","0.0","","","",""
"35","Mike White",MIA,"at PHI","4 out of 5 stars","F","0.0","","","",""
