"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Tyreek Hill",MIA,"vs. NE","3 out of 5 stars","A+","22.5"
"2","Stefon Diggs",BUF,"vs. TB","3 out of 5 stars","A+","19.4"
"3","Keenan Allen",LAC,"vs. CHI","3 out of 5 stars","A+","19.1"
"4","Ja'Marr Chase",CIN,"at SF","4 out of 5 stars","A+","18.7"
"5","A.J. Brown",PHI,"at WAS","3 out of 5 stars","A+","18.4"
"6","Cooper Kupp",LAR,"at DAL","3 out of 5 stars","A+","18.3"
"7","Amon-Ra St. Brown",DET,"vs. LV","3 out of 5 stars","A+","18.1"
"8","Davante Adams",LV,"at DET","4 out of 5 stars","A","16.6"
"9","Puka Nacua",LAR,"at DAL","3 out of 5 stars","A","16.4"
"10","CeeDee Lamb",DAL,"vs. LAR","2 out of 5 stars","A","16.4"
"11","Brandon Aiyuk",SF,"vs. CIN","2 out of 5 stars","A","15.6"
"12","Adam Thielen",CAR,"vs. HOU","4 out of 5 stars","A","15.5"
"13","Mike Evans",TB,"at BUF","4 out of 5 stars","A","15.1"
"14","Jaylen Waddle",MIA,"vs. NE","3 out of 5 stars","A","15.1"
"15","Chris Olave",NO,"at IND","4 out of 5 stars","A","15.0"
"16","Zay Flowers",BAL,"at ARI","5 out of 5 stars","A-","14.9"
"17","Jakobi Meyers",LV,"at DET","4 out of 5 stars","A-","14.8"
"18","Christian Kirk",JAC,"at PIT","3 out of 5 stars","A-","14.4"
"19","Jordan Addison",MIN,"at GB","2 out of 5 stars","A-","13.9"
"20","DeVonta Smith",PHI,"at WAS","3 out of 5 stars","A-","13.9"
"21","DJ Moore",CHI,"at LAC","4 out of 5 stars","B+","13.9"
"22","Nico Collins",HOU,"at CAR","3 out of 5 stars","B+","13.8"
"23","Garrett Wilson",NYJ,"at NYG","3 out of 5 stars","B","13.7"
"24","Michael Pittman Jr.",IND,"vs. NO","3 out of 5 stars","B+","13.6"
"25","Terry McLaurin",WAS,"vs. PHI","3 out of 5 stars","B","13.4"
"26","Chris Godwin",TB,"at BUF","4 out of 5 stars","B","13.2"
"27","George Pickens",PIT,"vs. JAC","2 out of 5 stars","B","12.7"
"28","Calvin Ridley",JAC,"at PIT","3 out of 5 stars","C+","12.7"
"29","DK Metcalf",SEA,"vs. CLE","2 out of 5 stars","B-","12.7"
"30","Joshua Palmer",LAC,"vs. CHI","3 out of 5 stars","B-","12.4"
