"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Patrick Mahomes II",KC,"vs. PHI","4 out of 5 stars","A+","21.5"
"2","Jalen Hurts",PHI,"at KC","2 out of 5 stars","A","21.1"
"3","Lamar Jackson",BAL,"vs. CIN","2 out of 5 stars","A","20.8"
"4","Josh Allen",BUF,"vs. NYJ","2 out of 5 stars","A","20.3"
"5","Tua Tagovailoa",MIA,"vs. LV","4 out of 5 stars","A","19.8"
"6","Dak Prescott",DAL,"at CAR","2 out of 5 stars","A","19.4"
"7","C.J. Stroud",HOU,"vs. ARI","5 out of 5 stars","B+","18.9"
"8","Jared Goff",DET,"vs. CHI","5 out of 5 stars","B","18.4"
"9","Kyler Murray",ARI,"at HOU","4 out of 5 stars","B","18.2"
"10","Justin Herbert",LAC,"at GB","4 out of 5 stars","B","18.0"
"11","Sam Howell",WAS,"vs. NYG","5 out of 5 stars","B","17.9"
"12","Brock Purdy",SF,"vs. TB","3 out of 5 stars","B-","17.7"
"13","Justin Fields",CHI,"at DET","4 out of 5 stars","C+","17.5"
"14","Joshua Dobbs",MIN,"at DEN","4 out of 5 stars","C","17.2"
"15","Trevor Lawrence",JAC,"vs. TEN","4 out of 5 stars","C","16.9"
"16","Russell Wilson",DEN,"vs. MIN","2 out of 5 stars","C-","16.6"
"17","Geno Smith",SEA,"at LAR","3 out of 5 stars","C-","16.4"
"18","Jordan Love",GB,"vs. LAC","4 out of 5 stars","D+","16.1"
"19","Matthew Stafford",LAR,"vs. SEA","3 out of 5 stars","D","15.6"
"20","Baker Mayfield",TB,"at SF","2 out of 5 stars","D","15.1"
"21","Will Levis",TEN,"at JAC","2 out of 5 stars","D-","14.6"
"22","Aidan O'Connell",LV,"at MIA","4 out of 5 stars","F","14.1"
"23","Zach Wilson",NYJ,"at BUF","3 out of 5 stars","F","13.7"
"24","Bryce Young",CAR,"vs. DAL","2 out of 5 stars","F","13.4"
"25","Dorian Thompson-Robinson",CLE,"vs. PIT","2 out of 5 stars","F","13.1"
"26","Tommy DeVito",NYG,"at WAS","4 out of 5 stars","F","12.8"
"27","Kenny Pickett",PIT,"at CLE","2 out of 5 stars","F","12.5"
"28","P.J. Walker",CLE,"vs. PIT","2 out of 5 stars","F","12.2"
"29","Clayton Tune",ARI,"at HOU","4 out of 5 stars","F","0.0"
"30","Tyson Bagent",CHI,"at DET","4 out of 5 stars","F","0.0"
"31","Malik Willis",TEN,"at JAC","2 out of 5 stars","F","0.0"
"32","Andy Dalton",CAR,"vs. DAL","2 out of 5 stars","F","0.0"
"33","Mitch Trubisky",PIT,"at CLE","2 out of 5 stars","F","0.0"
"34","Jimmy Garoppolo",LV,"at MIA","4 out of 5 stars","F","0.0"
