"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"119","Jalen Tolbert",DAL,"vs. NE","3 out of 5 stars","F","1.5"
"120","DeAndre Carter",LV,"at LAC","2 out of 5 stars","F","1.4"
"121","Zach Pascal",ARI,"at SF","3 out of 5 stars","F","1.4"
"122","Tyler Scott",CHI,"vs. DEN","2 out of 5 stars","F","1.3"
"123","Tre Tucker",LV,"at LAC","2 out of 5 stars","F","1.3"
"124","Samori Toure",GB,"vs. DET","3 out of 5 stars","F","1.2"
"125","Khalil Shakir",BUF,"vs. MIA","2 out of 5 stars","F","1.2"
"126","Marquise Goodwin",CLE,"vs. BAL","3 out of 5 stars","F","0.9"
"127","Robbie Chosen",MIA,"at BUF","4 out of 5 stars","F","0.9"
"128","Lil'Jordan Humphrey",DEN,"at CHI","4 out of 5 stars","F","0.9"
"129","Antoine Green",DET,"at GB","2 out of 5 stars","F","0.9"
"130","Trenton Irwin",CIN,"at TEN","4 out of 5 stars","F","0.8"
"131","Cedrick Wilson Jr.",MIA,"at BUF","4 out of 5 stars","F","0.8"
"132","Cedric Tillman",CLE,"vs. BAL","3 out of 5 stars","F","0.8"
"133","Ray-Ray McCloud III",SF,"vs. ARI","4 out of 5 stars","F","0.7"
"134","Sterling Shepard",NYG,"vs. SEA","3 out of 5 stars","F","0.7"
"135","KhaDarel Hodge",ATL,"at JAC","3 out of 5 stars","F","0.7"
"136","Xavier Hutchinson",HOU,"vs. PIT","3 out of 5 stars","F","0.6"
"137","David Bell",CLE,"vs. BAL","3 out of 5 stars","F","0.6"
"138","Rakim Jarrett",TB,"at NO","2 out of 5 stars","F","0.6"
"139","Keith Kirkwood",NO,"vs. TB","3 out of 5 stars","F","0.5"
"140","Scott Miller",ATL,"at JAC","3 out of 5 stars","F","0.5"
"141","Miles Boykin",PIT,"at HOU","3 out of 5 stars","F","0.5"
"142","Byron Pringle",WAS,"at PHI","2 out of 5 stars","F","0.5"
"143","Demarcus Robinson",LAR,"at IND","4 out of 5 stars","F","0.4"
"144","Andrei Iosivas",CIN,"at TEN","4 out of 5 stars","F","0.4"
"145","Trent Taylor",CHI,"vs. DEN","2 out of 5 stars","F","0.4"
"146","Britain Covey",PHI,"vs. WAS","3 out of 5 stars","F","0.4"
"147","Kristian Wilkerson",LV,"at LAC","2 out of 5 stars","F","0.3"
"148","Brandon Powell",MIN,"at CAR","4 out of 5 stars","F","0.3"
"149","Simi Fehoko",LAC,"vs. LV","4 out of 5 stars","F","0.3"
"150","Colton Dowell",TEN,"vs. CIN","3 out of 5 stars","F","0.3"
"151","Greg Dortch",ARI,"at SF","3 out of 5 stars","F","0.2"
"152","Erik Ezukanma",MIA,"at BUF","4 out of 5 stars","F","0.2"
"153","Ihmir Smith-Marsette",CAR,"vs. MIN","3 out of 5 stars","F","0.2"
"154","Mason Kinsey",TEN,"vs. CIN","3 out of 5 stars","F","0.2"
"155","Velus Jones Jr.",CHI,"vs. DEN","2 out of 5 stars","F","0.2"
"156","Gunner Olszewski",PIT,"at HOU","3 out of 5 stars","F","0.2"
"157","Austin Trammell",LAR,"at IND","4 out of 5 stars","F","0.0"
