"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Jalen Hurts",PHI,"vs. MIN","4 out of 5 stars","A+","24.8"
"2","Josh Allen",BUF,"vs. LV","5 out of 5 stars","A","24.0"
"3","Patrick Mahomes II",KC,"at JAC","4 out of 5 stars","A","22.3"
"4","Justin Herbert",LAC,"at TEN","3 out of 5 stars","A","21.2"
"5","Trevor Lawrence",JAC,"vs. KC","4 out of 5 stars","A","20.1"
"6","Lamar Jackson",BAL,"at CIN","3 out of 5 stars","A-","19.3"
"7","Joe Burrow",CIN,"vs. BAL","3 out of 5 stars","B+","19.0"
"8","Justin Fields",CHI,"at TB","4 out of 5 stars","B","18.7"
"9","Tua Tagovailoa",MIA,"at NE","3 out of 5 stars","B","18.5"
"10","Anthony Richardson",IND,"at HOU","2 out of 5 stars","B","18.3"
"11","Jared Goff",DET,"vs. SEA","3 out of 5 stars","B-","18.0"
"12","Daniel Jones",NYG,"at ARI","4 out of 5 stars","B-","17.6"
"13","Deshaun Watson",CLE,"at PIT","4 out of 5 stars","C+","17.4"
"14","Geno Smith",SEA,"at DET","4 out of 5 stars","C","17.1"
"15","Brock Purdy",SF,"at LAR","3 out of 5 stars","C","16.8"
"16","Kirk Cousins",MIN,"at PHI","1 out of 5 stars","C","16.6"
"17","Dak Prescott",DAL,"vs. NYJ","2 out of 5 stars","C-","16.3"
"18","Jordan Love",GB,"at ATL","5 out of 5 stars","C-","16.0"
"19","Derek Carr",NO,"at CAR","4 out of 5 stars","D+","15.6"
"20","Russell Wilson",DEN,"vs. WAS","4 out of 5 stars","D","15.4"
"21","Mac Jones",NE,"vs. MIA","3 out of 5 stars","D","15.1"
"22","Baker Mayfield",TB,"vs. CHI","5 out of 5 stars","D-","14.9"
"23","Matthew Stafford",LAR,"vs. SF","2 out of 5 stars","F","14.7"
"24","Sam Howell",WAS,"at DEN","1 out of 5 stars","F","14.6"
"25","Ryan Tannehill",TEN,"vs. LAC","4 out of 5 stars","F","14.5"
"26","Kenny Pickett",PIT,"vs. CLE","2 out of 5 stars","F","14.4"
"27","Jimmy Garoppolo",LV,"at BUF","3 out of 5 stars","F","14.2"
"28","C.J. Stroud",HOU,"vs. IND","4 out of 5 stars","F","13.8"
"29","Bryce Young",CAR,"vs. NO","2 out of 5 stars","F","13.4"
"30","Desmond Ridder",ATL,"vs. GB","2 out of 5 stars","F","12.9"
"31","Joshua Dobbs",ARI,"vs. NYG","3 out of 5 stars","F","12.3"
"32","Zach Wilson",NYJ,"at DAL","2 out of 5 stars","F","12.1"
"33","Clayton Tune",ARI,"vs. NYG","3 out of 5 stars","F","0.5"
"34","Jacoby Brissett",WAS,"at DEN","1 out of 5 stars","F","0.5"
"35","Taylor Heinicke",ATL,"vs. GB","2 out of 5 stars","F","0.5"
"36","Sam Darnold",SF,"at LAR","3 out of 5 stars","F","0.5"
"37","Kyle Trask",TB,"vs. CHI","5 out of 5 stars","F","0.5"
"38","Mike White",MIA,"at NE","3 out of 5 stars","F","0.5"
"39","Gardner Minshew II",IND,"at HOU","2 out of 5 stars","F","0.4"
"40","Tyrod Taylor",NYG,"at ARI","4 out of 5 stars","F","0.4"
"41","Jameis Winston",NO,"at CAR","4 out of 5 stars","F","0.4"
"42","Andy Dalton",CAR,"vs. NO","2 out of 5 stars","F","0.4"
"43","Tyler Huntley",BAL,"at CIN","3 out of 5 stars","F","0.4"
"44","Marcus Mariota",PHI,"vs. MIN","4 out of 5 stars","F","0.4"
"45","Malik Willis",TEN,"vs. LAC","4 out of 5 stars","F","0.4"
"46","Teddy Bridgewater",DET,"vs. SEA","3 out of 5 stars","F","0.4"
"47","Davis Mills",HOU,"vs. IND","4 out of 5 stars","F","0.4"
"48","Dorian Thompson-Robinson",CLE,"at PIT","4 out of 5 stars","F","0.4"
"49","Mitch Trubisky",PIT,"vs. CLE","2 out of 5 stars","F","0.4"
"50","Aidan O'Connell",LV,"at BUF","3 out of 5 stars","F","0.4"
"51","Brian Hoyer",LV,"at BUF","3 out of 5 stars","F","0.4"
"52","Jarrett Stidham",DEN,"vs. WAS","4 out of 5 stars","F","0.4"
"53","Drew Lock",SEA,"at DET","4 out of 5 stars","F","0.4"
"54","Kyle Allen",BUF,"vs. LV","5 out of 5 stars","F","0.2"
"55","Nick Mullens",MIN,"at PHI","1 out of 5 stars","F","0.2"
"56","Cooper Rush",DAL,"vs. NYJ","2 out of 5 stars","F","0.2"
"57","Trey Lance",DAL,"vs. NYJ","2 out of 5 stars","F","0.2"
"58","Skylar Thompson",MIA,"at NE","3 out of 5 stars","F","0.2"
"59","Blaine Gabbert",KC,"at JAC","4 out of 5 stars","F","0.2"
"60","Will Levis",TEN,"vs. LAC","4 out of 5 stars","F","0.2"
