"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"79","Rashod Bateman",BAL,"at TEN","4 out of 5 stars","F","4.1","","","",""
"80","Trey Palmer",TB,"vs. DET","3 out of 5 stars","F","4.0","","","",""
"81","Brandon Powell",MIN,"at CHI","4 out of 5 stars","F","4.0","","","",""
"82","Jalin Hyatt",NYG,"at BUF","4 out of 5 stars","F","4.0","","","",""
"83","Mack Hollins",ATL,"vs. WAS","3 out of 5 stars","F","4.0","","","",""
"84","Trenton Irwin",CIN,"vs. SEA","3 out of 5 stars","F","3.9","","","",""
"85","Isaiah Hodgins",NYG,"at BUF","4 out of 5 stars","F","3.9","","","",""
"86","Laviska Shenault Jr.",CAR,"at MIA","4 out of 5 stars","F","3.7","","","",""
"87","John Metchie III",HOU,"vs. NO","3 out of 5 stars","F","3.7","","","",""
"88","Deonte Harty",BUF,"vs. NYG","3 out of 5 stars","F","3.5","","","",""
"89","Hunter Renfrow",LV,"vs. NE","3 out of 5 stars","F","3.4","","","",""
"90","JuJu Smith-Schuster",NE,"at LV","4 out of 5 stars","F","3.3","","","",""
"91","Donovan Peoples-Jones",CLE,"vs. SF","3 out of 5 stars","F","3.3","","","",""
"92","Brandon Johnson",DEN,"at KC","3 out of 5 stars","F","3.3","","","",""
"93","Terrace Marshall Jr.",CAR,"at MIA","4 out of 5 stars","F","3.1","","","",""
"94","Chris Moore",TEN,"vs. BAL","3 out of 5 stars","F","3.0","","","",""
"95","Justyn Ross",KC,"vs. DEN","3 out of 5 stars","F","3.0","","","",""
"96","Parris Campbell",NYG,"at BUF","4 out of 5 stars","F","2.9","","","",""
"97","Jauan Jennings",SF,"at CLE","2 out of 5 stars","F","2.9","","","",""
"98","Dyami Brown",WAS,"at ATL","2 out of 5 stars","F","2.8","","","",""
"99","Demario Douglas",NE,"at LV","4 out of 5 stars","F","2.8","","","",""
"100","Deven Thompkins",TB,"vs. DET","3 out of 5 stars","F","2.7","","","",""
"101","Olamide Zaccheaus",PHI,"at NYJ","2 out of 5 stars","F","2.6","","","",""
"102","Trent Sherfield",BUF,"vs. NYG","3 out of 5 stars","F","2.6","","","",""
"103","Jalen Tolbert",DAL,"at LAC","4 out of 5 stars","F","2.5","","","",""
"104","Randall Cobb",NYJ,"vs. PHI","3 out of 5 stars","F","2.4","","","",""
"105","Marvin Jones Jr.",DET,"at TB","3 out of 5 stars","F","2.4","","","",""
"106","Tyler Scott",CHI,"vs. MIN","3 out of 5 stars","F","2.1","","","",""
"107","Van Jefferson",ATL,"vs. WAS","3 out of 5 stars","F","2.0","","","",""
"108","Cedrick Wilson Jr.",MIA,"vs. CAR","3 out of 5 stars","F","2.0","","","",""
"109","Noah Brown",HOU,"vs. NO","3 out of 5 stars","F","1.9","","","",""
"110","Kyle Philips",TEN,"vs. BAL","3 out of 5 stars","F","1.9","","","",""
"111","Equanimeous St. Brown",CHI,"vs. MIN","3 out of 5 stars","F","1.9","","","",""
"112","Derius Davis",LAC,"vs. DAL","2 out of 5 stars","F","1.9","","","",""
"113","Jamal Agnew",JAC,"vs. IND","4 out of 5 stars","F","1.8","","","",""
"114","Khalil Shakir",BUF,"vs. NYG","3 out of 5 stars","F","1.8","","","",""
"115","Tim Jones",JAC,"vs. IND","4 out of 5 stars","F","1.7","","","",""
"116","Zach Pascal",ARI,"at LAR","2 out of 5 stars","F","1.7","","","",""
"117","KhaDarel Hodge",ATL,"vs. WAS","3 out of 5 stars","F","1.5","","","",""
"118","Isaiah McKenzie",IND,"at JAC","3 out of 5 stars","F","1.5","","","",""
"119","Xavier Gipson",NYJ,"vs. PHI","3 out of 5 stars","F","1.4","","","",""
"120","Tre Tucker",LV,"vs. NE","3 out of 5 stars","F","1.2","","","",""
"121","Jake Bobo",SEA,"at CIN","2 out of 5 stars","F","1.2","","","",""
"122","Andrei Iosivas",CIN,"vs. SEA","3 out of 5 stars","F","1.1","","","",""
"123","Devin Duvernay",BAL,"at TEN","4 out of 5 stars","F","1.1","","","",""
"124","DeAndre Carter",LV,"vs. NE","3 out of 5 stars","F","1.1","","","",""
"125","N'Keal Harry",MIN,"at CHI","4 out of 5 stars","F","0.9","","","",""
"126","Byron Pringle",WAS,"at ATL","2 out of 5 stars","F","0.9","","","",""
"127","KaVontae Turpin",DAL,"at LAC","4 out of 5 stars","F","0.8","","","",""
"128","Sterling Shepard",NYG,"at BUF","4 out of 5 stars","F","0.8","","","",""
"129","Trent Taylor",CHI,"vs. MIN","3 out of 5 stars","F","0.8","","","",""
"130","Scott Miller",ATL,"vs. WAS","3 out of 5 stars","F","0.8","","","",""
"131","Chase Claypool",MIA,"vs. CAR","3 out of 5 stars","F","0.7","","","",""
"132","Keith Kirkwood",NO,"at HOU","4 out of 5 stars","F","0.7","","","",""
"133","Colton Dowell",TEN,"vs. BAL","3 out of 5 stars","F","0.7","","","",""
"134","David Bell",CLE,"vs. SF","3 out of 5 stars","F","0.7","","","",""
"135","Ronnie Bell",SF,"at CLE","2 out of 5 stars","F","0.7","","","",""
"136","Ray-Ray McCloud III",SF,"at CLE","2 out of 5 stars","F","0.6","","","",""
"137","Keelan Doss",LAC,"vs. DAL","2 out of 5 stars","F","0.6","","","",""
"138","Simi Fehoko",LAC,"vs. DAL","2 out of 5 stars","F","0.6","","","",""
"139","Marquise Goodwin",CLE,"vs. SF","3 out of 5 stars","F","0.6","","","",""
