"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"at PIT","3 out of 5 stars","A+","17.0"
"2","Austin Ekeler",LAC,"vs. MIA","3 out of 5 stars","A+","16.0"
"3","Nick Chubb",CLE,"vs. CIN","2 out of 5 stars","A","15.8"
"4","Tony Pollard",DAL,"at NYG","3 out of 5 stars","A","15.8"
"5","Bijan Robinson",ATL,"vs. CAR","3 out of 5 stars","A","15.4"
"6","Saquon Barkley",NYG,"vs. DAL","2 out of 5 stars","A","15.1"
"7","Derrick Henry",TEN,"at NO","3 out of 5 stars","A","14.8"
"8","Josh Jacobs",LV,"at DEN","3 out of 5 stars","A","14.6"
"9","Joe Mixon",CIN,"at CLE","5 out of 5 stars","A","13.4"
"10","Travis Etienne Jr.",JAC,"at IND","4 out of 5 stars","A-","13.3"
"11","Aaron Jones",GB,"at CHI","4 out of 5 stars","A-","12.9"
"12","Rhamondre Stevenson",NE,"vs. PHI","3 out of 5 stars","A-","12.9"
"13","Jahmyr Gibbs",DET,"at KC","3 out of 5 stars","B+","12.8"
"14","J.K. Dobbins",BAL,"vs. HOU","5 out of 5 stars","B+","12.8"
"15","Kenneth Walker III",SEA,"vs. LAR","2 out of 5 stars","B+","12.4"
"16","Alexander Mattison",MIN,"vs. TB","2 out of 5 stars","B","12.3"
"17","Najee Harris",PIT,"vs. SF","1 out of 5 stars","B","12.2"
"18","Cam Akers",LAR,"at SEA","5 out of 5 stars","B","11.8"
"19","Miles Sanders",CAR,"at ATL","4 out of 5 stars","B","11.8"
"20","Rachaad White",TB,"at MIN","3 out of 5 stars","B","11.6"
"21","David Montgomery",DET,"at KC","3 out of 5 stars","B","11.4"
"22","James Conner",ARI,"at WAS","2 out of 5 stars","B-","11.1"
"23","Jamaal Williams",NO,"vs. TEN","1 out of 5 stars","B-","11.0"
"24","Dameon Pierce",HOU,"at BAL","2 out of 5 stars","B-","10.9"
"25","Raheem Mostert",MIA,"at LAC","4 out of 5 stars","C+","10.9"
"26","Isiah Pacheco",KC,"vs. DET","2 out of 5 stars","C+","10.4"
"27","Brian Robinson Jr.",WAS,"vs. ARI","5 out of 5 stars","C+","10.2"
"28","James Cook",BUF,"at NYJ","2 out of 5 stars","C+","10.1"
"29","Khalil Herbert",CHI,"vs. GB","4 out of 5 stars","C","10.0"
"30","Javonte Williams",DEN,"vs. LV","5 out of 5 stars","C","10.0"
"31","Breece Hall",NYJ,"vs. BUF","2 out of 5 stars","C","9.8"
"32","Dalvin Cook",NYJ,"vs. BUF","2 out of 5 stars","C","9.1"
"33","Antonio Gibson",WAS,"vs. ARI","5 out of 5 stars","C","9.0"
"34","Samaje Perine",DEN,"vs. LV","5 out of 5 stars","C","9.0"
"35","D'Andre Swift",PHI,"at NE","1 out of 5 stars","C","8.8"
"36","AJ Dillon",GB,"at CHI","4 out of 5 stars","C-","8.4"
"37","Jerick McKinnon",KC,"vs. DET","2 out of 5 stars","C-","8.4"
"38","Zach Charbonnet",SEA,"vs. LAR","2 out of 5 stars","C-","7.1"
"39","Tyler Allgeier",ATL,"vs. CAR","3 out of 5 stars","D+","6.9"
"40","Damien Harris",BUF,"at NYJ","2 out of 5 stars","D","6.6"
"41","Rashaad Penny",PHI,"at NE","1 out of 5 stars","D","6.6"
"42","Elijah Mitchell",SF,"at PIT","3 out of 5 stars","D","6.5"
"43","Deon Jackson",IND,"vs. JAC","3 out of 5 stars","D+","6.4"
"44","Jaylen Warren",PIT,"vs. SF","1 out of 5 stars","D","6.3"
"45","Kenneth Gainwell",PHI,"at NE","1 out of 5 stars","D","5.9"
"46","Ezekiel Elliott",NE,"vs. PHI","3 out of 5 stars","D","5.9"
"47","De'Von Achane",MIA,"at LAC","4 out of 5 stars","D-","5.7"
"48","Tank Bigsby",JAC,"at IND","4 out of 5 stars","D-","5.7"
"49","Devin Singletary",HOU,"at BAL","2 out of 5 stars","F","5.6"
"50","Gus Edwards",BAL,"vs. HOU","5 out of 5 stars","F","5.5"
"51","Chuba Hubbard",CAR,"at ATL","4 out of 5 stars","F","5.5"
"52","Clyde Edwards-Helaire",KC,"vs. DET","2 out of 5 stars","F","5.3"
"53","Roschon Johnson",CHI,"vs. GB","4 out of 5 stars","F","5.0"
"54","Evan Hull",IND,"vs. JAC","3 out of 5 stars","F","5.0"
"55","D'Onta Foreman",CHI,"vs. GB","4 out of 5 stars","F","4.9"
"56","Kyren Williams",LAR,"at SEA","5 out of 5 stars","F","4.5"
"57","Joshua Kelley",LAC,"vs. MIA","3 out of 5 stars","F","4.4"
"58","Tyjae Spears",TEN,"at NO","3 out of 5 stars","F","4.1"
"59","Jerome Ford",CLE,"vs. CIN","2 out of 5 stars","F","4.1"
"60","Ty Chandler",MIN,"vs. TB","2 out of 5 stars","F","4.1"
"61","Cordarrelle Patterson",ATL,"vs. CAR","3 out of 5 stars","F","4.0"
"62","Deuce Vaughn",DAL,"at NYG","3 out of 5 stars","F","3.9"
"63","Sean Tucker",TB,"at MIN","3 out of 5 stars","F","3.9"
"64","Zamir White",LV,"at DEN","3 out of 5 stars","F","3.8"
"65","Michael Carter",NYJ,"vs. BUF","2 out of 5 stars","F","3.7"
"66","Latavius Murray",BUF,"at NYJ","2 out of 5 stars","F","3.7"
"67","Kendre Miller",NO,"vs. TEN","1 out of 5 stars","F","3.6"
"68","Chase Edmonds",TB,"at MIN","3 out of 5 stars","F","3.5"
"69","Chris Evans",CIN,"at CLE","5 out of 5 stars","F","3.4"
"70","Chase Brown",CIN,"at CLE","5 out of 5 stars","F","3.3"
"71","Keaontay Ingram",ARI,"at WAS","2 out of 5 stars","F","2.8"
"72","Matt Breida",NYG,"vs. DAL","2 out of 5 stars","F","2.8"
"73","Rico Dowdle",DAL,"at NYG","3 out of 5 stars","F","2.7"
"74","JaMycal Hasty",JAC,"at IND","4 out of 5 stars","F","2.6"
"75","Pierre Strong Jr.",CLE,"vs. CIN","2 out of 5 stars","F","2.6"
"76","Justice Hill",BAL,"vs. HOU","5 out of 5 stars","F","2.5"
