"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dallas Cowboys",DAL,"vs. WAS","5 out of 5 stars","A+","8.8"
"2","Miami Dolphins",MIA,"at NYJ","5 out of 5 stars","A","8.4"
"3","Pittsburgh Steelers",PIT,"at CIN","2 out of 5 stars","A-","8.0"
"4","Kansas City Chiefs",KC,"at LV","5 out of 5 stars","A-","7.8"
"5","San Francisco 49ers",SF,"at SEA","2 out of 5 stars","B+","7.8"
"6","New England Patriots",NE,"at NYG","5 out of 5 stars","B+","7.7"
"7","Cleveland Browns",CLE,"at DEN","4 out of 5 stars","B","7.5"
"8","Denver Broncos",DEN,"vs. CLE","4 out of 5 stars","B","7.5"
"9","Tennessee Titans",TEN,"vs. CAR","5 out of 5 stars","B","7.4"
"10","Minnesota Vikings",MIN,"vs. CHI","5 out of 5 stars","B-","7.1"
"11","Detroit Lions",DET,"vs. GB","3 out of 5 stars","B-","7.0"
"12","New York Giants",NYG,"vs. NE","5 out of 5 stars","C+","6.8"
"13","Baltimore Ravens",BAL,"at LAC","1 out of 5 stars","C","6.3"
"14","Cincinnati Bengals",CIN,"vs. PIT","2 out of 5 stars","C","6.3"
"15","New Orleans Saints",NO,"at ATL","5 out of 5 stars","C","6.3"
"16","Philadelphia Eagles",PHI,"vs. BUF","1 out of 5 stars","C-","6.1"
"17","Indianapolis Colts",IND,"vs. TB","3 out of 5 stars","C","6.1"
"18","Carolina Panthers",CAR,"at TEN","3 out of 5 stars","D+","6.0"
"19","New York Jets",NYJ,"vs. MIA","3 out of 5 stars","D","6.0"
"20","Jacksonville Jaguars",JAC,"at HOU","2 out of 5 stars","D","5.9"
"21","Tampa Bay Buccaneers",TB,"at IND","2 out of 5 stars","D","5.9"
"22","Houston Texans",HOU,"vs. JAC","3 out of 5 stars","D-","5.9"
"23","Atlanta Falcons",ATL,"vs. NO","3 out of 5 stars","F","5.9"
"24","Arizona Cardinals",ARI,"vs. LAR","2 out of 5 stars","F","5.6"
"25","Los Angeles Rams",LAR,"at ARI","4 out of 5 stars","F","5.6"
"26","Buffalo Bills",BUF,"at PHI","2 out of 5 stars","F","5.6"
"27","Los Angeles Chargers",LAC,"vs. BAL","2 out of 5 stars","F","5.6"
"28","Chicago Bears",CHI,"at MIN","3 out of 5 stars","F","5.6"
"29","Seattle Seahawks",SEA,"vs. SF","1 out of 5 stars","F","5.5"
"30","Las Vegas Raiders",LV,"vs. KC","3 out of 5 stars","F","5.4"
"31","Washington Commanders",WAS,"at DAL","1 out of 5 stars","F","5.2"
"32","Green Bay Packers",GB,"at DET","2 out of 5 stars","F","5.1"
